beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,berendes_teitok_ids,berendes_chapter_keys,berendes_terms,desmoulins_pages,laguna_pages,wechel_pages,mattioli_chapters
DMM1105,ἀγριελαία,Wild olive tree,1,e-143,1.136,Wilder Oelbaum,137,89,71,1.118
DMM1106,δρῦς,Oak,1,e-149,1.142,Eiche,139,91,73,1.121
DMM1107,κηκίς,Cecis,1,e-153,1.146,Galläpfel,143,94,73,1.123
DMM1108,ῥοῦς ὁ ἐπὶ τά ὄψα,Sumac,1,e-154,1.147,Gerbersumach,145,95,74,1.124
DMM1109,φοῖνιξ,Date palm,1,e-155,1.148,Dattelpalme,147,96,75,1.125
DMM1110,ῥόα,Pomegranate,1,e-158,1.151,Granatapfel,151,97,76,1.127
DMM1111,βαλαύστιον,Flower of the wild pomegranate,1,e-159,1.152,Granatblüthe,151,,77,
DMM1112,μυρσίνη ἡ ἥμερος,Cultivated myrtle,1,e-162,1.155,Myrte,152,99,77,1.128
DMM1113,κεράσια,Fruit of the cherry tree,1,e-164,1.157,Kirschen,154,100,79,1.129
DMM1114,κεράτια,Fruit of the carob tree,1,e-165,1.158,Johannisbrodfrucht,156,101,79,1.130
DMM1115,μηλέα,Apple tree,1,e-166,1.159,Apfelbaum,157,101,79,1.131
DMM1116,ἄπιος,Pear,1,e-174,1.167,Birne,163,107,81,1.132
DMM1117,λωτός,Nettle tree,1,e-178,1.171,Lotos,165,108,82,1.134
DMM1118,μέσπιλον,Medlar tree,1,e-176,1.169,Mispel,163,107,81,1.133
DMM1119,κρανία,Cornelian cherry tree,1,e-179,1.172,Kornelkirsche,167,109,82,1.135
DMM1120,οὖα,Sorb apples,1,e-180,1.173,Speierlingsfrucht,168,,82,1.136
DMM1121,κοκκυμηλέα,Plum tree,1,e-181,1.174,Pflaumenbaum,169,110,82,1.137
DMM1122,κόμαρος,Strawberry tree,1,e-182,1.175,Erdbeerbaum,172,111,82,1.138
DMM1123,ἀμυγδάλη,Almond,1,e-183,1.176,Mandelbaum,173,112,83,1.139
DMM1124,πιστάκια,Pistachio nuts,1,e-184,1.177,Pistacien,174,113,83,1.140
DMM1125,κάρυα βασιλικά,Walnuts,1,e-185,1.178,Wallnüsse,175,113,83,1.141
DMM1126,μορέα ἢ συκάμινον,Mulberry tree,1,e-187,1.180,Maulbeerbaum,179,116,84,1.143
DMM1127,συκόμορον,Sycamore fig,1,e-188,1.181,Sykomore,181,117,85,1.144
DMM1128,σῦκα,Figs,1,e-189,1.182,Feige auf Kypern,182,,86,
DMM1129,περσαία,Persea,1,e-194,1.187,Persea,184,121,88,1.146
DMM2001,ἐχῖνος θαλάσσιος,Sea urchin,1,e-196,2.1,Seeigel,187,123,89,2.1
DMM2002,ἐχῖνος χερσαῖος,Hedgehog,1,e-197,2.2,Landigel,188,123,90,2.2
DMM2003,ἱππόκαμπος,Sea horse,1,e-198,2.3,Seepferdchen,189,124,90,2.3
DMM2004,πορφύρα,Murex,1,e-199,2.4,Purpurschnecke,190,125,90,2.4
DMM2005,μύακες Ποντικοί,Pontic sea mussels,1,e-202,2.7,Miesmuschel,191,126,90,2.5
DMM2006,τελλῖναι,Tellina,1,e-203,2.8,Plattmuscheln,192,126,91,2.6
DMM2007,πορφύρας πώματα,Opereula of murex,1,e-204,2.9,Chienmuschel,192,126,91,2.7
DMM2008,ὄνυξ,Onyx,1,e-205,2.10,Onyx,193,127,91,2.8
DMM2009,κοχλίας χερσαῖος,Land snail,1,e-206,2.11,Schnecken,195,127,91,2.9
DMM2010,καρκίνων ποταμίων καέντων ἡ τέφρα,Ash of calcined riverine crabs.,1,e-207,2.12,Krebse,196,129,92,2.10
DMM2011,σκόρπιος χερσαῖος,Land scorpion,1,e-208,2.13,Landskorpion,200,129,92,2.11
DMM2012,θαλασσίου σκορπίου,Bile of sea scorpion,1,e-209,2.14,Seeskorpion,201,131,93,2.12
DMM2013,δράκων θαλάσσιος,Greater weever,1,e-210,2.15,Meerdrache,202,131,93,2.13
DMM2014,σκολοπένδρα θαλασσία,Sea scolopendra,1,e-211,2.16,Skolopender,203,131,93,2.14
DMM2015,νάρκη θαλασσία,Electric ray,1,e-212,2.17,Zitterrochen,204,132,93,2.15
DMM2016,ἐχίδνη,Viper,1,e-213,2.18,Otter,205,132,93,2.16
DMM2017,ὄφις,Serpent,1,e-214,2.19,Schlangenhaut,207,134,94,2.17
DMM2018,λαγωὸς θαλάσσιος,Sea hare,1,e-215,2.20,Meerhase,208,134,94,2.18
DMM2019,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,The brain of the land hare,1,e-216,2.21,Landhase,208,,94,
DMM2020,τρυγόνος θαλασσίας τὸ κέντρον,Stingray sting,1,e-217,2.22,Stechrochen,210,135,94,2.19
DMM2021,σηπίας τὸ μέλαν,Ink of boiled cuttlefish,1,e-218,2.23,Tintenfisch,210,136,94,2.20
DMM2022,τρίγλα,Red mullet,1,e-219,2.24,Seebarbe,211,136,95,2.21
DMM2023,ὄρχις ἱπποποτάμου,Testicle of hippopotamus,1,e-220,2.25,Hoden des Flusspferdes,212,137,95,2.22
DMM2024,καὶ ὁ τοῦ κάστορος ὄρχις,Testicle of beaver,1,e-221,2.26,Hoden des Bibers,213,137,95,2.23
DMM2025,γαλῆ κατοικίδιος,Domesticated weasel,1,e-222,2.27,Hauswiesel,215,138,96,2.24
DMM2026,βάτραχοι,Frogs,1,e-223,2.28,Frösche,216,139,96,2.25
DMM2027,σίλουρος,Sheatfish,1,e-224,2.29,Wels,217,140,96,2.26
DMM2028,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,Head of salted smarts,1,e-225,2.30,Brasse,217,,96,2.27
DMM2029,καὶ ἡ τῆς μαινίδος κεφαλὴ,Head of Mainis,1,e-226,2.31,Mäna,218,141,96,2.28
DMM2030,κωβίος,Goby,1,e-227,2.32,Gobion,218,141,97,2.29
DMM2031,ὠμοτάριχος,Omotarichos,1,e-228,2.33,Rohe P?kelung,220,142,97,2.30
DMM2032,γάρος,Garum,1,e-229,2.34,Garum,221,142,97,2.31
DMM2033,ζωμὸς ἰχθύων,Fish broth,1,e-230,2.35,Br?he von frischen Fischen,221,142,97,2.32
DMM2034,κόρεις οἱ ἀπὸ κλίνης,Bed-bugs,1,e-231,2.36,Wanzen,221,143,97,2.33
DMM2035,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,Wood lice,1,e-232,2.37,Kubariden,221,,98,2.34
DMM2036,σίλφη,Cockroach,1,e-233,2.38,Schabe,222,,98,2.35
DMM2037,πνεύμων θαλάσσιος,Jellyfish,1,e-234,2.39,Seelunge,222,,98,2.36
DMM2038,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,"Pig, lamb, [and bear] lung",1,e-235,2.40,Schweinelunge,222,144,98,2.37
DMM2039,ἀλώπεκος πνεύμων,Lung of fox,1,e-236,2.41,Fuchslunge,222,144,98,
DMM2040,ἧπαρ ὄνειον,Ass’s liver,1,e-237,2.42,Eselleber,223,145,98,2.38
DMM2041,αἰδοῖον ἄρρενος ἐλάφου,Genitalia of stag,1,e-238,2.43,Kurzwildpret des Edelhirsches,224,145,98,2.39
DMM2042,ὄνυχες ὄνων,Asses’ hooves,1,e-239,2.44,Eselshufe,224,145,98,2.40
DMM2043,λειχῆνες ἵππων,Chestnuts of horses,1,e-240,2.45,Flechten der Pferde,224,146,99,2.41
DMM2044,οἱ δὲ τῶν αἰγων ὄνύχες,Hooves of she-goats,1,e-241,2.46,Ziegenklauen,224,145,99,
DMM2045,τοῦ δὲ ἤπατος τῆς αἰγὸς ἰχώρ,Juice of she-goat liver,1,e-242,2.47,Ziegenleber,223,145,99,2.38
DMM2046,τὸ δὲ τοῦ κάπρου ἧπαρ,Boar’s liver,1,e-243,2.48,Leber des Ebers,223,145,99,2.38
DMM2047,κυνὸς δὲ λυσσῶντος ἧπαρ,Liver of rabid dog,1,e-244,2.49,Leber des tollen Hundes,223,145,99,2.38
DMM2048,κασσυμάτων παλαιὰ δέρματα,Leather of shoe soles,1,e-246,2.51,Sohlleder,224,147,99,2.42
DMM2049,ἀλεκτορίδες,Hens,1,e-247,2.52,H?hner,225,147,99,2.43
DMM2050,ᾠόν,Egg,1,e-249,2.54,Ei,225,148,100,
DMM2051,τέττιγες,Cicadas,1,e-251,2.56,Cikaden,227,150,100,2.45
DMM2052,ἀκρίδες,Locusts,1,e-252,2.57,Heuschrecken,227,150,101,2.46
DMM2053,φήνη,Phene,1,e-253,2.58,Phinis,228,150,101,2.47
DMM2054,κορυδαλλός,Lark,1,e-254,2.59,Haubenlerche,228,151,101,2.48
DMM2055,αἰθυίας ἧπαρ,Liver of shearwater,1,e-245,2.50,Leber des Tauchers,223,145,99,2.38
DMM2056,χελιδὸνος νεοσσοί,Swallow’s nestlings,1,e-255,2.60,Schwalbe,229,151,101,2.49
DMM2057,ἐλέφαντος ὀδούς,Elephant’s tooth,1,e-256,2.61,Elephant,229,152,101,2.50
DMM2058,ἀστράγαλος ὑός,Hog’s hock,1,e-257,2.62,Sprungbein des Schweines,231,153,101,2.51
DMM2059,ἐλάφου κέρας,Hart’s horn,1,e-258,2.63,Hirschhorn,231,154,102,2.52
DMM2060,κάμπαι,Caterpillars,1,e-259,2.64,Raupen,233,154,102,2.53
DMM2061,κανθαρίδες,Blister beetles,1,e-260,2.65,Kanthariden,234,155,102,2.54
DMM2062,σαλαμάνδρα,Salamander,1,e-262,2.67,Salamander,235,156,103,2.56
DMM2063,ἀράχνη τὸ ζῷον,Spider,1,e-263,2.68,Spinne,236,156,103,2.57
DMM2064,σαύρας ἡ κεφαλὴ,Head of lizard,1,e-264,2.69,Eidechse,237,157,103,2.58
DMM2065,σήψ,Seps,1,e-265,2.70,Seps,237,158,103,2.59
DMM2066,σκίγκος,Skink,1,e-266,2.71,Skink,238,159,103,2.60
DMM2067,γῆς ἔντερα,Earthworms,1,e-267,2.72,Eingeweide der Erde (Erdw?rmer),240,160,104,2.61
DMM2068,μυογαλῆ,Shrewmouse,1,e-268,2.73,Spitzmaus,240,160,104,2.62
DMM2069,μύες,Mice,1,e-269,2.74,M?use,241,161,104,2.63
DMM2070,γάλα,Milk,1,e-270,2.75,Milch,243,161,104,2.64
DMM2071,τυρός,Cheese,1,e-274,2.79,Frischer K?se,243,162,106,2.65
DMM2072,βούτυρον,Butter,1,e-276,2.81,Butter und der aus ihr bereitete Russ,243,163,107,2.66
DMM2073,ἔρια οἰσυπηρά,Greasy wool,1,e-277,2.82,Wolle,246,165,107,2.67
DMM2074,οἴσυπος,Fat from greasy wool,1,e-279,2.84,Wollfett,246,,108,
DMM2075,πιτύα,Rennet,1,e-280,2.85,Lab,247,167,109,2.68
DMM2076,στέαρ,Fat,1,e-281,2.86,Fett,247,167,110,2.69
DMM2077,μυελός,Marrow,1,e-290,2.95,Mark,250,171,116,2.70
DMM2078,χολή,Bile,1,e-291,2.96,Jegliche Art Galle,250,171,117,2.71
DMM2079,αἷμα,Blood,1,e-292,2.97,Blut,251,172,118,2.72
DMM2080,ἀπόπατος,Dung,1,e-293,2.98,Koth,252,173,119,2.73
DMM2081,οὖρον,Urine,1,e-294,2.99,Urin,254,174,120,2.74
DMM2082,μέλι,Honey,1,e-296,2.101,Honig,255,175,121,2.75
DMM2083,κηρός,Wax,1,e-300,2.105,Wachs,258,178,123,2.76
DMM2084,πρόπολις,Bee glue,1,e-301,2.106,Vorwachs,258,178,124,2.77
DMM2085,πυροί,Wheat,1,e-302,2.107,Weizen,260,180,124,2.78
DMM2086,κριθή,Barley,1,e-303,2.108,Gerste,263,181,125,2.79
DMM2087,ζύθος,Beer,1,e-304,2.109,Zythos,264,182,125,2.80
DMM2088,κοῦρμι,Courmi,1,e-305,2.110,Kurmi,264,,126,2.81
DMM2089,ζέα,Zea,1,e-306,2.111,Dinkel,264,183,126,2.82
DMM2090,κρίμνον,Crimnon,1,e-307,2.112,Schrot,265,184,126,2.83
DMM2091,ὄλυρα,Rice-wheat,1,e-308,2.113,Olyra,265,184,126,2.84
DMM2092,ἀθήρα,Gruel,1,e-309,2.114,Athera,266,184,126,2.85
DMM2093,τράγος,Spelt,1,e-310,2.115,Tragos,266,184,126,2.86
DMM2094,βρόμος,Oats,1,e-311,2.116,Hafer,266,184,126,2.87
DMM2095,ὄρυζα,Rice,1,e-312,2.117,Reis,267,185,127,2.88
DMM2096,χόνδρος,Groats,1,e-313,2.118,Graupen,268,185,127,2.89
DMM2097,κέγχρος,Millet,1,e-314,2.119,Hirse,268,186,127,2.90
DMM2098,ἔλυμος,Italian millet,1,e-315,2.120,Mohrenhirse,269,186,127,2.91
DMM2099,σήσαμον,Sesame,1,e-316,2.121,Sesam,270,187,127,2.92
DMM2100,αἶρα,Darnel,1,e-317,2.122,Taumellolch,271,187,127,2.93
DMM2101,ἄμυλον,Starch,1,e-318,2.123,St?rkemehl,272,188,128,2.94
DMM2102,τέλεως ἄλευρον,Meal of fenugreek,1,e-319,2.124,Bockshornmehl,272,188,128,2.95
DMM2103,λινόσπερμον,Linseed,1,e-320,2.125,Lein,273,189,129,2.96
DMM2104,ἐρέβινθος ὁ ἥμερος,Cultivated chick- pea,1,e-321,2.126,Erbse,274,190,129,2.97
DMM2105,κύαμος Ἑλληνικός,Greek bean,1,e-322,2.127,Griechische Bohne,275,191,130,2.98
DMM2106,Αἰγύπτιος κύαμος,Egyptian bean,1,e-323,2.128,Aegyptische Bohne,277,191,131,2.99
DMM2107,φακός,Lentil,1,e-324,2.129,Linse,278,192,131,2.100
DMM2108,ὄροβος,Bitter vetch,1,e-326,2.131,Linsenwicke,281,194,132,2.102
DMM2109,θέρμος,Lupine,1,e-327,2.132,Lupine,282,159,133,2.103
DMM2110,γογγύλη,Turnip,1,e-329,2.134,Weisse R?be,283,196,133,2.104
DMM2111,βουνιάς,French turnip,1,e-331,2.136,Feldkohl,284,197,134,2.105
DMM2112,ῥαφανίς,Radish,1,e-332,2.137,Rettig,285,,134,2.106
DMM2113,σίσαρον,Parsnip,1,e-334,2.139,Sisaron,286,199,135,2.107
DMM2114,λάπαθον,Monk’s rhubarb,1,e-335,2.140,Ampfer,288,199,135,2.108
DMM2115,ἱππολάπαθον,Dock sorrel,1,e-336,2.141,Hippolapathon,288,,136,
DMM2116,λαμψάνη,Charlock,1,e-337,2.142,Grauer Senf,290,201,136,2.109
DMM2117,βλίτον,Blite,1,e-338,2.143,Gem?seamaranth,290,201,136,2.110
DMM2118,μολόχη,Mallow,1,e-339,2.144,Malve,291,201,136,2.111
DMM2119,ἀνδράφαξυς,Orach,1,e-340,2.145,Gartenmelde,293,203,137,2.112
DMM2120,κράμβη ἥμερος,Cultivated cabbage,1,e-341,2.146,Kohl,295,203,137,2.113
DMM2121,κράμβη ἀγρία,~ B. cretica. Wild cabbage,1,e-342,2.147,Wilder Kohl,296,,138,2.114
DMM2122,κράμβη ἡ θαλασσία,Sea cole,1,e-343,2.148,Meerkohl,296,,138,2.115
DMM2123,σεῦτλον,Beet,1,e-344,2.149,Bete,297,205,138,2.116
DMM2124,ἀνδράχνη,Purslane,1,e-345,2.150,Portulak,299,206,138,2.117
DMM2125,ἀσπάραγος πετραῖος ἢ μυάκανθος,Asparagus,1,e-346,2.151,Spargel,299,207,139,2.118
DMM2126,ἀρνόγλωσσον,Plantain,1,e-347,2.152,Wegerich,300,208,140,2.119
DMM2127,σίον,Water parsnip,1,e-348,2.153,Merk,302,210,141,2.120
DMM2128,σισύμβριον,Watercress,1,e-349,2.154,Sisymbrion,303,210,141,2.121
DMM2129,κρῆθμον,Samphire,1,e-351,2.156,Meerfenchel,305,212,142,2.122
DMM2130,κορωνόπους,Hartshorn,1,e-352,2.157,Niedriger Schotenklee,306,212,142,2.123
DMM2131,σόγχος,Sow thistle,1,e-353,2.158,G?nsedistel,307,213,143,2.124
DMM2132,σέρις,Chicory or Endive,1,e-354,2.159,Seris,309,214,143,2.125
DMM2133,χονδρίλη,Gum,1,e-355,2.160,Knorpelsalat,312,216,143,2.126
DMM2134,κολοκύνθα,Edible bottle gourd,1,e-356,2.161,K?rbis,313,217,144,2.127
DMM2135,σίκυς ἥμερος,Cucumber,1,e-357,2.162,Gebaute Gurke,314,217,144,2.128
DMM2136,θρίδαξ ἥμερος,Cultivated lettuce,1,e-359,2.164,Gartenlattich,318,220,145,2.129
DMM2137,γιγγίδιον,Gingidium,1,e-361,2.166,Gingidion,319,222,146,2.131
DMM2138,σκάνδιξ,Wild chervil,1,e-362,2.167,Venuskamm,321,222,146,2.132
DMM2139,καυκαλίς,Caucalis,1,e-363,2.168,Steinbrech,322,223,146,2.133
DMM2140,εὔζωμον,Rocket,1,e-364,2.169,Rauke,322,223,146,2.134
DMM2141,ὤκιμον,Basil,1,e-365,2.170,Basilicum,323,224,146,2.135
DMM2142,ὀροβάγχη,Chokefitch,1,e-366,2.171,Orobanche,325,225,147,2.136
