beck_id beck_greek_name beck_english_name
DMM2133	χονδρίλη	Gum
DMM2134	κολοκύνθα	Edible bottle gourd
DMM2135	σίκυς ἥμερος	Cucumber
DMM2136	θρίδαξ ἥμερος	Cultivated lettuce
DMM2137	γιγγίδιον	Gingidium
DMM2138	σκάνδιξ	Wild chervil
DMM2139	καυκαλίς	Caucalis
DMM2140	εὔζωμον	Rocket
DMM2141	ὤκιμον	Basil
DMM2142	ὀροβάγχη	Chokefitch
DMM2143	τραγοπώγων	Salsify
DMM2144	ὄρνιθος γάλα	Starflower
DMM2145	ὕδνον	Truffle
DMM2146	σμῖλαξ κηπαία	Cowpea
DMM2147	Μηδική	Alfalfa
DMM2148	ἀφάκη	Tare
DMM2149	πράσον κεφαλωτόν	Leek
DMM2150	ἀμπελόπρασον	Wild leek
DMM2151	κρόμυον	Onion
DMM2152	σκόρδον	Garlic
DMM2153	σκορδόπρασον	Garlic leek
DMM2154	σίνηπι ἢ νᾶπι	Mustard
DMM2155	καρδάμον	Garden cress
DMM2156	θλάσπι	Shepherd’s-purse
DMM2157	δράβη	Arabian mustard
DMM2158	ἐρύσιμον	Hedge mustard
DMM2159	πέπερι	Pepper
DMM2160	ζιγγίβερι	Ginger
DMM2161	ὑδροπέπερι	Smartweed
DMM2162	πταρμική	Sneezewort
DMM2163	στρούθιον	Soapwort
DMM2164	κυκλάμινος	Cyclamen
DMM2165	κυκλάμινος ἑτέρα	Another cyclamen
DMM2166	δρακόντιον	Dragon arum
DMM2167	ἄρον	Cuckoopint
DMM2168	ἀρίσαρον	Hooded arum
DMM2169	ἀσφόδελος	Asphodel
DMM2170	βολβὸς ἐδώδιμος	Purse tassels
DMM2171	σκίλλα	Squill or Scilla
DMM2172	παγκράτιον	Sea daffodil
DMM2173	κάππαρις	Caper
DMM2174	λεπίδιον	Pepperwort
DMM2175	βατράχιον	sp. Ranunculus
DMM2176	ἀνεμώνη	Poppy anemone
DMM2177	ἀργεμώνη	Wind-rose
DMM2178	ἀναγαλλίς	Pimpernel
DMM2179	κισσός	Ivy
DMM2180	χελιδόνιον μέγα	Celandine
DMM2181	χελιδόνιον τὸ μικρόν	Pilewort
DMM2182	ὀθόννα	Othonna
DMM2183	μυὸς ὦτα	Madwort
DMM2184	ἰσάτις	Woad
DMM2185	ἰσάτις ἄγρια	Wild woad
DMM2186	τηλεφώνιον	Telephonion
DMM3001	ἀγαρικόν	Agaric
DMM3002	ῥᾶ	Rhubarb
DMM3003	γεντιανή	Gentian
DMM3004	ἀριστολόχεια	Birthwort
DMM3005	γλυκύρριζα	Licorice
DMM3006	κενταύριον τὸ μέγα	Centaury
DMM3007	κενταύρειον τὸ λεπτόν ἢ μικρόν	Feverfew
DMM3008	χαμαιλέων λευκός	Pine thistle
DMM3009	[χαμαιλέων] ὁ μέλας	Chameleon thistle
DMM3010	κροκοδείλεον	Sea holly
DMM3011	δίψακος	Teasle
DMM3012	ἄκανθα λευκή	Fish thistle
DMM3013	ἄκανθα Ἀραβική	Smaller milk thistle
DMM3014	σκόλυμος	Golden thistle
DMM3015	ποτίρριον	Goat’s thorn
DMM3016	ἀκάνθιον	Cotton thistle
DMM3017	ἄκανθος	Bear’s-foot
DMM3018	ἀνωνίς	Rest harrow
DMM3019	λευκάκανθα	Tuberous thistle
DMM3020	τραγακάνθα	Tragacanth
DMM3021	ἠρύγγη	Eryngo
DMM3022	ἀλόη	Aloe
DMM3023	ἀψίνθιον	Wormwood
DMM3024	ἀβρότονον	Wormwood
DMM3025	ὕσσωπος	Hyssop
DMM3026	στοιχάς	French lavender
DMM3027	ὀρίγανος Ἡρακλεωτική	Oregano
DMM3028	ὀνῖτις	Oregano onitis
DMM3029	ἀγριορίγανος	Marjoram
DMM3030	τραγορίγανος	Goat’s marjoram
DMM3031	γλήχων	Pennyroyal
DMM3032	δίκταμνον	Dittany of Crete
DMM3033	ἐλελίσφακον	Sage
DMM3034	ἡδύοσμον	Green mint
DMM3035	καλαμίνθη	Catmint
DMM3036	θύμος	Cretan thyme
DMM3037	θύμβρα	Savory
DMM3038	ἕρπυλος	Tufted thyme
DMM3039	σάμψουχον	Marjoram
DMM3040	μελίλωτος	King’s clover
DMM3041	σισύβριον	Bergamot
DMM3042	μᾶρον ἢ ὑσόβρυον	Maron or Hysobryon
DMM3043	ἄκινος ἢ ἄκονος	Wild basil
DMM3044	βάκχαρις	Sowbread
DMM3045	πήγανον	Rue
DMM3046	πήγανον ἄγριον	Wild rue
DMM3047	μῶλυ	Garlic
DMM3048	πάνακες Ἡράκλειον	Hercules’ woundwort
DMM3049	πάνακες Ἀσκληπίειον	Aesculapius’ allheal
