mattioli_chapter	mattioli_book	mattioli_greek	mattioli_latin
XXXVII	2	Πνεύμονες	PULMONES
XXXVIII	2	Ἥπατα	IOCINERA
XXXIX	2	Αἰδοῖον ἐλάφου	GENITALE CERVI
XL	2	Ὀνυχες ὄνου καὶ αἰγός	UNGULAE ASINI ET CAPRAE
XLI	2	Λειχῆνες ἵππων	LICHENES EQUORUM
XLII	2	Καττύματα	CORIA VETERAMENTARIA
XLIII	2	Ἀλεκτορίδες καὶ ἀλεκτρυόνες	GALLINAE ET GALLI
XLIV	2	Ὠόν	OVUM
XLV	2	Τέττιγες	CICADAE
XLVI	2	Ἀκρίδες	LOCUSTAE
XLVII	2	Φίνις	OSSIFRAGUS
XLVIII	2	Κορυδαλός	GALERITA
XLIX	2	Χελιδών	HIRUNDO
L	2	Ἐλέφας	EBUR
LI	2	Ἀστράγαλος ὑός	SUILLUS TALUS
LII	2	Ἐλάφαου κέρας	CERVINUM CORNU
LIII	2	Κάμπαι	ERUCAE
LIV	2	Κανθαρίδες	CANTHARIDES
LV	2	Βουπρήστεις καὶ πιτυοκάμπαι	BUPRESTES ET PINORUM ERUCAE
LVI	2	Σαλαμάνδρα	SALAMANDRA
LVII	2	Ἀράχνη	ARANEUS
LVIII	2	Σαῦρα	LACERTA
LIX	2	Σήψ	SEPS
LX	2	Σκίγκος	SCINCUS
LXI	2	Γῆς ἔντερα	TERRENI VERMES
LXII	2	Μυογάλη	MUS ARANEUS
LXIII	2	Μῦες	MURES
LXIV	2	Γάλα	LAC
LXV	2	Τυρός	CASEUS
LXVI	2	Βούτυρον καὶ αὐτοῦ λιγνύς	BUTYRUM ET EIUS FULIGO
LXVII	2	Ἔρια καὶ οἴσυπος	LANAE ET OESYPUS
LXVIII	2	Πιτύα	COAGULUM
LXIX	2	Στέαρ	ADEPS
LXX	2	Μυελός	MEDULLA
LXXI	2	Χολή	FEL
LXXII	2	Αἷμα	SANGUIS
LXXIII	2	Ἀπόπατος	FIMUM
LXXIV	2	Οὖρον	URINA
LXXV	2	Μέλι	MEL
LXXVI	2	Κηρός	CERA
LXXVII	2	Πρόπολις	PROPOLIS
LXXVIII	2	Πυρός	TRITICUM
LXXIX	2	Κριθή	HORDEUM
LXXX	2	Ζύθος	ZYTHUM
LXXXI	2	Κοῦρμι	CURMI
LXXXII	2	Ζειά	ZEA
LXXXIII	2	Κρίμνον	CRIMNON
LXXXIV	2	Ὄλυρα	OLYRA
LXXXV	2	Ἀθήρα	ATHERA
LXXXVI	2	Τράγος	TRAGOS
LXXXVII	2	Βρῶμος	AVENA
LXXXVIII	2	Ὄρυζα	ORYZA
LXXXIX	2	Χόνδρος	HALICA
XC	2	Κέγχρος	MILIUM
XCI	2	Ἔλυμος	PANICUM
XCII	2	Σήσαμον	SESAMUM
XCIII	2	Αἶρα	LOLIUM
XCIV	2	Ἄμυλον	AMYLUM
XCV	2	Τῆλις	FOENUM GRAECUM
XCVI	2	Λίνον	LINUM
XCVII	2	Ἐρέβινθος	CICER
XCVIII	2	Κύαμος	FABA
XCIX	2	Κύαμος αἰγύπτιος	FABA AEGYPTIA
C	2	Φακός	LENS
CI	2	Φασίολοι	PHASIOLI
CII	2	Ὄροβος	ERVUM
CIII	2	Θέρμοι	LUPINI
CIV	2	Γογγύλη	RAPUM
CV	2	Βουνιάς	NAPUS
CVI	2	Ῥαφανίς	RAPHANUS
CVII	2	Σίσαρον	SISER
CVIII	2	Λάπαθον	LAPATHUM SIVE RUMEX
CIX	2	Λαμψάνη	LAMPSANA
CX	2	Βλῆτον	BLITUM
CXI	2	Μαλάχη	MALVA
CXII	2	Ἀτράφαξις	ATRIPLEX
CXIII	2	Κράμβη	BRASSICA
CXIV	2	Κράμβη ἀγρία	BRASSICA SYLVESTRIS
CXV	2	Κράμβη θαλασσία	BRASSICA MARINA
CXVI	2	Τεῦτλον	BETA
CXVII	2	Ἀνδράχνη	PORTULACA
CXVIII	2	Ἀσπάραγος	ASPARAGUS
CXIX	2	Ἀρνόγλωσσον	PLANTAGO
CXX	2	Σίον	SIUM SEU LAVER
CXXI	2	Σισύμβριον	SISYMBRIUM
CXXII	2	Κρίθμον	CRITHMUM
CXXIII	2	Κορωνόπους	CORONOPUS
CXXIV	2	Σόγχος	SONCHUS
CXXV	2	Σέρις	SERIS SIVE INTYBUS
CXXVI	2	Χονδρίλλη	CHONDRILLA
CXXVII	2	Κπλόκυνθα	CUCURBITA
CXXVIII	2	Σίκυς ἥμερος	CUCUMER SATIVUS
CXXIX	2	Θρίδαξ	LACTUCA
CXXX	2	Θρίδαξ ἀγρία	LACTUCA SYLVESTRIS
CXXXI	2	Γιγγίδιον	GINGIDIUM
CXXXII	2	Σκάνδιξ	SCANDIX
CXXXIII	2	Καυκαλίς	CAUCALIS
CXXXIV	2	Εὔζωμον	ERUCA
CXXXV	2	Ὤκιμον	OCIMUM
CXXXVI	2	Ὀροβάκχη	OROBANCHE
CXXXVII	2	Τραγοπώγων	BARBULA HIRCI
CXXXVIII	2	Ὀρνιθόγαλον	ORNITHOGALUM
CXXXIX	2	Ὕδνα	TUBERA
CXL	2	Σμίλαξ κηπαῖα	SMILAX HORTENSIS
CXLI	2	Μηδική	MEDICA
CXLII	2	Ἀφάκη	APHACA
CXLIII	2	Πράσον κεφαλωτόν	PORRUM CAPITATUM
CXLIV	2	Ἀμπελόπρασον	AMPELOPRASUM
CXLV	2	Κρόμμυον	CEPA
CXLVI	2	Σκόροδον	ALLIUM
CXLVII	2	Σκοροδόπρασον	SCORODOPRASUM
CXLVIII	2	Σίνηπι	SINAPI
CXLIX	2	Κάρδαμον	NASTURTIUM
CL	2	Θλάσπι	THLASPI
CLI	2	Ἀραβίς ἤ δράβη	ARABIS SIVE DRABA
CLII	2	Ἐρύσιμον	IRIO
CLIII	2	Πέπερι	PIPER
CLIV	2	Ζιγγίβερ	GINGIBER
CLV	2	Ὑδροπέπερι	HYDROPIPER
CLVI	2	Πταρμική	PTARMICA
CLVII	2	Στρούθιον	RADICULA SEU LANARIA HERBA
CLVIII	2	Κυκλάμινος	CYCLAMINUS
CLIX	2	Ἑτέρα κυκλάμινος	ALTERA CYCLAMINUS
CLX	2	Δρακοντία μεγάλη	DRACUNCULUS MAIOR
CLXI	2	Δρακοντία μικρά	DRACUNCULUS MINOR
CLXII	2	Ἄρον	ARUM
CLXIII	2	Ἀρίσαρον	ARISARUM
CLXIV	2	Ἀσφόδελος	HASTULA REGIA
CLXV	2	Βολβός ἐδώδιμος	BULBUS ESCULENTUS
CLXVI	2	Βολβός ἐμετικός	BULBUS VOMITORIUS
CLXVII	2	Σκίλλα	SCILLA
CLXVIII	2	Παγκράτιον	PANCRATIUM
CLXIX	2	Κάππαρις	CAPPARIS
CLXX	2	Λεπίδιον	LEPIDIUM
CLXXI	2	Βατράχιον	RANUNCULUS
CLXXII	2	Ἀνεμώνη	ANEMONE
CLXXIII	2	Ἀργεμώνη	ARGEMONE
CLXXIV	2	Ἀναγαλλίς	ANAGALLIS
CLXXV	2	Κισσός	HEDERA
CLXXVI	2	Χελιδόνιον μέγα	CHELIDONIUM MAIUS
CLXXVII	2	Χελιδόνιον μικρόν	CHELIDONIUM MINUS
CLXXVIII	2	Ὀθόννα	OTHONNA
CLXXIX	2	Μυός ὦτα	AURICULA MURIS
CLXXX	2	Ἰσάτις	GLASTUM
CLXXXI	2	Τηλέφιον	TELEPHIUM
I	3	Ἀγαρικόν	AGARICUM
II	3	Ῥᾶ, ῥῆον	RHAPONTICUM
III	3	Γεντιανή	GENTIANA
IV	3	Ἀριστολοχία	ARISTOLOCHIA
V	3	Γλυκύρριζα	DULCIS RADIX
VI	3	Κενταύριον μέγα	CENTAURIUM MAGNUM
VII	3	Κενταύριον μικρόν	CENTAURIUM MINUS
VIII	3	Χαμαιλέων λευκός	CHAMAELEON ALBUS
IX	3	Χαμαιλέων μέλας	CHAMAELEON NIGER
X	3	Κροκοδείλιον	CROCODILIUM
XI	3	Δίψακος	DIPSACUS SIVE LABRUM VENERIS
XII	3	Ἄκανθα λευκή	SPINA ALBA
XIII	3	Ἄκανθα ἀραβική	SPINA ARABICA
XIV	3	Σκόλυμος	CARDUUS
XV	3	Ποτήριον	POTERIUM
XVI	3	Ἀκάνθιον	ACANTHIUM
XVII	3	Ἄκανθος	ACANTHUS
XVIII	3	Ἀνωνίς ἤ ὀνωνίς	ANONIS SIVE ONONIS
XIX	3	Λευκάκανθα	LEUCACANTHA
XX	3	Τραγάκανθα	TRAGACANTHA
XXI	3	Ἠρύγγιον	ERYNGIUM
XXII	3	Ἀλόη	ALOE
XXIII	3	Ἀψίνθιον	ABSINTHIUM
XXIV	3	Ἀψίνθιον θαλάσσιον	ABSINTHIUM MARINUM
XXV	3	Ἀβρότονον	ABROTONUM
XXVI	3	Ὕσσωπος	HYSSOPUM
XXVII	3	Στοεχάς	STOECHAS
XXVIII	3	Ὀρίγανος	ORIGANUM
XXIX	3	Τραγορίγανος	TRAGORIGANUM
XXX	3	Γλήχων	PULEGIUM
XXXI	3	Δίκταμνος	DICTAMNUM
XXXII	3	Ψευδοδίκταμνος	PSEUDODICTAMNUM
XXXIII	3	Δίκταμνος ἕτερος	DICTAMNUM ALTERUM
XXXIV	3	Ἐλελίσφακον	SALVIA
XXXV	3	Ἡδύοσμος	MENTHA
XXXVI	3	Καλαμίνθη	CALAMINTHA
XXXVII	3	Θύμος	THYMUM
XXXVIII	3	Θύμβρα	SATUREIA
XXXIX	3	Ἕρπυλλος	SERPILLUM
XL	3	Σάμψυχον	SAMPSUCHUM
XLI	3	Μελίλωτος	MELILOTUS, SIVE SERTULA CAMPANA
XLII	3	Μάρον	MARUM
XLIII	3	Ἄκινος	ACINOS
XLIV	3	Βάκχαρις	BACCHARIS
XLV	3	Πήγανον	RUTA
XLVI	3	Πήγανον ἄγριον	RUTA SYLVESTRIS
XLVII	3	Μῶλη / Μῶλυ	MOLY
XLVIII	3	Πάνακες ἡράκλειον	PANACES HERACLEUM
XLIX	3	Πάνακες ἀσκλήπιον	PANACES ASCLEPIUM
L	3	Πάνακες χειρώνιον	PANACES CHIRONIUM
LI	3	Λιγυστικόν	LIGUSTICUM
LII	3	Σταφυλῖνος	PASTINACA
LIII	3	Σέσελι	SESELI
LIV	3	Τορδύλιον	CRETICUM SESELI
LV	3	Σίσων	SISON
LVI	3	Ἄνισον	ANISUM
LVII	3	Κάρος	CARUM
LVIII	3	Ἄνηθον	ANETHUM
LIX	3	Κύμινον ἥμερον	CUMINUM SATIVUM
LX	3	Κύμινον ἄγριον	CUMINUM SYLVESTRE
LXI	3	Ἄμμι	AMMI
LXII	3	Κόριον ἤ κορίανον	CORIANDRUM
LXIII	3	Ἱεράκιον	HIERACIUM
LXIV	3	Σέλινον	APIUM
LXV	3	Σμύρνιον	SMYRNIUM
LXVI	3	Ἐλαφόβοσκον	ELAPHOBOSCUM
LXVII	3	Μάραθρον	FOENICULUM
LXVIII	3	Ἱππομάραθρον	FOENICULUM ERRATICUM
LXIX	3	Δαῦκος	DAUCUM
LXX	3	Δελφίνιον	DELPHINIUM
LXXI	3	Πυρέθρον	PYRETHRUM
LXXII	3	Λιβανωτὶς	ROSMARINUM
LXXIII	3	Λιβανωτὶς στεφανοματική	ROSMARINUM CORONARIUM
LXXIV	3	Σφονδύλιον	SPHONDYLIUM
LXXV	3	Νάρθηξ	FERULA
LXXVI	3	Πευκέδανος	PEUCEDANUM
LXXVII	3	Μελάνθιον	GITH SEU MELANTIUM
LXXVIII	3	Σίλφιον	LASERPITIUM
LXXIX	3	Σαγάπηνον	SAGAPENUM
LXXX	3	Εὐφόρβιον	EUPHORBIUM
LXXXI	3	Χαλβάνη	GALBANUM
LXXXII	3	Ἀμμωνιακὸν	AMMONIACUM
LXXXIII	3	Σαρκοκόλλα	SARCOCOLLA
LXXXIV	3	Γλαύκιον	GLAUCIUM
LXXXV	3	Κόλλα	GLUTINUM
LXXXVI	3	Ἰχθυόκολλα	PISCIUM GLUTINUM
LXXXVII	3	Ἰξὸς	VISCUM
LXXXVIII	3	Ἀπαρίνη	APARINE
LXXXIX	3	Ἄλυσσον	ALYSSUM
XC	3	Ἀσκληπιὰς	ASCLEPIAS
XCI	3	Ἀτρακτυλίς	ATRACTYLIS
XCII	3	Πολύκνημον	POLYCNEMUM
XCIII	3	Κλινοπόδιον	CLINOPODIUM
XCIV	3	Λεοντοπέταλον	LEONTOPETALUM
XCV	3	Τεύκριον	TEUCRIUM
XCVI	3	Χαμαίδρυς	TRISSAGO
XCVII	3	Λευκὰς	LEUCAS
XCVIII	3	Λυχνὶς	LYCHNIS
XCIX	3	Κρίνον	LILIUM
C	3	Βαλλωτὴ	BALLOTE
CI	3	Μελισσόφυλλον	APIASTRUM
CII	3	Πράσιον	MARRUBIUM
CIII	3	Στάχυς	STACHYS
CIV	3	Φυλλίτις	PHYLLITIS
CV	3	Φαλάγγιον	PHALANGIUM
CVI	3	Τρίφυλλον	TRIFOLIUM
CVII	3	Πόλιον	POLIUM
CVIII	3	Σκόρδιον	SCORDIUM
CIX	3	Βήχιον	TUSSILAGO
CX	3	Ἀρτεμισία	ARTEMISIA
CXI	3	Ἀρτεμισία λεπτόφυλλος	ARTEMISIA TENUIFOLIA
CXII	3	Ἀμβροσία	AMBROSIA
CXIII	3	Βότρυς	BOTRYS
CXIV	3	Γεράνιον	GERANIUM
CXV	3	Γναφάλιον	GNAPHALIUM
CXVI	3	Τύφη	TYPHA
CXVII	3	Κιρκαία	CIRCAEA
CXVIII	3	Οἰνάνθη	OENANTHE
CXIX	3	Κόνυζα	CONYZA
CXX	3	Ἡμεροκαλλὶς	HEMEROCALLIS
CXXI	3	Λευκόϊον	LEUCOIUM SIVE ALBA VIOLA
CXXII	3	Κραταιόγονον	CRATAEOGONUM
CXXIII	3	Φύλλον	PHYLLON
CXXIV	3	Ὄρχις	TESTICULUS
CXXV	3	Ὄρχις ἕτερος	TESTICULUS ALTER
CXXVI	3	Σατύριον	SATYRIUM
CXXVII	3	Σατύριον ἐρυθρόνιον	SATYRIUM ERYTHRONIUM
CXXVIII	3	Ὅρμινον	HORMINUM
CXXIX	3	Ἡδύσαρον	HEDYSARUM
CXXX	3	Ὄνοσμα	ONOSMA
CXXXI	3	Νυμφαία	NYMPHAEA
CXXXII	3	Νυμφαία ἑτέρα	NYMPHAEA ALTERA
CXXXIII	3	Ἀνδρόσακες	ANDROSACES
CXXXIV	3	Ἄσπληνον	ASPLENUM
CXXXV	3	Ἡμιωνῖτις	HEMIONITIS
CXXXVI	3	Ἀνθυλλίς	ANTHYLLIS
CXXXVII	3	Ἄνθεμις	ANTHEMIS
CXXXVIII	3	Παρθένιον	PARTHENIUM
CXXXIX	3	Βούφθαλμον	BUPHTHALMUM
CXL	3	Γλυκυσίδη	PAEONIA
CXLI	3	Λιθόσπερμον	LITHOSPERMUM
CXLII	3	Φάλαρις	PHALARIS
CXLIII	3	Ἐρυθρόδανον	RUBIA
CXLIV	3	Λογχῖτις	LONCHITIS
CXLV	3	Λογχῖτις ἑτέρα	LONCHITIS ALTERA
CXLVI	3	Ἀλθαία	ALTHAEA
CXLVII	3	Ἀλκέα	ALCEA
CXLVIII	3	Κάνναβις	CANNABIS
CXLIX	3	Ἀνάγυρις	ANAGYRIS
CL	3	Κηπαία	CEPAEA
CLI	3	Ἄλισμα	ALISMA
CLII	3	Ὀνοβρυχίς	ONOBRYCHIS
CLIII	3	Ὑπερικόν	HYPERICUM
CLIV	3	Ἄσκυρον	ASCYRUM
CLV	3	Ἀνδρόσαιμον	ANDROSAEMON
CLVI	3	Κόρις	CORIS
CLVII	3	Χαμαιπίτυς	AIUGA
I	4	Κέστρον	BETONICA
II	4	Βρετ<τ>ανική	BRITANICA
III	4	Λυσιμάχιον	LYSIMACHIA
IV	4	Πολύγονον	SANGUINARIA
V	4	Πολυγονάτον	POLYGONATUM
VI	4	Κληματίς	CLEMATIS
VII	4	Κληματίς ἑτέρα	CLEMATIS ALTERA
VIII	4	Πολεμώνιον	POLEMONIA
IX	4	Σύμφυτον	SYMPHYTUM
X	4	Ὁλόστιον	HOLOSTIUM
XI	4	Στοιβή	STOEBE
XII	4	Κλύμενον	CLYMENUM
XIII	4	Περικλύμενον	PERICLYMENUM
XIV	4	Τρίβολος	TRIBULUS
XV	4	Σαρξίφραγον	SAXIFRAGA
XVI	4	Λειμώνιον	LIMONIUM
XVII	4	Λαγώπους	LAGOPUS
XVIII	4	Μήδιον	MEDIUM
XIX	4	Ἐπιμήδιον	EPIMEDIUM
XX	4	Ξιφίον	GLADIOLUS
XXI	4	Σπαργάνιον	SPARGANIUM
XXII	4	Ξυρίς	XYRIS
XXIII	4	Ἄγχουσα	ANCHUSA
XXIV	4	Λύκοψις	LYCOPSIS
XXV	4	Ἔχιον	ECHIUM
XXVI	4	Ὠκιμοειδές	OCIMASTRUM
XXVII	4	Ἔρινος	ERINUS
XXVIII	4	Ἄγρωστις	GRAMEN
XXIX	4	Σιδηρῖτις	SIDERITIS
XXX	4	Σιδηρῖτις ἑτέρα	SIDERITIS ALTERA
XXXI	4	Σιδηρῖτις τρίτη	SIDERITIS TERTIA
XXXII	4	Ἀχίλλειος	ACHILLEA
XXXIII	4	Βάτος	RUBUS
XXXIV	4	Βάτος ἰδαία	RUBUS IDAEUS
XXXV	4	Ἡλξίνη	HELXINE
XXXVI	4	Ἐλατίνη	ELATINE
XXXVII	4	Εὐπατόριον	EUPATORIUM
XXXVIII	4	Πεντάφυλλον	QUINQUEFOLIUM
XXXIX	4	Φοίνιξ	PHOENIX
XL	4	Ἰδαία ῥίζα	IDAEA RADIX
XLI	4	Ῥοδία ῥίζα	RHODIA RADIX
XLII	4	Ἵππουρις	EQUISETUM
XLIII	4	Κόκκος βαφική	COCCUM INFECTORIUM
XLIV	4	Τράγιον	TRAGIUM
XLV	4	Τράγιον ἕτερον	TRAGIUM ALTERUM
XLVI	4	Τράγος	TRAGUM
XLVII	4	Σχοῖνος	IUNCUS
XLVIII	4	Λειχήν	LICHEN
XLIX	4	Παρωνυχία	PARONYCHIA
