2	168	ἀρίσαρόν
2	169	ἀσφόδελος
2	170	βολβὸς ἐδώδιμος
2	171	σκίλλα
2	172	παγκράτιον
2	173	κάππαρις
2	174	λεπίδιον
2	175	βατράχιον
2	176	ἀνεμώνη
2	177	ἀργεμώνη
2	178	ἀργεμώνη ἑτέρα
2	178	ἀναγαλλίς
2	179	κισσὸς
2	180	χελιδόνιον μέγα
2	181	χελιδόνιον τὸ μικρόν
2	182	ὀθόννα
2	183	μυὸς ὦτα
2	184	ἰσάτις
2	185	ἰσάτις ἀγρία
2	186	τηλεφώνιον
3	0	
3	1	ἀγαρικόν
3	2	ῥᾶ
3	3	γεντιανή
3	4	ἀριστολοχεία
3	5	γλυκύρριζα
3	6	κενταύρειον τὸ μέγα
3	7	κενταύρειον τὸ λεπτὸν ἢ μικρόν
3	8	χαμαιλέων λευκός
3	9	[χαμαιλέων] ὁ δὲ μέλας
3	10	κροκοδείλεον
3	11	δίψακος
3	12	ἄκανθα λευκή
3	13	ἄκανθα Ἀραβική
3	14	σκόλυμος
3	15	ποτίρριον
3	16	ἀκάνθιον
3	18	ἀνωνίς
3	19	λευκάκανθα
3	20	τραγάκανθα
3	21	ἠρύγγη
3	22	ἀλόη
3	23	ἀψίνθιον
3	24	ἁβρότονον
3	25	ὕσσωπος
3	26	στοιχάς
3	27	ὀρίγανος
3	28	ὀνῖτις
3	29	ἀγριορίγανος
3	30	τραγορίγανος
3	31	γλήχων
3	32	δίκταμνον
3	33	ἐλελίσφακον
3	34	ἡδύοσμον
3	35	καλαμίνθη
3	36	θύμος
3	37	θύμβρα
3	38	ἕρπυλλος
3	39	σάμψουχον
3	40	μελίλωτος
3	41	σισύμβριον
3	43	ἄκινος
3	44	βάκχαρις
3	45	πήγανον
3	46	πήγανον ἄγριον
3	47	μῶλυ
3	48	πάνακες Ἡράκλειον
3	49	πάνακες Ἀσκληπίει
3	50	πάνακες Χειρώνιον
3	51	λιγυστικόν
3	52	σταφυλῖνος ἄγριος
3	53	σέσελι
3	54	τόρδιλον
3	55	σίνων
3	56	ἄνησσον
3	57	καρώ
3	58	ἀνήθου
3	59	κύμινον τὸ ἥμερον
3	60	κύμινον ἄγριον
3	61	ἕτερον γένος ἀγρίου κυμίνου
3	62	ἄμι
3	63	κόριον
3	64	σέλινον κηπαῖον
3	65	ὀρεοσέλινον
3	66	πετροσέλινον
3	67	ἱπποσέλινον
3	68	σμύρνιον
3	69	ἐλαφοβόσκον
3	70	μάραθον
3	71	ἱππομάραθον
3	72	δαῦκος
3	73	πύρεθρος
3	74	λιβανωτίς
3	75	λιβανωτίς
3	76	σφονδύλιον
3	77	νάρθηκος
3	78	πευκέδανον
3	79	μελάνθιον
3	80	σίλφιον
3	81	σαγαπηνόν
3	82	εὐφόρβιον
3	83	χαλβάνη
3	84	ἀμμωνιακόν
3	85	σαρκοκόλλα
3	86	γλαύκιον
3	87	κόλλα
3	88	ἰχθυοκόλλα
3	89	ἰξός
3	90	ἀπαρίνη
3	91	ἄλυσσον
3	92	ἀσκληπιάς
3	93	ἀτρακτυλίς
3	94	πολύκνημον
3	95	κλινοπόδιον
3	96	λεοντοπέταλον
3	97	Τεύκριον
3	98	χαμαίρωψ
3	99	λευκάς
3	100	λυχνὶς στεφανωματική
3	101	λυχνὶς ἀγρία
3	102	κρίνον
3	103	βαλλωτή
3	104	μελισσόφυλλον
3	105	πράσιον
3	106	στάχυς
3	107	φυλλῖτις
3	108	φαλάγγιον
3	109	τρίφυλλον
3	110	πόλιον
3	111	σκόρδιον
3	112	βήχιον
3	113	ἀρτεμισία
3	114	ἀμβροσία
3	115	βότρυς
3	116	γεράνιον
3	117	γναφάλλιον
3	118	τύφη
3	119	κιρκαία
3	120	οἰνάνθη
3	121	κόνυζα
3	122	ἡμεροκαλλές
3	123	λευκόϊον
3	124	κραταιόγονον
3	125	φύλλον
3	126	ὄρχις
3	127	ὄρχις ἕτερος
3	128	σατύριον
3	129	ὅρμινον
3	130	ἡδύσαρον
3	131	ὄνοσμα
3	132	νυμφαία
3	133	ἀνδρόσακες
3	134	ἄσπληνος
3	135	ἡμιονῖτις
3	136	ἀνθυλλίς
3	137	ἀνθεμίς
3	138	παρθένιον
3	139	βούφθαλμον
3	140	γλυκυσίδη
3	141	λιθόσπερμον
3	142	φαληρίς
3	143	ἐρυθρόδανον
3	144	λογχῖτις
3	145	λογχῖτις ἕτερα
3	146	ἀλθαία
3	147	ἀλκαία
3	148	κάνναβις
3	149	ἀγρία κάνναβις
3	150	ἀνάγυρος
3	151	κηπαία
3	152	ἄλισμα
3	153	ὀνοβρυχίς
