lusitanus_iiif	lusitanus_entry	lusitanus_chapter
139	De cerasijs (cerasia / cereses). Acida cerasa (acida cerasa)	Enarratio 133
140	De ceratonijs (ceratium, ceratonium, dulcis siliqua, xylocaraton)	Enarratio 134
140	De malis (pomum malum / depomes)	Enarratio 144
142	De cydoniis (cydonia, cytonia, aurea mala, mala cotonea / des pomes coingnes)	Enarratio 146
142	De melimelis (melimela, poma mellei saporis)	Enarratio 147
143	De persicis (persica, poma persica / de pesches)	Enarratio 148
144	De armeniacis, et praecociis (armeniaca, praecoqua, praecocia / abricotz)	Enarratio 149
145	De citrijs (medica mala, citrium, citreum pomum / cedri). Species citri (limons)	Enarratio 150
147	De pyro (pyrum / poire). Pyrum sylvestre (sylvestre pyrum)	Enarratio 151
147	De mespilis (mespilum, tricoccon, mespilum trium ossiculorum, arontium. Secunda species (mespilum / des nesples)	Enarratio 152
148	De loto (lotus arbor, celtis / du aliser, alisa)	Enarratio 153
149	De corno (cornus arbor / cornelia, cornier)	Enarratio 154
150	De sorbo (sorbum / cormiera)	Enarratio 155
150	De prunis (prunum / des prunes)	Enarratio 156
153	De arbuto (comarus, arbutus, unedo, memecyles)	Enarratio 158
154	De amygdalis (amygdala / des mandoles)	Enarratio 159
155	De pistatijs (pistatium, fisticus / pistaches)	Enarratio 160
155	De nucibus (carya basilica, nuces iuglandes / des noix)	Enarratio 161
156	De avellanis (minores nuces, pontica nuces, avellanae)	Enarratio 162
157	De moris (sycamina, mora arboris mori / des mores)	Enarratio 163
157	De sycomoro (sycomorus, ficus aegyptia / figues de Adam)	Enarratio 164
158	De ficu (ficus / figues)	Enarratio 165
159	De persea arbore (persea, persica arbor / un peschier)	Enarratio 166
160	De hiberide (hiberis, lepidium, vice toxicum sylvestre nasturtium / passeraige saulvage)	Enarratio 167
163	In Dioscoridis Anazarbei librum secundum enarrationes doctoris Amati Lusitani medici celeberrimi. De echino marino (echinus, erinaceus marinus, erinaceus aquatilis / ericio marino)	Enarratio primi capitis
164	De erinaceo terrestri (echinus terrestris, erinaceus terrestris / ericcio terrestre)	Enarratio capitis secundi. De hippocampo (hippocampus / draconeto)
165	De purpuris et buccinis (purpura, buccina concharum genera)	Enarratio 4
166	De mytulis (myaces, mytuli, musculi)	Enarratio 5
167	De tellinis (tellinae)	Enarratio 6
167	De chamis (chamae)	Enarratio 7
167	De oniche (onix, conchula indica, ungula odorata, blatta bisantia)	Enarratio 8
168	De cochleis terrestribus (cochleae terrestres, limaces). Cochleae marinae (cochleae marinae)	Enarratio 9
168	De cancris (cancer fluviatilis)	Enarratio 10
169	De scorpione terrestri (scorpio terrestris / scorpion)	Enarratio 11
170	De marino scorpione (marinus scorpio / scorpion marin)	Enarratio 12
170	De dracone marino (draco marinus)	Enarratio 13
171	De scolopendra (scolopendra, centipes / centi piedi)	Enarratio 14
171	De torpedine (torpedo)	Enarratio 15
171	De vipera (viperae caro, vipera, marassus / vipere)	Enarratio 16
173	De anguium senecta (anguis senecta, anguina vernatio, spolium anguis, spolium colubri / spoglie de serpent)	Enarratio 17
174	De utroque lepore (lepus marinus / lievre marine). Lepus terrestris (lepus terrestris / lievre)	Enarratio 18
174	De pastinaca pisce (trygon, pastinaca, piscis colombus)	Enarratio 19
175	De sepia (siba / sepe)	Enarratio 20
176	De mullo pisce (trigla, mullus piscis, mullus barbatus / barbono)	Enarratio 21
178	De testiculo fluvialis equi (testiculus fluviatilis equi / coion di cheval marin)	Enarratio 22
178	Des castorio (amphibium, castorium, castoris testiculus, floer / castor)	Enarratio 23
178	De mustela (mnstela domestica / donnola)	Enarratio 24
179	De rana (rana / rana)	Enarratio 25
179	De siluro pisce (silurus, sturio / sturion)	Enarratio 26
180	De smaride pisce (smaris piscis, girrulus)	Enarratio 27
180	De maenis (maenae)	Enarratio 28
180	De gobio pisce (gobius, gobio, cobio / gobioni)	Enarratio 29
181	De thynni salsi carne (thynnus piscis / tonine)	Enarratio 30
181	De garo (garum / salmoire)	Enarratio 31
182	De recentium piscium esculento iure (ius, recentium piscium esculentum ius / broet de poisson)	Enarratio 32
183	De cimicibus (cimices / puneses)	Enarratio 33
183	De millepedibus (onisci, millepedes, vermes centipedes, multipedes, aselli)	Enarratio 34
184	De blatta molendini (blatta vermis)	Enarratio 35
184	De pulmone marino (pulmo marinus)	Enarratio 36
184	De pulmonibus nonnulorum animalium (pulmo, pulmo sullus / polmon de porceau). Pulmo agninus / polmon de agneau. Pulmo ursi / Pulmon de urso. Pulmo vulpis / pulmon de renart	Enarratio 37
185	De iocinore animalium (iecur, iociner)	Enarratio 38
186	De cervi masculi genitale (virga cervi / verge de cerf)	Enarratio 39
188	De ungulis animalium (ungulae asinorum)	Enarratio 40
188	De equorum lichenibus sive callis (lichenes equorum, calli equorum)	Enarratio 41
188	De veterum calciamentorum corto (corium veteris calceamenti, solea calceamenti)	Enarratio 42
189	De gallinis et gallis (galiinacei, gallinae / galz et polles)	Enarratio 43
190	De ovis (ovum / des oeufs)	Enarratio 44
191	De cicadis (cicadae / sigale)	Enarratio 45
192	De locustis (locustae / locuste)	Enarratio 46
192	De ossifrago ave (ossifragus secundum)	Enarratio 47
193	De galerita (galerita, alauda)	Enarratio 48
193	De hirundine (hirundo avis)	Enarratio 49
194	De ebore (ebur / ebore)	Enarratio 50
194	De suis talo (talus, porci talus, suis talus)	Enarratio 51
195	De cornu cervi (cornu cervinum / corne de cerf)	Enarratio 52
197	De eruca animali (eruca, bruchus)	Enarratio 53
198	De cantharidibus, buprestidibus, et picearum erucis (cantharides / cantharides). Buprestides (buprestides). Picearum erucae (erucae picearum)	Enarratio 54
199	De salamandra (salamandra / salamandre)	Enarratio 55
200	De araneis (araneus / ragne)	Enarratio 56
201	De lacerta (lacerta / lacerta)	Enarratio 57
201	De lacerta, quae dicitur seps (seps, chalcidica lacerta)	Enarratio 58
201	De scingo (scingus, terrestris crocodilius)	Enarratio 59
202	De lumbricis terrestribus (terrae vermes, terrae intestina, lumbrici)	Enarratio 60
202	De mure araneo (mus araneus)	Enarratio 61
203	De muribus (mures / sorizes)	Enarratio 62
203	De lacte (lac / du lat)	Enarratio 63
204	De sero lactis (serum, lactis aqua / ser du lat)	Enarratio 64
207	De lacte scissile (lac scissile, lac acetosum)	Enarratio 65
207	De caseo (caseus / formage)	Enarratio 66
207	De butyro (butyrum / beure)	Enarratio 67
208	De lana (lana)	Enarratio 68
208	Oesypus (oesypus, ovium sordes / isopo humide)	Enarratio 69
209	De coagulo (coagulum)	Enarratio 70
209	De adipe (adeps, pinguedo)	Enarratio 71
212	De medulla ossium animalium (medulla / moelle)	Enarratio 72
212	De felle animalis (fel)	Enarratio 73
213	De sanguine (sanguis)	Enarratio 74
214	De stercore animalium (stercus)	Enarratio 75
215	De urina (urina, lotium)	Enarratio 76
216	De melle (mel)	Enarratio 77
217	De cera (cera)	Enarratio 78
218	De propoli (propolis)	Enarratio 79
218	De tritico (triticum, frumentum / du ble)	Enarratio 80
219	De bordeo (bordeum / orge)	Enarratio 81
220	De zytho et curmi (zythum, curmi, cervisiae genera)	Enarratio 82
221	De zea (zea, semen, spelta)	Enarratio 83
221	De crimno (crimnum, granum tritici, vel speltae crasso modo tritum)	Enarratio 84
221	De olyra (olyra / du seigle blanche)	Enarratio 85
222	De athera pulticula (athera)	Enarratio 86
222	De trago (tragus)	Enarratio 87
222	De bromo (avena / avoyne)	Enarratio 88
223	De oryza (oryza, hordeum galaticum, rizum / du ritz)	Enarratio 89
223	De chondro et farre (alica, altera spelta, far)	Enarratio 90
223	De milo (milium / millio, du mil ou du milliet)	Enarratio 91
224	De panico (panicum / du panir semblable au milliet)	Enarratio 92
224	De sesamo (sesamum / sisame)	Enarratio 93
225	De lolio (lolium / giolio du ble)	Enarratio 94
225	De amylo (amylium, amydum)	Enarratio 95
226	De foeno graeco (foeno graecii, foenum graecum / fene grec)	Enarratio 96
226	De lino (linum)	Enarratio 97
226	De cicere (cicer / cices)	Enarratio 98
227	De fabis (faba)	Enarratio 99
228	De faba aegyptia (faba aegyptia)	Enarratio centesimi capitis
229	De lentibus (lens / lentille)	Enarratio 101
233	De phaseolo (phasiolus, phaseolus, dolichus, lobus, ervilia / erville grosse)	Enarratio 102
234	De orobo (orobus, ervum / vesse, au desers)	Enarratio 103
234	De lupinis (lupinus / lupin)	Enarratio 104
235	De rapis (rapum, rapa / naveau)	Enarratio 105
235	De napo (napum / navet)	Enarratio 106
236	De raphano (raphanus, radicula / rave, ou refort)	Enarratio 107
237	De sisaro (siser / des chiruites)	Enarratio 108
237	De rumice (lapathus, lapathum, lapatium, rumex, lapathum acutum / de la pareille ou de la patience). Domesticus rumex (domesticum lapathon, domesticus rumex, spinachia / espinarts). Oxalis (oxalis, acetosa)	Enarratio 109
238	De lampsana (lampsana, napum sylvestre, serum napum / saunes blanches)	Enarratio 110
239	De blito (blitum, blitus / blete)	Enarratio 111
