lusitanus_iiif	lusitanus_entry	lusitanus_chapter
475	De vino cotoneorum	Enarratio 21
475	De hydromalo	Enarratio 22
475	De omphacomele	Enarratio 23
475	De vino ex pyris	Enarratio 24
475	De vino oenanthino	Enarratio 25
475	De vino malorum granatorum	Enarratio 26
476	De vino rosaceo	Enarratio 27
476	De vino ex baccis myrti	Enarratio 28
476	De vino myrteo	Enarratio 29
476	De lentiscino et terebinthino vino	Enarratio 30
476	De palmeo vino	Enarratio 31
476	De vino ex caricis confecto. De vino resinato	Enarratio 32
476	33. De vino ex pineis mucibus condito. De vino ex cedro, ac alijs fructibus confecto. De vino picato	Enarratio 34, 35, 36
477	De vino absinthite	Enarratio 37
477	De vino hyssopite	Enarratio 38
477	De pluribus et ex diversis plantis conditis vinis	Enarratio 39
477	De vino aromatite	Enarratio 40
477	De vinis pluribus diversisque odoramentis conditis	Enarratio 41
477	De varijs vinis ex varijs herbis confectis	Enarratio 42
477	De varijs lapidibus metallicis, et primo de cadmia	Enarratio 43
479	De pompholyge, et spodio	Enarratio 44
480	De antispodio	Enarratio 45
480	De aere cremato	Enarratio 46
480	De flore aeris	Enarratio 47
481	De squama aeris	Enarratio 48
481	De squama chalybis, dicta stomoma	Enarratio 49
481	De rasili aerugine, quam viride aeris vacant. De aerugine scoletia, id est vermiculari aerugine	Enarratio 50, 51
482	De ferri rubigine. De scoria ferri	Enarratio 52
482	53. De lotura plumbi, et eloto plumbo. De coctura plumbi, et cremato plumbo	Enarratio 54
482	55. De scoria sive recremento plumbi	Enarratio 56
483	De lapide plumbario	Enarratio 57
484	De stimmio	Enarratio 58
484	De molybdaena artificiali Galena dicta. De molybdaena fossili, sive naturali dicta	Enarratio 59, 60
485	De argenti scoria	Enarratio 61
485	De lithargyro, idest spuma argenti	Enarratio 62
486	De cerussa (psimmithum, cerussa / ceruse)	Enarratio 63
486	De chrysocolla (chrysocolla, auricolla, borax / borace)	Enarratio 64
487	De armenio lapide	Enarratio 65
487	De lapide cyaneo (lapis cyaneus, lapis caeruleus, lapis lazuli)	Enarratio 66
488	De indico lapide (lapis indicus, indicum, succus issatidis herbae / nihil)	Enarratio 67
488	De ochra (ochra)	Enarratio 68
488	De cinnabari (cinnabaris, sanguis draconis, lachryma draconis arboris / seng di dracon). De cinnabrio fossili, et artificiali (cinnabrium fossile, minium naturale)	Enarratio 69
489	De argento vivo (hydrargyros, argentum vivum / argent vive)	Enarratio 70
491	De rubrica sinopide	Enarratio 71
492	De rubrica fabrili, quam Hispani almagri dicunt, Germani vero bergrotel	Enarratio 72
492	De terra lemnia	Enarratio 73
493	De chalcantho (chalcanthos, atramentum sutorium, vitriolum / vitriolo)	Enarratio 74
494	De chalcitide	Enarratio 75
494	De psorico	Enarratio 76
494	De misy	Enarratio 77
495	De melanteria (melanteria, metallicum atramentum)	Enarratio 78
495	De sory (sory, vitriolum romanum / vitriolo romano)	Enarratio 79
496	De diphrige	Enarratio 80
496	De arsenico, id est auripigmento (arsenicum croceum, auripigmentum). De sandaracha (sandaracha fossilis, arsenicum rubeum)	Enarratio 81, 82
497	De alumine (stiptere, alumen)	Enarratio 83
498	De sulphure (sulphur / sulphur)	Enarratio 84
499	De punice lapide (cisseris, lapis pumex)	Enarratio 85
499	De sale. De spuma salis. De muria. De flore salis	Enarratio 86, 87, 88, 89
501	De nitro. De spuma nitri	Enarratio 90
501	91. De fece vini	Enarratio 92
502	De calce vina	Enarratio 93
502	De gypso	Enarratio 94
502	De sarmentorum vitium cinere	Enarratio 95
503	De halcyonio (halcyonium, spuma maris / alcyonio)	Enarratio 96
503	De adarce	Enarratio 97
504	De spongijs	Enarratio 98
504	De corallio	Enarratio 99
505	De lapide phrygio	Enarratio 100
505	De lapide asio	Enarratio 101
505	De pyrite lapide, marchasita dicto	Enarratio 102
506	De haematite, lapide sanguinario dicto	Enarratio 103
506	Dae schisto lapide	Enarratio 104
507	De gagate	Enarratio 105
507	De lapide thracio	Enarratio 106
507	De magnete lapide	Enarratio 107
508	De lapide arabico	Enarratio 108
508	De galactite, idest lactario lapide. De melitite	Enarratio 109
508	110. De morochtho lapide	Enarratio 111
508	De onyche, idest alabastrite lapide	Enarratio 112
508	De thyite lapide	Enarratio 113
509	De lapide iudaico	Enarratio 114
509	De amiantho lapide	Enarratio 115
509	De sapphiro lapide	Enarratio 116
510	De memphite lapide	Enarratio 117
510	De selenite : id est lunari lapide	Enarratio 118
510	De iaspide	Enarratio 119
511	De aetite : lapide aquilae dicto	Enarratio 120
511	De ophite, id est serpentario lapide	Enarratio 121
512	De lapide spongiarum	Enarratio 122
512	De lithocolla	Enarratio 123
512	De ostracite lapide	Enarratio 124
512	De smyre lapide	Enarratio 125
512	De arena marina	Enarratio 126
513	De naxio lapide	Enarratio 127
513	De lapide geode	Enarratio 128
513	De omni terra. 129. De eretria terra. 130. De terra samia (astrum samium, talchum)	Enarratio 131
513	De lapide samio. 132. De terra chia. 133. De terra selenusia. 134. De terra cimolia. 135. De terra pnigite. 136. De cinere marinarum testarum. 137. De terra rubra ex fornacibus. 138. De melia terra. 139. De ampelite terra. 140	Enarratio
514	De fuligine pictorum. De atramento librario	Enarratio 141
