laguna_scan_id	laguna_book	laguna_page	laguna_chapter	laguna_title	laguna_iiif
345	Libro tercero	333	Cap CI	Del Atractyl	
346	Libro tercero	334	Cap CII	Del Polycnemon	
346	Libro tercero	334	Cap CIII	del Clinopodio	
346	Libro tercero	334	Cap CIIII	Del Leontopetalo	
347	Libro tercero	335	Cap CXV	Del Teucrio	
347	Libro tercero	335	Cap CVI	De la Camedrys	
348	Libro tercero	336	Cap CVII	De la Leucada	
348	Libro tercero	336	Cap CVIII	De la lychnide coronaria	
348	Libro tercero	336	Cap CIX	De la lychnide saluage	
349	Libro tercero	337	Cap CX	Del Lirio	
349	Libro tercero	337	Cap CXI	De la Balot	
350	Libro tercero	338	Cap CXII	Del Torongil	
351	Libro tercero	339	Cap CXIII	Del Marrubio	
351	Libro tercero	339	Cap CXIIII	Del Stachy	
352	Libro tercero	340	Cap CXV	De la Phylitide	
353	Libro tercero	341	Cap CXVI	Del Phalangio	
353	Libro tercero	341	Cap CXVII	Del Trabol	
355	Libro tercero	343	Cap CXVIII	Del Polio	
355	Libro tercero	343	Cap CXIX	Del scordio	
356	Libro tercero	344	Cap CXX	De la tussilago	
357	Libro tercero	345	Cap CXXII	De la Artemisia	
357	Libro tercero	345	Cap CXXII	De la Artemissia de hojas subtiles	
358	Libro tercero	346	Cap CXXIII	De la Ambrosia	
359	Libro tercero	347	Cap CXXIIII	Del Botry	
359	Libro tercero	347	Cap CXXV	Del Geranio	
360	Libro tercero	348	Cap CXXVI	Del Gnaphalio	
360	Libro tercero	348	Cap CXXVII	De la Typha	
361	Libro tercero	349	Cap CXXVIII	De la Circea	
361	Libro tercero	349	Cap CXXIX	De la Enanthe	
362	Libro tercero	350	Cap CXXX	De la Conyza	
363	Libro tercero	351	Cap CXXXI	Del Hemerocalles, o lirio saluage	
364	Libro tercero	352	Cap CXXXII	Del Leucoio, que es el Ilamado Alhelys	
365	Libro tercero	353	Cap CXXXIII	Del Crateogono	
365	Libro tercero	353	Cap CXXXIIII	Del Folio	
365	Libro tercero	353	Cap CXXXV	Del Compagnon del perron	
366	Libro tercero	354	Cap CXXXVI	De otra fuerte de compagnon	
366	Libro tercero	354	Cap CXXXVII	Del satyrion	
