mm_id,chapter_key,berendes_term,beck_greek_lemma,wellmann_greek_lemma,matthiolo_greek,ratio_beck_wellmann,ratio_beck_matthiolo
MMK474,3.67,Gartensellerie,σέλινον κηπαῖον,σέλινον κηπαῖον,Σέλινον,1.000,0.636
MMK478,3.71,Petroselinon,πετροσέλινον; ἱπποσέλινον,πετροσέλινον; ἱπποσέλινον,ἱπποσέλινον,1.000,0.611
MMK486,3.79,Libanotis,λιβανωτίς,λιβανωτίς,Λιβανωτὶς; Λιβανωτὶς στεφανοματική,1.000,0.419
MMK509,3.102,Chamaidrys,χαμαίρωψ,χαμαίρωψ,Χαμαίδρυς,1.000,0.706
MMK511,3.104,Kranznelke,λυχνὶς στεφανωματική,λυχνὶς στεφανωματική,Λυχνὶς,1.000,0.462
MMK512,3.105,Wilde Nelke,λυχνὶς ἀγρία,λυχνὶς ἀγρία,Περἰ Λυχνίδος ἀγρίας,1.000,0.750
MMK557,3.150,Krapp,ἐρυθρόδανον ἢ ἐρευθέδανον,ἐρυθρόδανον ἢ ἐρευθέδανον,Ἐρυθρόδανον,1.000,0.611
MMK561,3.154,Malope,ἀλκαία,ἀλκαία,Ἀλκέα,1.000,0.727
MMK563,3.156,Wilder Hanf,ἀγρία κάνναβις,ἀγρία κάνναβις,Περἰ Καννάβεως ἀγρίας,1.000,0.629
MMK573,3.166,Andere Chamaipitys,κέστρον,κέστρον,Περἰ έτέρας Χαμαιπίτυος,1.000,0.267
MMK576,4.1,Kestron,βρεττανική,βρεττανική,Κέστρον,1.000,0.235
MMK577,4.2,Bretannika,λυσιμάχειος,λυσιμάχειος,Βρετ<τ>ανική,1.000,0.087
MMK578,4.3,Lysimachion,πολύγονον ἄρρεν,πολύγονον ἄρρεν,Λυσιμάχιον,1.000,0.320
MMK579,4.4,M?nnliches Polygonon,πολύγονον θῆλυ,πολύγονον θῆλυ,Πολύγονον,1.000,0.783
MMK582,4.7,Immergr?n,κληματίς,κληματίς,Κληματίς; Κληματίς ἑτέρα,1.000,0.500
MMK584,4.9,Felsensymphyton,σύμφυτον πετραῖον,σύμφυτον πετραῖον,Σύμφυτον,1.000,0.640
MMK590,4.15,Tribolos,τρίβολος χερσαῖος,τρίβολος χερσαῖος,Τρίβολος,1.000,0.640
MMK599,4.24,Andere Anchusa,ἄγχουσα ἑτέρα,ἄγχουσα ἑτέρα,Περἰ Άγχούσης έτέρας,1.000,0.727
MMK600,4.25,Weitere Anchusa,ἄγχουσα ἄλλη,ἄγχουσα ἄλλη,Περἰ έτέρας Άγχούσης,1.000,0.438
MMK601,4.26,Natternkopf,λυκαψός,λυκαψός,Λύκοψις,1.000,0.714
MMK606,4.31,Kalamagrostis,καλαμάγρωστις,καλαμάγρωστις,Περἰ Καλαμαγρώστεως,1.000,0.750
MMK607,4.32,Agrostis aus Parnass,ἡ δέ ἐν τῷ Παρνασσῷ ἄγρωστις,ἡ δέ ἐν τῷ Παρνασσῷ ἄγρωστις,Περἰ τη̃ς ἐν Παρνασσῷ ἀγρώστεως,1.000,0.724
MMK609,4.34,Andere Sideritis,ἄλλη σιδηρῖτις,ἄλλη σιδηρῖτις,Σιδηρῖτις ἑτέρα,1.000,0.621
MMK622,4.47,Andere Hippuris,ἑτέρα ἵππουρις,ἑτέρα ἵππουρις,Περἰ έτέρας Ίππούριδος,1.000,0.778
MMK625,4.50,Anderes Tragion,τράγιον ἄλλο,τράγιον ἄλλο,Τράγιον ἕτερον,1.000,0.692
