entry_a,entry_b,alignment_type,confidence,notes
"barbaro:IX",wellmann:1.101,equivalent,certain,
beck:1.10,berendes:1.9,equivalent,certain,
beck:1.10,gunther:1.9,equivalent,certain,
beck:1.10,laguna:1.10,equivalent,certain,
beck:1.10,lusitanus:9,equivalent,certain,
beck:1.10,monardes:IX,equivalent,certain,
beck:1.10,wellmann:1.101,equivalent,certain,
berendes:1.9,gunther:1.9,equivalent,certain,
berendes:1.9,laguna:1.10,equivalent,certain,
berendes:1.9,lusitanus:9,equivalent,certain,
berendes:1.9,monardes:IX,equivalent,certain,
berendes:1.9,wellmann:1.101,equivalent,certain,
gunther:1.9,laguna:1.10,equivalent,certain,
gunther:1.9,lusitanus:9,equivalent,certain,
gunther:1.9,monardes:IX,equivalent,certain,
gunther:1.9,wellmann:1.101,equivalent,certain,
laguna:1.10,lusitanus:9,equivalent,certain,
laguna:1.10,monardes:IX,equivalent,certain,
laguna:1.10,wellmann:1.101,equivalent,certain,
lusitanus:9,monardes:IX,equivalent,certain,
lusitanus:9,wellmann:1.101,equivalent,certain,
monardes:IX,wellmann:1.101,equivalent,certain,
"barbaro:X",beck:1.11,equivalent,certain,
"barbaro:X",berendes:1.10,equivalent,certain,
"barbaro:X",gunther:1.10,equivalent,certain,
"barbaro:X",laguna:1.11,equivalent,certain,
"barbaro:X",lusitanus:10,equivalent,certain,
"barbaro:X",monardes:X,equivalent,certain,
"barbaro:X",wellmann:1.11,equivalent,certain,
beck:1.11,berendes:1.10,equivalent,certain,
beck:1.11,gunther:1.10,equivalent,certain,
beck:1.11,laguna:1.11,equivalent,certain,
beck:1.11,lusitanus:10,equivalent,certain,
beck:1.11,monardes:X,equivalent,certain,
beck:1.11,wellmann:1.11,equivalent,certain,
berendes:1.10,gunther:1.10,equivalent,certain,
berendes:1.10,laguna:1.11,equivalent,certain,
berendes:1.10,lusitanus:10,equivalent,certain,
berendes:1.10,monardes:X,equivalent,certain,
berendes:1.10,wellmann:1.11,equivalent,certain,
gunther:1.10,laguna:1.11,equivalent,certain,
gunther:1.10,lusitanus:10,equivalent,certain,
gunther:1.10,monardes:X,equivalent,certain,
gunther:1.10,wellmann:1.11,equivalent,certain,
laguna:1.11,lusitanus:10,equivalent,certain,
laguna:1.11,monardes:X,equivalent,certain,
laguna:1.11,wellmann:1.11,equivalent,certain,
lusitanus:10,monardes:X,equivalent,certain,
lusitanus:10,wellmann:1.11,equivalent,certain,
monardes:X,wellmann:1.11,equivalent,certain,
"barbaro:XI",beck:1.12,equivalent,certain,
"barbaro:XI",berendes:1.11,equivalent,certain,
"barbaro:XI",laguna:1.12,equivalent,certain,
"barbaro:XI",lusitanus:11,equivalent,certain,
"barbaro:XI",monardes:XI,equivalent,certain,
"barbaro:XI",wellmann:1.12,equivalent,certain,
beck:1.12,berendes:1.11,equivalent,certain,
beck:1.12,laguna:1.12,equivalent,certain,
beck:1.12,lusitanus:11,equivalent,certain,
beck:1.12,monardes:XI,equivalent,certain,
beck:1.12,wellmann:1.12,equivalent,certain,
berendes:1.11,laguna:1.12,equivalent,certain,
berendes:1.11,lusitanus:11,equivalent,certain,
berendes:1.11,monardes:XI,equivalent,certain,
berendes:1.11,wellmann:1.12,equivalent,certain,
laguna:1.12,lusitanus:11,equivalent,certain,
laguna:1.12,monardes:XI,equivalent,certain,
laguna:1.12,wellmann:1.12,equivalent,certain,
lusitanus:11,monardes:XI,equivalent,certain,
lusitanus:11,wellmann:1.12,equivalent,certain,
monardes:XI,wellmann:1.12,equivalent,certain,
"barbaro:XII",beck:1.13,equivalent,certain,
"barbaro:XII",berendes:1.12,equivalent,certain,
"barbaro:XII",gunther:1.12,equivalent,certain,
"barbaro:XII",laguna:1.13,equivalent,certain,
"barbaro:XII",lusitanus:12,equivalent,certain,
"barbaro:XII",monardes:XII,equivalent,certain,
"barbaro:XII",wellmann:1.13,equivalent,certain,
beck:1.13,berendes:1.12,equivalent,certain,
beck:1.13,gunther:1.12,equivalent,certain,
beck:1.13,laguna:1.13,equivalent,certain,
beck:1.13,lusitanus:12,equivalent,certain,
beck:1.13,monardes:XII,equivalent,certain,
beck:1.13,wellmann:1.13,equivalent,certain,
berendes:1.12,gunther:1.12,equivalent,certain,
berendes:1.12,laguna:1.13,equivalent,certain,
berendes:1.12,lusitanus:12,equivalent,certain,
berendes:1.12,monardes:XII,equivalent,certain,
berendes:1.12,wellmann:1.13,equivalent,certain,
gunther:1.12,laguna:1.13,equivalent,certain,
gunther:1.12,lusitanus:12,equivalent,certain,
gunther:1.12,monardes:XII,equivalent,certain,
gunther:1.12,wellmann:1.13,equivalent,certain,
laguna:1.13,lusitanus:12,equivalent,certain,
laguna:1.13,monardes:XII,equivalent,certain,
laguna:1.13,wellmann:1.13,equivalent,certain,
lusitanus:12,monardes:XII,equivalent,certain,
lusitanus:12,wellmann:1.13,equivalent,certain,
monardes:XII,wellmann:1.13,equivalent,certain,
"barbaro:XIII",beck:1.14,equivalent,certain,
"barbaro:XIII",berendes:1.13,equivalent,certain,
"barbaro:XIII",gunther:1.13,equivalent,certain,
"barbaro:XIII",laguna:1.14,equivalent,certain,
"barbaro:XIII",lusitanus:13,equivalent,certain,
"barbaro:XIII",monardes:XIII,equivalent,certain,
"barbaro:XIII",wellmann:1.14,equivalent,certain,
beck:1.14,berendes:1.13,equivalent,certain,
beck:1.14,gunther:1.13,equivalent,certain,
beck:1.14,laguna:1.14,equivalent,certain,
beck:1.14,lusitanus:13,equivalent,certain,
beck:1.14,monardes:XIII,equivalent,certain,
beck:1.14,wellmann:1.14,equivalent,certain,
berendes:1.13,gunther:1.13,equivalent,certain,
berendes:1.13,laguna:1.14,equivalent,certain,
berendes:1.13,lusitanus:13,equivalent,certain,
berendes:1.13,monardes:XIII,equivalent,certain,
berendes:1.13,wellmann:1.14,equivalent,certain,
gunther:1.13,laguna:1.14,equivalent,certain,
gunther:1.13,lusitanus:13,equivalent,certain,
gunther:1.13,monardes:XIII,equivalent,certain,
gunther:1.13,wellmann:1.14,equivalent,certain,
laguna:1.14,lusitanus:13,equivalent,certain,
laguna:1.14,monardes:XIII,equivalent,certain,
laguna:1.14,wellmann:1.14,equivalent,certain,
lusitanus:13,monardes:XIII,equivalent,certain,
lusitanus:13,wellmann:1.14,equivalent,certain,
monardes:XIII,wellmann:1.14,equivalent,certain,
"barbaro:XIIII",beck:1.15,equivalent,certain,
"barbaro:XIIII",berendes:1.14,equivalent,certain,
"barbaro:XIIII",gunther:1.14,equivalent,certain,
"barbaro:XIIII",laguna:1.15,equivalent,certain,
"barbaro:XIIII",lusitanus:14,equivalent,certain,
"barbaro:XIIII",monardes:XIIII,equivalent,certain,
"barbaro:XIIII",wellmann:1.15,equivalent,certain,
beck:1.15,berendes:1.14,equivalent,certain,
beck:1.15,gunther:1.14,equivalent,certain,
beck:1.15,laguna:1.15,equivalent,certain,
beck:1.15,lusitanus:14,equivalent,certain,
beck:1.15,monardes:XIIII,equivalent,certain,
beck:1.15,wellmann:1.15,equivalent,certain,
berendes:1.14,gunther:1.14,equivalent,certain,
berendes:1.14,laguna:1.15,equivalent,certain,
berendes:1.14,lusitanus:14,equivalent,certain,
berendes:1.14,monardes:XIIII,equivalent,certain,
berendes:1.14,wellmann:1.15,equivalent,certain,
gunther:1.14,laguna:1.15,equivalent,certain,
gunther:1.14,lusitanus:14,equivalent,certain,
gunther:1.14,monardes:XIIII,equivalent,certain,
gunther:1.14,wellmann:1.15,equivalent,certain,
laguna:1.15,lusitanus:14,equivalent,certain,
laguna:1.15,monardes:XIIII,equivalent,certain,
laguna:1.15,wellmann:1.15,equivalent,certain,
lusitanus:14,monardes:XIIII,equivalent,certain,
lusitanus:14,wellmann:1.15,equivalent,certain,
monardes:XIIII,wellmann:1.15,equivalent,certain,
"barbaro:XV",beck:1.16,equivalent,certain,
"barbaro:XV",berendes:1.15,equivalent,certain,
"barbaro:XV",gunther:1.15,equivalent,certain,
"barbaro:XV",laguna:1.16,equivalent,certain,
"barbaro:XV",lusitanus:15,equivalent,certain,
"barbaro:XV",monardes:CXXVI,equivalent,certain,
"barbaro:XV",wellmann:1.16,equivalent,certain,
beck:1.16,berendes:1.15,equivalent,certain,
beck:1.16,gunther:1.15,equivalent,certain,
beck:1.16,laguna:1.16,equivalent,certain,
beck:1.16,lusitanus:15,equivalent,certain,
beck:1.16,monardes:CXXVI,equivalent,certain,
beck:1.16,wellmann:1.16,equivalent,certain,
berendes:1.15,gunther:1.15,equivalent,certain,
berendes:1.15,laguna:1.16,equivalent,certain,
berendes:1.15,lusitanus:15,equivalent,certain,
berendes:1.15,monardes:CXXVI,equivalent,certain,
berendes:1.15,wellmann:1.16,equivalent,certain,
gunther:1.15,laguna:1.16,equivalent,certain,
gunther:1.15,lusitanus:15,equivalent,certain,
gunther:1.15,monardes:CXXVI,equivalent,certain,
gunther:1.15,wellmann:1.16,equivalent,certain,
laguna:1.16,lusitanus:15,equivalent,certain,
laguna:1.16,monardes:CXXVI,equivalent,certain,
laguna:1.16,wellmann:1.16,equivalent,certain,
lusitanus:15,monardes:CXXVI,equivalent,certain,
lusitanus:15,wellmann:1.16,equivalent,certain,
monardes:CXXVI,wellmann:1.16,equivalent,certain,
"barbaro:XVI",beck:1.17,equivalent,certain,
"barbaro:XVI",berendes:1.16,equivalent,certain,
"barbaro:XVI",gunther:1.16,equivalent,certain,
"barbaro:XVI",laguna:1.17,equivalent,certain,
"barbaro:XVI",lusitanus:16,equivalent,certain,
"barbaro:XVI",monardes:XVI,equivalent,certain,
"barbaro:XVI",wellmann:1.17,equivalent,certain,
beck:1.17,berendes:1.16,equivalent,certain,
