mm_id,chapter_key,berendes_term,beck_greek_lemma,beck_latin_lemma
MMK142,1.140,Oelsatz,,
MMK143,1.141,Thr?ne des ?thiopischen Oelbaumes,,
MMK144,1.142,Eiche,δρῦς,Oak
MMK145,1.143,Eicheln,,
MMK146,1.144,Speiseeiche und Ilexeiche,,
MMK147,1.145,Kastanien,,
MMK148,1.146,Gall?pfel,κηκίς,Cecis
MMK149,1.147,Gerbersumach,ῥοῦς ὁ ἐπὶ τά ὄψα,Sumac
MMK150,1.148,Dattelpalme,φοῖνιξ,Date palm
MMK151,1.149,Thebanische Datteln,,
MMK152,1.150,Bl?thenscheide der Palme,,
MMK153,1.151,Granatapfel,ῥόα,Pomegranate
MMK154,1.152,Granatbl?the,βαλαύστιον,Flower of the wild pomegranate
MMK155,1.153,Granatrinde,,
MMK156,1.154,Balaustion,,
MMK157,1.155,Myrte,μυρσίνη ἡ ἥμερος,Cultivated myrtle
MMK158,1.156,Myrtidanon,,
MMK159,1.157,Kirschen,κεράσια,Fruit of the cherry tree
MMK160,1.158,Johannisbrodfrucht,κεράτια,Fruit of the carob tree
MMK161,1.159,Apfelbaum,μηλέα,Apple tree
MMK162,1.160,Quitten?pfel,,
MMK163,1.161,Honig?pfel,,
MMK164,1.162,Epirotische Aepfel,,
MMK165,1.163,Wilde Aepfel,,
MMK166,1.164,Pfirsiche,,
MMK167,1.165,Armenische Aepfel,,
MMK168,1.166,Medische Aepfel,,
MMK169,1.167,Birne,ἄπιος,Pear
MMK170,1.168,Wilder Birnbaum,,
MMK171,1.169,Mispel,μέσπιλον,Medlar tree
MMK172,1.170,Die andere Mispel,,
MMK173,1.171,Lotos,λωτός,Nettle tree
MMK174,1.172,Kornelkirsche,κρανία,Cornelian cherry tree
MMK175,1.173,Speierlingsfrucht,οὖα,Sorb apples
MMK176,1.174,Pflaumenbaum,κοκκυμηλέα,Plum tree
MMK177,1.175,Erdbeerbaum,κόμαρος,Strawberry tree
MMK178,1.176,Mandelbaum,ἀμυγδάλη,Almond
MMK179,1.177,Pistacien,πιστάκια,Pistachio nuts
MMK180,1.178,Walln?sse,κάρυα βασιλικά,Walnuts
MMK181,1.179,Haseln?sse,,
MMK182,1.180,Maulbeerbaum,μορέα ἢ συκάμινον,Mulberry tree
MMK183,1.181,Sykomore,συκόμορον,Sycamore fig
MMK184,1.182,Feige auf Kypern,σῦκα,Figs
MMK185,1.183,Feigen,,
MMK186,1.184,Wilder Feigenbaum,,
MMK187,1.185,Winterfeigen,,
MMK188,1.186,Aschenlauge des Feigenbaumes,,
MMK189,1.187,Persea,περσαία,Persea
MMK190,1.X,,,
MMK191,2.1,Seeigel,ἐχῖνος θαλάσσιος,Sea urchin
MMK192,2.2,Landigel,ἐχῖνος χερσαῖος,Hedgehog
MMK193,2.3,Seepferdchen,ἱππόκαμπος,Sea horse
MMK194,2.4,Purpurschnecke,πορφύρα,Murex
MMK195,2.5,Trompetenschnecke,,
MMK196,2.6,Kionion,,
MMK197,2.7,Miesmuschel,μύακες Ποντικοί,Pontic sea mussels
MMK198,2.8,Plattmuscheln,τελλῖναι,Tellina
MMK199,2.9,Chienmuschel,πορφύρας πώματα,Opereula of murex
MMK200,2.10,Onyx,ὄνυξ,Onyx
MMK201,2.11,Schnecken,κοχλίας χερσαῖος,Land snail
MMK202,2.12,Krebse,καρκίνων ποταμίων καέντων ἡ τέφρα,Ash of calcined riverine crabs.
MMK203,2.13,Landskorpion,σκόρπιος χερσαῖος,Land scorpion
MMK204,2.14,Seeskorpion,θαλασσίου σκορπίου,Bile of sea scorpion
MMK205,2.15,Meerdrache,δράκων θαλάσσιος,Greater weever
MMK206,2.16,Skolopender,σκολοπένδρα θαλασσία,Sea scolopendra
MMK207,2.17,Zitterrochen,νάρκη θαλασσία,Electric ray
MMK208,2.18,Otter,ἐχίδνη,Viper
MMK209,2.19,Schlangenhaut,ὄφις,Serpent
MMK210,2.20,Meerhase,λαγωὸς θαλάσσιος,Sea hare
MMK211,2.21,Landhase,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,The brain of the land hare
MMK212,2.22,Stechrochen,τρυγόνος θαλασσίας τὸ κέντρον,Stingray sting
MMK213,2.23,Tintenfisch,σηπίας τὸ μέλαν,Ink of boiled cuttlefish
MMK214,2.24,Seebarbe,τρίγλα,Red mullet
MMK215,2.25,Hoden des Flusspferdes,ὄρχις ἱπποποτάμου,Testicle of hippopotamus
MMK216,2.26,Hoden des Bibers,καὶ ὁ τοῦ κάστορος ὄρχις,Testicle of beaver
MMK217,2.27,Hauswiesel,γαλῆ κατοικίδιος,Domesticated weasel
MMK218,2.28,Fr?sche,βάτραχοι,Frogs
MMK219,2.29,Wels,σίλουρος,Sheatfish
MMK220,2.30,Brasse,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,Head of salted smarts
MMK221,2.31,M?na,καὶ ἡ τῆς μαινίδος κεφαλὴ,Head of Mainis
MMK222,2.32,Gobion,κωβίος,Goby
MMK223,2.33,Rohe P?kelung,ὠμοτάριχος,Omotarichos
MMK224,2.34,Garum,γάρος,Garum
MMK225,2.35,Br?he von frischen Fischen,ζωμὸς ἰχθύων,Fish broth
MMK226,2.36,Wanzen,κόρεις οἱ ἀπὸ κλίνης,Bed-bugs
MMK227,2.37,Kubariden,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,Wood lice
MMK228,2.38,Schabe,σίλφη,Cockroach
MMK229,2.39,Seelunge,πνεύμων θαλάσσιος,Jellyfish
MMK230,2.40,Schweinelunge,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,"Pig, lamb, [and bear] lung"
MMK231,2.41,Fuchslunge,ἀλώπεκος πνεύμων,Lung of fox
MMK232,2.42,Eselleber,ἧπαρ ὄνειον,Ass’s liver
MMK233,2.43,Kurzwildpret des Edelhirsches,αἰδοῖον ἄρρενος ἐλάφου,Genitalia of stag
MMK234,2.44,Eselshufe,ὄνυχες ὄνων,Asses’ hooves
MMK235,2.45,Flechten der Pferde,λειχῆνες ἵππων,Chestnuts of horses
MMK236,2.46,Ziegenklauen,οἱ δὲ τῶν αἰγων ὄνύχες,Hooves of she-goats
MMK237,2.47,Ziegenleber,τοῦ δὲ ἤπατος τῆς αἰγὸς ἰχώρ,Juice of she-goat liver
MMK238,2.48,Leber des Ebers,τὸ δὲ τοῦ κάπρου ἧπαρ,Boar’s liver
MMK239,2.49,Leber des tollen Hundes,κυνὸς δὲ λυσσῶντος ἧπαρ,Liver of rabid dog
MMK240,2.50,Leber des Tauchers,αἰθυίας ἧπαρ,Liver of shearwater
MMK241,2.51,Sohlleder,κασσυμάτων παλαιὰ δέρματα,Leather of shoe soles
MMK242,2.52,H?hner,ἀλεκτορίδες,Hens
MMK243,2.53,Gehirn des Huhns,,
MMK244,2.54,Ei,ᾠόν,Egg
MMK245,2.55,Das Weisse vom Ei,,
MMK246,2.56,Cikaden,τέττιγες,Cicadas
MMK247,2.57,Heuschrecken,ἀκρίδες,Locusts
MMK248,2.58,Phinis,φήνη,Phene
MMK249,2.59,Haubenlerche,κορυδαλλός,Lark
MMK250,2.60,Schwalbe,χελιδὸνος νεοσσοί,Swallow’s nestlings
MMK251,2.61,Elephant,ἐλέφαντος ὀδούς,Elephant’s tooth
MMK252,2.62,Sprungbein des Schweines,ἀστράγαλος ὑός,Hog’s hock
MMK253,2.63,Hirschhorn,ἐλάφου κέρας,Hart’s horn
MMK254,2.64,Raupen,κάμπαι,Caterpillars
MMK255,2.65,Kanthariden,κανθαρίδες,Blister beetles
MMK256,2.66,Buprestis,,
MMK257,2.67,Salamander,σαλαμάνδρα,Salamander
MMK258,2.68,Spinne,ἀράχνη τὸ ζῷον,Spider
MMK259,2.69,Eidechse,σαύρας ἡ κεφαλὴ,Head of lizard
MMK260,2.70,Seps,σήψ,Seps
MMK261,2.71,Skink,σκίγκος,Skink
MMK262,2.72,Eingeweide der Erde (Erdw?rmer),γῆς ἔντερα,Earthworms
MMK263,2.73,Spitzmaus,μυογαλῆ,Shrewmouse
MMK264,2.74,M?use,μύες,Mice
MMK265,2.75,Milch,γάλα,Milk
MMK266,2.76,Molken,,
MMK267,2.77,Geronnene Milch,,
MMK268,2.78,Frauenmilch,,
MMK269,2.79,Frischer K?se,τυρός,Cheese
MMK270,2.80,Hippake,,
MMK271,2.81,Butter und der aus ihr bereitete Russ,βούτυρον,Butter
MMK272,2.82,Wolle,ἔρια οἰσυπηρά,Greasy wool
MMK273,2.83,Gebrannte Wolle,,
MMK274,2.84,Wollfett,οἴσυπος,Fat from greasy wool
MMK275,2.85,Lab,πιτύα,Rennet
MMK276,2.86,Fett,στέαρ,Fat
MMK277,2.87,Schweine- und B?renfett,,
MMK278,2.88,"Ziegenbock-, Schaf- und Hirschfett",,
MMK279,2.89,Rinderfett,,
MMK280,2.90,"Stier-, Panther- und L?wenfett",,
MMK281,2.91,Wie das Fett gew?rzt wird,,
MMK282,2.92,Wie das Fett mit Majoran gew?rzt wird,,
MMK283,2.93,G?nse- und H?hnerfett,,
MMK284,2.94,Die Kraft der Fette,,
MMK285,2.95,Mark,μυελός,Marrow
MMK286,2.96,Jegliche Art Galle,χολή,Bile
MMK287,2.97,Blut,αἷμα,Blood
MMK288,2.98,Koth,ἀπόπατος,Dung
MMK289,2.99,Urin,οὖρον,Urine
MMK290,2.100,Lyngurion,,
MMK291,2.101,Honig,μέλι,Honey
MMK292,2.102,Honig in Sardinien,,
MMK293,2.103,Pontischer Honig,,
MMK294,2.104,Honig des Zuckerrohrs,,
MMK295,2.105,Wachs,κηρός,Wax
MMK296,2.106,Vorwachs,πρόπολις,Bee glue
MMK297,2.107,Weizen,πυροί,Wheat
MMK298,2.108,Gerste,κριθή,Barley
MMK299,2.109,Zythos,ζύθος,Beer
MMK300,2.110,Kurmi,κοῦρμι,Courmi
MMK301,2.111,Dinkel,ζέα,Zea
MMK302,2.112,Schrot,κρίμνον,Crimnon
MMK303,2.113,Olyra,ὄλυρα,Rice-wheat
MMK304,2.114,Athera,ἀθήρα,Gruel
MMK305,2.115,Tragos,τράγος,Spelt
MMK306,2.116,Hafer,βρόμος,Oats
MMK307,2.117,Reis,ὄρυζα,Rice
MMK308,2.118,Graupen,χόνδρος,Groats
MMK309,2.119,Hirse,κέγχρος,Millet
MMK310,2.120,Mohrenhirse,ἔλυμος,Italian millet
MMK311,2.121,Sesam,σήσαμον,Sesame
MMK312,2.122,Taumellolch,αἶρα,Darnel
MMK313,2.123,St?rkemehl,ἄμυλον,Starch
MMK314,2.124,Bockshornmehl,τέλεως ἄλευρον,Meal of fenugreek
MMK315,2.125,Lein,λινόσπερμον,Linseed
MMK316,2.126,Erbse,ἐρέβινθος ὁ ἥμερος,Cultivated chick- pea
MMK317,2.127,Griechische Bohne,κύαμος Ἑλληνικός,Greek bean
MMK318,2.128,Aegyptische Bohne,Αἰγύπτιος κύαμος,Egyptian bean
MMK319,2.129,Linse,φακός,Lentil
MMK320,2.130,Zwergbohne,,
MMK321,2.131,Linsenwicke,ὄροβος,Bitter vetch
MMK322,2.132,Lupine,θέρμος,Lupine
MMK323,2.133,Wilde Lupine,,
MMK324,2.134,Weisse R?be,γογγύλη,Turnip
MMK325,2.135,Wilde weisse R?be,,
MMK326,2.136,Feldkohl,βουνιάς,French turnip
MMK327,2.137,Rettig,ῥαφανίς,Radish
MMK328,2.138,Wilder Rettig,,
MMK329,2.139,Sisaron,σίσαρον,Parsnip
MMK330,2.140,Ampfer,λάπαθον,Monk’s rhubarb
MMK331,2.141,Hippolapathon,ἱππολάπαθον,Dock sorrel
MMK332,2.142,Grauer Senf,λαμψάνη,Charlock
MMK333,2.143,Gem?seamaranth,βλίτον,Blite
MMK334,2.144,Malve,μολόχη,Mallow
MMK335,2.145,Gartenmelde,ἀνδράφαξυς,Orach
MMK336,2.146,Kohl,κράμβη ἥμερος,Cultivated cabbage
MMK337,2.147,Wilder Kohl,κράμβη ἀγρία,~ B. cretica. Wild cabbage
MMK338,2.148,Meerkohl,κράμβη ἡ θαλασσία,Sea cole
MMK339,2.149,Bete,σεῦτλον,Beet
MMK340,2.150,Portulak,ἀνδράχνη,Purslane
MMK341,2.151,Spargel,ἀσπάραγος πετραῖος ἢ μυάκανθος,Asparagus
MMK342,2.152,Wegerich,ἀρνόγλωσσον,Plantain
MMK343,2.153,Merk,σίον,Water parsnip
MMK344,2.154,Sisymbrion,σισύμβριον,Watercress
MMK345,2.155,Das andere Sisymbrion,,
MMK346,2.156,Meerfenchel,κρῆθμον,Samphire
MMK347,2.157,Niedriger Schotenklee,κορωνόπους,Hartshorn
MMK348,2.158,G?nsedistel,σόγχος,Sow thistle
MMK349,2.159,Seris,σέρις,Chicory or Endive
MMK350,2.160,Knorpelsalat,χονδρίλη,Gum
MMK351,2.161,K?rbis,κολοκύνθα,Edible bottle gourd
MMK352,2.162,Gebaute Gurke,σίκυς ἥμερος,Cucumber
MMK353,2.163,Melone,,
MMK354,2.164,Gartenlattich,θρίδαξ ἥμερος,Cultivated lettuce
MMK355,2.165,Wilder Lattich,,
MMK356,2.166,Gingidion,γιγγίδιον,Gingidium
MMK357,2.167,Venuskamm,σκάνδιξ,Wild chervil
MMK358,2.168,Steinbrech,καυκαλίς,Caucalis
MMK359,2.169,Rauke,εὔζωμον,Rocket
MMK360,2.170,Basilicum,ὤκιμον,Basil
MMK361,2.171,Orobanche,ὀροβάγχη,Chokefitch
MMK362,2.172,Bocksbart,τραγοπώγων,Salsify
MMK363,2.173,Vogelmilch,ὄρνιθος γάλα,Starflower
MMK364,2.174,Tr?ffel,ὕδνον,Truffle
MMK365,2.175,Vietsbohne,σμῖλαξ κηπαία,Cowpea
MMK366,2.176,Luzerne,Μηδική,Alfalfa
MMK367,2.177,Vogelwicke,ἀφάκη,Tare
MMK368,2.178,Lauch,πράσον κεφαλωτόν,Leek
MMK369,2.179,Weinlauch,ἀμπελόπρασον,Wild leek
MMK370,2.180,Zwiebeln,κρόμυον,Onion
MMK371,2.181,Knoblauch,σκόρδον,Garlic
MMK372,2.182,Skorodoprason,σκορδόπρασον,Garlic leek
MMK373,2.183,Senf,σίνηπι ἢ νᾶπι,Mustard
MMK374,2.184,Kardamon,καρδάμον,Garden cress
MMK375,2.185,Hirtent?schlein,θλάσπι,Shepherd’s-purse
MMK376,2.186,T?rkische Kresse,δράβη,Arabian mustard
MMK377,2.187,Vielschotige Rauke,ἐρύσιμον,Hedge mustard
MMK378,2.188,Pfeffer,πέπερι,Pepper
MMK379,2.189,Ingwer,ζιγγίβερι,Ginger
MMK380,2.190,Wasserpfeffer,ὑδροπέπερι,Smartweed
MMK381,2.191,Niesgarbe,πταρμική,Sneezewort
MMK382,2.192,Seifenkraut,στρούθιον,Soapwort
MMK383,2.193,Erdscheibe,κυκλάμινος,Cyclamen
MMK384,2.194,Der andere Kyklaminos,κυκλάμινος ἑτέρα,Another cyclamen
MMK385,2.195,Grosse Drachenwurz,δρακόντιον,Dragon arum
MMK386,2.196,Kleindrachenwurz,,
MMK387,2.197,Aron,ἄρον,Cuckoopint
MMK388,2.198,Arisaron,ἀρίσαρον,Hooded arum
MMK389,2.199,Asphodelos,ἀσφόδελος,Asphodel
MMK390,2.200,Speisezwiebel,βολβὸς ἐδώδιμος,Purse tassels
MMK391,2.201,Brechzwiebel,,
MMK392,2.202,Meerzwiebel,σκίλλα,Squill or Scilla
MMK393,2.203,Gilge,παγκράτιον,Sea daffodil
MMK394,2.204,Kapper,κάππαρις,Caper
MMK395,2.205,Gartenkresse,λεπίδιον,Pepperwort
MMK396,2.206,Batrachion,βατράχιον,sp. Ranunculus
MMK397,2.207,Anemone,ἀνεμώνη,Poppy anemone
MMK398,2.208,Argemone,ἀργεμώνη,Wind-rose
MMK399,2.209,Gauchheil,ἀναγαλλίς,Pimpernel
MMK400,2.210,Epheu,κισσός,Ivy
MMK401,2.211,Grosses Chedonion,χελιδόνιον μέγα,Celandine
MMK402,2.212,Kleines Chelidonion,χελιδόνιον τὸ μικρόν,Pilewort
MMK403,2.213,Othonna,ὀθόννα,Othonna
MMK404,2.214,Mauseohr,μυὸς ὦτα,Madwort
MMK405,2.215,,ἰσάτις,Woad
MMK406,2.216,Wilder Waid,ἰσάτις ἄγρια,Wild woad
MMK407,2.217,Wachsblume,τηλεφώνιον,Telephonion
MMK408,2.X,Iberis,,
MMK409,3.1,L?rchenschwamm,ἀγαρικόν,Agaric
MMK410,3.2,Rhapontik,ῥᾶ,Rhubarb
MMK411,3.3,Enzian,γεντιανή,Gentian
MMK412,3.4,Osterluzei,ἀριστολόχεια,Birthwort
MMK413,3.5,S?ssholz,γλυκύρριζα,Licorice
MMK414,3.6,Grosses Kentaurion,κενταύριον τὸ μέγα,Centaury
MMK415,3.7,Kleines Kentaurion,κενταύρειον τὸ λεπτόν ἢ μικρόν,Feverfew
MMK416,3.8,Weisses Chamaileon,χαμαιλέων λευκός,Pine thistle
MMK417,3.9,Schwarzes Chamaileon,[χαμαιλέων] ὁ μέλας,Chameleon thistle
MMK418,3.10,Krokodeilion,κροκοδείλεον,Sea holly
MMK419,3.11,Karde,δίψακος,Teasle
MMK420,3.12,Weisse Akantha,ἄκανθα λευκή,Fish thistle
MMK421,3.13,Arabische Akantha,ἄκανθα Ἀραβική,Smaller milk thistle
MMK422,3.14,Golddistel,σκόλυμος,Golden thistle
MMK423,3.15,Poterion,ποτίρριον,Goat’s thorn
MMK424,3.16,Eselsdistel,ἀκάνθιον,Cotton thistle
MMK425,3.17,Akantha,ἄκανθος,Bear’s-foot
MMK426,3.18,Hauhechel,ἀνωνίς,Rest harrow
MMK427,3.19,Leukakantha,λευκάκανθα,Tuberous thistle
MMK428,3.20,Tragakantha,τραγακάνθα,Tragacanth
MMK429,3.21,Mannstreu,ἠρύγγη,Eryngo
MMK430,3.22,Alo?,ἀλόη,Aloe
MMK431,3.23,Wermuth,ἀψίνθιον,Wormwood
MMK432,3.24,Seebeifuss,,
MMK433,3.25,Santoninbeifuss,,
MMK434,3.26,Abrotonon,ἀβρότονον,Wormwood
MMK435,3.27,Hyssopos,ὕσσωπος,Hyssop
MMK436,3.28,Stoichas,στοιχάς,French lavender
MMK437,3.29,Dosten,ὀρίγανος Ἡρακλεωτική,Oregano
MMK438,3.30,Onetis,ὀνῖτις,Oregano onitis
