mm_id,chapter_key,berendes_term,beck_greek_lemma,beck_latin_lemma
MMK852,5.84,Kadmeia,καδμεία,Calamine
MMK853,5.85,Pompholyx,πομφόλυξ,Pompholyx
MMK854,5.86,Antispodon,κεκαυμένος χαλκός,Burned copper
MMK855,5.87,Gebranntes Kupfer,χαλχοῦ ἄνθος,Flower of copper
MMK856,5.88,Kupferbl?the,λεπίς,Flake [of copper ore]
MMK857,5.89,Kupferhammerschlag,,
MMK858,5.90,Eisenhammerschlag,,
MMK859,5.91,Abgekratzter Gr?nspan,ἰὸς ξυστός,Verdigris
MMK860,5.92,Wurmf?rmiger Gr?nspan,,
MMK861,5.93,Eisenrost,ἰὸς σιδίρου,Iron rust
MMK862,5.94,Eisenschlacke,,
MMK863,5.95,Gewaschenes Blei,πεπλυμένος μόλυβδος,Washed lead
MMK864,5.96,Gebranntes Blei,,
MMK865,5.97,Bleischlacke,σκωρία μολύβδου,Lead dross
MMK866,5.98,Bleistein,ὁ μολυβδοειδὴς λίθος,Leadstone
MMK867,5.99,Stimmi,στίβι,Antimony
MMK868,5.100,Molybdaina,μολύβδαινα,Galena
MMK869,5.101,Silberschlacke,ἡ τοῦ ἀργρύρου σκωρία,Silver dross
MMK870,5.102,Bleigl?tte,λιθάργυρος,Litharge
MMK871,5.103,Bleiweiss,ψιμύθιον,White lead
MMK872,5.104,Chrysokolla,χρυσοκόλλα,Basic copper carbonate
MMK873,5.105,Armenion,Ἀρμένιον,Azurite
MMK874,5.106,Kyanos,κύανος,Lapis lazuli
MMK875,5.107,Indikon,Ἰνδικόν,Indigo
MMK876,5.108,Ochra,ὦχρα,Yellow ocher
MMK877,5.109,Kinnabari,κιννάβαρι,Cinnabar
MMK878,5.110,Quecksilber,ὑδράργυρος,Mercury
MMK879,5.111,Sinopischer R?thel,μίλτος Σινωπική,Sinopic red earth
MMK880,5.112,R?thel der Handwerker,,
MMK881,5.113,Lemnische Erde,Λημνία γῆ,Lemnian earth
MMK882,5.114,Chalkanthos,χαλκανθές,Vitriol
MMK883,5.115,Chalkitis,χαλκῖτις,Rock alum
MMK884,5.116,Psorikon,μίσυ,Misy
MMK885,5.117,Melanteria,μελαντηρία,Shoemaker’s black
MMK886,5.118,Sory,σῶρι,Melanterite
MMK887,5.119,Diphryges,διφρυγές,Pyrites
MMK888,5.120,Arsenikon,ἀρσενικόν,Yellow orpiment
MMK889,5.121,Sandaracha,σανδαράκη,Arsenic sulfide
MMK890,5.122,Stypteria,στυπτηρία,Alum
MMK891,5.123,Schwefel,θεῖον,Sulfur
MMK892,5.124,Bimsstein,κίσηρις,Pumice stone
MMK893,5.125,Salze,ἅλς,Salt
MMK894,5.126,Salzschaum,ἁλὸς ἄχνη,Salt froth
MMK895,5.127,Salzlake,ἅλμη,Brine
MMK896,5.128,Salzbl?the,ἄνθος ἁλός,Salt efflorescenee/Salt scum
MMK897,5.129,Natron,νίτρον,Soda
MMK898,5.130,Natronschaum,,
MMK899,5.131,Weinabsatz,τρύξ,Wine lees
MMK900,5.132,Gebrannter Kalk,ἄσβεστος,Unslaked lime
MMK901,5.133,Gyps,γύψος,Gypsum
MMK902,5.134,Weinrebenasche,τέφρα κλημαντίνη,Ash of vine twigs
MMK903,5.135,Halkyonion,ἀλκυόνιον,Alcyonion
MMK904,5.136,Adarkes,ἀδάρκης,Adarces
MMK905,5.137,Schw?mme,σπόγγοι,Sponges
MMK906,5.138,Koralle,τὸ κοράλιον,Coral
MMK907,5.139,Antipathes,ἀντιπαθές,Antipathes
MMK908,5.140,Phrygischer Stein,λίθος Φρύγιος,Phrygian stone
MMK909,5.141,Assischer Stein,Ἄσσιος λίθος,Assian stone
MMK910,5.142,Pyritesstein,πυρίτης λίθος,Copper pyrites
MMK911,5.143,Blutstein,αἱματίτης λίθος,Hematite
MMK912,5.144,Spaltstein,σχιστὸς λίθος,Talc
MMK913,5.145,Gagatstein,Γαγάτης,Lignite
MMK914,5.146,Thrakischer Stein,Θρακίας,Thracian stone
MMK915,5.147,Magnetstein,μαγνῆτις λίθος,Magnet
MMK916,5.148,Arabischer Stein,Ἀραβικὸς λίθος,Arabian stone
MMK917,5.149,Milchstein,γαλακτίτης,Milkstone
MMK918,5.150,Honigstein,μελιτίτης,Honeystone
MMK919,5.151,Morochthosstein,λίθος μόροχθος,Pipe clay
MMK920,5.152,Alabasterstein,λίθος ἀλαβαστρίτης,Alabaster
MMK921,5.153,Thy?tesstein,θυίτης,Thyites
MMK922,5.154,Judenstein,Ἰουδαικὸς λίθος,Judaic stone
MMK923,5.155,Amiantstein,λίθος ἀμίαντος,Asbestos
MMK924,5.156,Sapphir,λίθος σάπφειρος,Lapis lazuli
MMK925,5.157,Memphitstein,λίθος Μεμφίτης,~ Memphitic stone
MMK926,5.158,Selenitstein,λίθος σεληνίτης,Selenite
MMK927,5.159,Jaspisstein,λίθος ἴασπις,Jasper
MMK928,5.160,A?titstein,,
MMK929,5.161,Schlangenstein,λίθος ὀφίτης,Serpentine
MMK930,5.162,Schwammsteine,λίθοι οἱ ἐν τοῖς σπόγγοις,The stones in the sponges
MMK931,5.163,Steinkitt,λιθοκόλλα,Stone glue
MMK932,5.164,Ostrakitstein,λίθος ὀστρακίτης,Clay stone
MMK933,5.165,Smirgel,σμύρις,Emery
MMK934,5.166,Sand,ἄμμος,Sand
MMK935,5.167,Schleifstein,ἀκόνης Ναξίας ἀπότριμμα,Naxian whetstone powder
MMK936,5.168,Geodes-Stein,λίθος γεώδης,Earth-like stone
MMK937,5.169,Erde,γῆ,Earth
MMK938,5.170,Eretrische Erde,Ἑρετριάδος γῆ,Eretrian earth
MMK939,5.171,Samische Erde,Σαμία γῆ,Samian earth
MMK940,5.172,Stein in der samischen Erde,ἐν τῇ Σαμίᾳ γῇ λίθος,Stone found in Samian earth
MMK941,5.173,Erde von Chios,Χία γῆ,Chian earth
MMK942,5.174,Selinusische Erde,,
MMK943,5.175,Kimolissche Erde,Κιμωλία γῆ,Cimolian earth
MMK944,5.176,Pnigit-Erde,πνιγῖτις γῆ,Pnigitis earth
MMK945,5.177,Ziegel,,
MMK946,5.178,Erde aus den Oefen,ὄστρακα,Potsherds
MMK947,5.179,Melische Erde,Μηλία γῆ,Melian earth
MMK948,5.180,Weinstockerde,ἀμπελῖτις γῆ,Ampelitis earth
MMK949,5.181,Russ,ἀσβόλη,Soot
MMK950,5.182,Tinte,μέλαν,Black ink
MMK951,???,,,
MMK952,NONE,,,
