id,edition_id,ref,segment,term,term_greek,term_latin,page,div_id,seg_id,url,notes
"barbaro:CCLX",barbaro,"CCLX",,Ebur,,,0,,,,
lusitanus:50,lusitanus,50,,De ebore,,,194,,,,
monardes:L,monardes,L,,De l'ivoire,,,229,,,,
wellmann:2.58,wellmann,2.58,,ἀστράγαλος ὑὸς,,,,div-426,,,
berendes:2.62,berendes,2.62,,Sprungbein des Schweines,Περἰ Άστραγάλον ὐός,,170,div-380,,,
beck:2.58,beck,2.58,,Hog’s hock,ἀστράγαλος ὑός,,,div-208,,,
gunther:2.62,gunther,2.62,,ASTRAGALOS UOS,,,,div-225,,,
laguna:2.58,laguna,2.58,,astrágalo de cerdo,ἀστράγαλος ὑός,,245,div-555,,,
"barbaro:CCLXI",barbaro,"CCLXI",,Talus suis,,,0,,,,
lusitanus:51,lusitanus,51,,De suis talo,,,194,,,,
monardes:LI,monardes,LI,,Du talon de pourceau,,,231,,,,
wellmann:2.59,wellmann,2.59,,ἐλάφου κέρας,,,,div-427,,,
berendes:2.63,berendes,2.63,,Hirschhorn,Περἰ Έλάφον κέρατος,,170,div-381,,,
beck:2.59,beck,2.59,,Hart’s horn,ἐλάφου κέρας,,,div-209,,,
gunther:2.63,gunther,2.63,,ELAPHOU KERAS,,,,div-226,,,
laguna:2.59,laguna,2.59,,cuerno de ciervo,ἐλάφου κέρας,,246,div-557,,,
"barbaro:CCLXII",barbaro,"CCLXII",,Cervinum cornu,,,0,,,,
lusitanus:52,lusitanus,52,,De cornu cervi,,,195,,,,
monardes:LII,monardes,LII,,De la corne du cerf,,,231,,,,
wellmann:2.60,wellmann,2.60,,κάμπαι,,,,div-428,,,
berendes:2.64,berendes,2.64,,Raupen,Περἰ Καμπῶν,,170,div-383,,,
beck:2.60,beck,2.60,,Caterpillars,κάμπαι,,,div-210,,,
gunther:2.64,gunther,2.64,,KAMPAI,,,,div-227,,,
laguna:2.60,laguna,2.60,,orugas,κάμπαι,,247,div-559,,,
"barbaro:CCLXIII",barbaro,"CCLXIII",,Erucae olerum,,,28,,,,
lusitanus:53,lusitanus,53,,De eruca animali,,,197,,,,
monardes:LIII,monardes,LIII,,Des chenilles,,,233,,,,
wellmann:2.61,wellmann,2.61,,κανθαρίδες,,,,div-429,,,
berendes:2.65,berendes,2.65,,Kanthariden,Περἰ Κανϑαρίδων,,170,div-384,,,
beck:2.61,beck,2.61,,Blister beetles,κανθαρίδες,,,div-211,,,
gunther:2.65,gunther,2.65,,KANTHARIDES,,,,div-228,,,
laguna:2.61,laguna,2.61,,cantáridas,κανθαρίδες,,248,div-561,,,
"barbaro:CCLXIIII",barbaro,"CCLXIIII",,Cantharides,,,28,,,,
lusitanus:54,lusitanus,54,,"De cantharidibus, buprestidibus, et picearum erucis (cantharides / cantharides). Buprestides (buprestides). Picearum erucae (erucae picearum)",,,198,,,,
monardes:LIIII,monardes,LIIII,,Des cantharides,,,234,,,,
wellmann:2.61,wellmann,2.61,,κανθαρίδες,,,,div-429,,,
berendes:2.66,berendes,2.66,,Buprestis,Περἰ Βουπρήστον,,171,div-385,,,
beck:2.61,beck,2.61,,Blister beetles,κανθαρίδες,,,div-211,,,
laguna:2.61.1,laguna,2.61.1,,escarabajo ‘hincha vacas’,βούπρηστις (βουπρήστης),,249,div-563,,,
"barbaro:CCLXV",barbaro,"CCLXV",,Buprestis et pityocampe,,,28,,,,
lusitanus:54,lusitanus,54,,"De cantharidibus, buprestidibus, et picearum erucis (cantharides / cantharides). Buprestides (buprestides). Picearum erucae (erucae picearum)",,,198,,,,
monardes:LV,monardes,LV,,"Des buprestes, et chenilles des pins",,,234,,,,
wellmann:2.62,wellmann,2.62,,σαλαμάνδρα,,,,div-432,,,
berendes:2.67,berendes,2.67,,Salamander,Περἰ Σαλαμάνδρας,,172,div-387,,,
beck:2.62,beck,2.62,,Salamander,σαλαμάνδρα,,,div-212,,,
gunther:2.67,gunther,2.67,,SALAMANDRA,,,,div-229,,,
laguna:2.62,laguna,2.62,,salamandra,σαλαμάνδρα,,250,div-566,,,
"barbaro:CCLXVI",barbaro,"CCLXVI",,Salamandra,,,28,,,,
lusitanus:55,lusitanus,55,,De salamandra,,,199,,,,
monardes:LVI,monardes,LVI,,De la salamandre,,,235,,,,
wellmann:2.63,wellmann,2.63,,ἀράχνη τὸ ζῷον,,,,div-433,,,
berendes:2.68,berendes,2.68,,Spinne,Περἰ Άράχνης,,172,div-388,,,
beck:2.63,beck,2.63,,Spider,ἀράχνη τὸ ζῷον,,,div-213,,,
gunther:2.68,gunther,2.68,,ARACHNE,,,,div-230,,,
laguna:2.63,laguna,2.63,,araña,ἀράχνη,,251,div-568,,,
"barbaro:CCLXVII",barbaro,"CCLXVII",,Araneus,,,28,,,,
lusitanus:56,lusitanus,56,,De araneis,,,200,,,,
monardes:LVII,monardes,LVII,,De l'araigne,,,236,,,,
wellmann:2.64,wellmann,2.64,,σαύρας,,,,div-434,,,
berendes:2.69,berendes,2.69,,Eidechse,Περἰ Σαύρας,,174,div-389,,,
beck:2.64,beck,2.64,,Head of lizard,σαύρας ἡ κεφαλὴ,,,div-214,,,
laguna:2.64,laguna,2.64,,lagarto,σαύρα,,252,div-570,,,
"barbaro:CLXVIII",barbaro,"CLXVIII",,Lacerta,,,0,,,,
lusitanus:57,lusitanus,57,,De lacerta,,,201,,,,
monardes:LVIII,monardes,LVIII,,De la lesarde,,,237,,,,
wellmann:2.65,wellmann,2.65,,σήψ,,,,div-435,,,
berendes:2.70,berendes,2.70,,Seps,Περἰ Σηπός,,174,div-390,,,
beck:2.65,beck,2.65,,Seps,σήψ,,,div-215,,,
gunther:2.70,gunther,2.70,,SEPS,,,,div-231,,,
laguna:2.65,laguna,2.65,,eslizón,σήψ,,253,div-572,,,
"barbaro:CCLXIX",barbaro,"CCLXIX",,Seps,,,0,,,,
lusitanus:58,lusitanus,58,,"De lacerta, quae dicitur seps",,,201,,,,
monardes:LIX,monardes,LIX,,De la seps,,,237,,,,
wellmann:2.66,wellmann,2.66,,σκίγκος,,,,,,,
berendes:2.71,berendes,2.71,,Skink,Περἰ Σκίγκον,,174,div-391,,,
beck:2.66,beck,2.66,,Skink,σκίγκος,,,div-216,,,
gunther:2.71,gunther,2.71,,SKINKOS,,,,div-232,,,
laguna:2.66,laguna,2.66,,escinco,σκίγχος,,254,div-574,,,
"barbaro:CCLXX",barbaro,"CCLXX",,Scinus,,,29,,,,
lusitanus:59,lusitanus,59,,De scingo,,,201,,,,
monardes:LX,monardes,LX,,Du stinc,,,238,,,,
wellmann:2.67,wellmann,2.67,,γῆς ἔντερα,,,,div-436,,,
berendes:2.72,berendes,2.72,,Eingeweide der Erde (Erdwürmer),Περἰ τη̃ς γη̃ς ἐντέρων,,174,div-393,,,
beck:2.67,beck,2.67,,Earthworms,γῆς ἔντερα,,,div-217,,,
gunther:2.72,gunther,2.72,,ENTERA GES,,,,div-233,,,
laguna:2.67,laguna,2.67,,gusanos de tierra,γῆς ἕντερα,,255,div-576,,,
"barbaro:CCLXXI",barbaro,"CCLXXI",,Vermes terreni,,,29,,,,
lusitanus:60,lusitanus,60,,De lumbricis terrestribus,,,202,,,,
monardes:LXI,monardes,LXI,,Des vers de terre,,,240,,,,
wellmann:2.68,wellmann,2.68,,μυογαλῆ,,,,div-437,,,
berendes:2.73,berendes,2.73,,Spitzmaus,Περἰ Μυογάλης,,175,div-394,,,
beck:2.68,beck,2.68,,Shrewmouse,μυογαλῆ,,,div-218,,,
gunther:2.73,gunther,2.73,,MUOGALE,,,,div-234,,,
laguna:2.68,laguna,2.68,,musaraña,μυογαλῆ,,256,div-578,,,
"barbaro:CCLXXII",barbaro,"CCLXXII",,Musaraneus,,,29,,,,
lusitanus:61,lusitanus,61,,De mure araneo,,,202,,,,
monardes:LXII,monardes,LXII,,Du musaraigne,,,240,,,,
wellmann:2.69,wellmann,2.69,,μύες,,,,div-438,,,
berendes:2.74,berendes,2.74,,Mäuse,Περἰ Μυῶν,,175,div-395,,,
beck:2.69,beck,2.69,,Mice,μύες,,,div-219,,,
gunther:2.74,gunther,2.74,,MUES,,,,div-235,,,
laguna:2.69,laguna,2.69,,ratones,μῦς,,257,div-581,,,
"barbaro:CCLXXIII",barbaro,"CCLXXIII",,Mures,,,29,,,,
lusitanus:62,lusitanus,62,,De muribus,,,203,,,,
monardes:LXIII,monardes,LXIII,,Des souris,,,241,,,,
wellmann:2.70,wellmann,2.70,,γάλα,,,,div-439,,,
berendes:2.75,berendes,2.75,,Milch,Περἰ Γάλακτος,,175,div-396,,,
beck:2.70,beck,2.70,,Milk,γάλα,,,div-220,,,
gunther:2.75,gunther,2.75,,GALA,,,,div-236,,,
laguna:2.70,laguna,2.70,,leche de cabraleche de vacleche de yeguleche de perraleche de burrleche de ovej,γάλα,,258,div-583,,,
"barbaro:CCLXXIIII",barbaro,"CCLXXIIII",,Lac,,,29,,,,
lusitanus:63,lusitanus,63,,De lacte,,,203,,,,
monardes:LXIIII,monardes,LXIIII,,Du laict,,,243,,,,
wellmann:2.70,wellmann,2.70,,γάλα,,,,div-439,,,
berendes:2.76,berendes,2.76,,Molken,Περἰ ὀῤῥοῡ γάλακτος,,176,div-398,,,
beck:2.70,beck,2.70,,Milk,γάλα,,,div-220,,,
gunther:2.76,gunther,2.76,,ORROS GALAKTOS,,,,div-237,,,
laguna:2.70.3,laguna,2.70.3,,suero de leche,ὀρρὸν γάλακτος,,259,div-585,,,
"barbaro:CCLXXV",barbaro,"CCLXXV",,Serum,,,0,,,,
lusitanus:64,lusitanus,64,,De sero lactis,,,204,,,,
monardes:LXIIII,monardes,LXIIII,,Du laict,,,243,,,,
wellmann:2.70,wellmann,2.70,,γάλα,,,,div-439,,,
berendes:2.77,berendes,2.77,,Geronnene Milch,Περἰ σχιστοῡ γάλακτος,,176,div-399,,,
beck:2.70,beck,2.70,,Milk,γάλα,,,div-220,,,
gunther:2.77,gunther,2.77,,GALA SCHISTON,,,,div-238,,,
"barbaro:CCLXXVI",barbaro,"CCLXXVI",,Lac schiston,,,0,,,,
lusitanus:65,lusitanus,65,,De lacte scissile,,,207,,,,
monardes:LXIIII,monardes,LXIIII,,Du laict,,,243,,,,
wellmann:2.70,wellmann,2.70,,γάλα,,,,div-439,,,
berendes:2.78,berendes,2.78,,Frauenmilch,Περἰ γυναικείον γάλακτος,,177,div-401,,,
beck:2.70,beck,2.70,,Milk,γάλα,,,div-220,,,
gunther:2.78,gunther,2.78,,GALA GUNAIKOS,,,,div-239,,,
"barbaro:CCLXXVII",barbaro,"CCLXXVII",,Lac humanum,,,0,,,,
lusitanus:65,lusitanus,65,,De lacte scissile,,,207,,,,
monardes:LXIIII,monardes,LXIIII,,Du laict,,,243,,,,
wellmann:2.71,wellmann,2.71,,τυρὸς,,,,div-446,,,
berendes:2.79,berendes,2.79,,Frischer Käse,Περἰ τυροῡ νεαροῡ,,178,div-402,,,
beck:2.71,beck,2.71,,Cheese,τυρός,,,div-221,,,
gunther:2.79,gunther,2.79,,TUROS NEAROS,,,,div-240,,,
laguna:2.70.6,laguna,2.70.6,,queso,γάλα γυναικός,,260,div-588,,,
"barbaro:CCLXXVIII",barbaro,"CCLXXVIII",,Caseus,,,0,,,,
lusitanus:66,lusitanus,66,,De caseo,,,207,,,,
monardes:LXV,monardes,LXV,,Du formage,,,243,,,,
wellmann:2.71,wellmann,2.71,,τυρὸς,,,,div-446,,,
berendes:2.80,berendes,2.80,,Hippake,Περἰ Ίππάκης,,178,div-403,,,
beck:2.71,beck,2.71,,Cheese,τυρός,,,div-221,,,
gunther:2.80,gunther,2.80,,HIPPACE,,,,div-241,,,
laguna:2.71,laguna,2.71,,,τυρὸς νεαρός,,261,div-590,,,
"barbaro:CCLXXIX",barbaro,"CCLXXIX",,Hippace,,,0,,,,
lusitanus:66,lusitanus,66,,De caseo,,,207,,,,
monardes:LXV,monardes,LXV,,Du formage,,,243,,,,
wellmann:2.72,wellmann,2.72,,βούτυρον,,,,div-447,,,
berendes:2.81,berendes,2.81,,Butter und der aus ihr bereitete Russ,Περἰ Βουτύρον καἰ τη̃ς ἐξ αύτοῡ λιγνύος,,178,div-404,,,
beck:2.72,beck,2.72,,Butter,βούτυρον,,,div-222,,,
gunther:2.81,gunther,2.81,,BUTURON,,,,div-242,,,
laguna:2.71.1,laguna,2.71.1,,mantequilla,ἱππάκη,,262,div-592,,,
"barbaro:CCLXXX",barbaro,"CCLXXX",,Butyrum,,,0,,,,
lusitanus:67,lusitanus,67,,De butyro,,,207,,,,
monardes:LXVI,monardes,LXVI,,Du beurre et de la suie d'icelui,,,243,,,,
wellmann:2.73,wellmann,2.73,,ἔρια οἰσυπηρά,,,,div-451,,,
berendes:2.82,berendes,2.82,,Wolle,Περἰ Έρίων,,179,div-405,,,
beck:2.73,beck,2.73,,Greasy wool,ἔρια οἰσυπηρά,,,div-223,,,
gunther:2.82,gunther,2.82,,ERIA,,,,div-243,,,
laguna:2.72,laguna,2.72,,lana pringosa,βούτυρον,,263,div-594,,,
"barbaro:CCLXXXII",barbaro,"CCLXXXII",,Lana succida,,,0,,,,
lusitanus:68,lusitanus,68,,De lana,,,208,,,,
monardes:LXVII,monardes,LXVII,,"De la laine, et graisse de laine surge",,,246,,,,
wellmann:2.73,wellmann,2.73,,ἔρια οἰσυπηρά,,,,div-451,,,
berendes:2.83,berendes,2.83,,Gebrannte Wolle,Περἰ Έρίων κεκαυμένων,,180,div-406,,,
beck:2.73,beck,2.73,,Greasy wool,ἔρια οἰσυπηρά,,,div-223,,,
gunther:2.83,gunther,2.83,,ERIA KEKAUMENA,,,,div-244,,,
laguna:2.73,laguna,2.73,,,ἕρια ῥυπαρά,,265,div-599,,,
"barbaro:CCLXXXIII",barbaro,"CCLXXXIII",,Lana usta,,,30,,,,
lusitanus:68,lusitanus,68,,De lana,,,208,,,,
monardes:LXVII,monardes,LXVII,,"De la laine, et graisse de laine surge",,,246,,,,
wellmann:2.74,wellmann,2.74,,οἴσυπος,,,,div-454,,,
berendes:2.84,berendes,2.84,,Wollfett,Περἰ Οἰσύπον,,180,div-408,,,
beck:2.74,beck,2.74,,Fat from greasy wool,οἴσυπος,,,div-224,,,
gunther:2.84,gunther,2.84,,OISUPON,,,,div-245,,,
laguna:2.73.1,laguna,2.73.1,,grasa de lana,ἕρια κεκαυμένα,,266,div-601,,,
"barbaro:CCLXXXIIII",barbaro,"CCLXXXIIII",,Oesypum,,,30,,,,
lusitanus:69,lusitanus,69,,Oesypus,,,208,,,,
monardes:LXVII,monardes,LXVII,,"De la laine, et graisse de laine surge",,,246,,,,
wellmann:2.75,wellmann,2.75,,πιτύα,,,,div-460,,,
berendes:2.85,berendes,2.85,,Lab,Περἰ Πιτύας,,183,div-410,,,
beck:2.75,beck,2.75,,Rennet,πιτύα,,,div-225,,,
gunther:2.85,gunther,2.85,,PITUA,,,,div-246,,,
laguna:2.74,laguna,2.74,,cuajo de liebrecuajo de corderocuajo de búfalocuajo de gacelacuajo de corzocuajo de ciervocuajo de caballocuajo de ternerocuajo de cervatillo,οἴσυπος,,267,div-604,,,
"barbaro:CCLXXXV",barbaro,"CCLXXXV",,Coagulum,,,30,,,,
lusitanus:70,lusitanus,70,,De coagulo,,,209,,,,
monardes:LXVIII,monardes,LXVIII,,Du caille,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.86,berendes,2.86,,Fett,Περἰ Στέατος,,184,div-412,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.86,gunther,2.86,,STEAR,,,,div-247,,,
laguna:2.75,laguna,2.75,,,πιτύα λαγωοῦ,,268,div-607,,,
"barbaro:CCLXXXVI",barbaro,"CCLXXXVI",,Adeps,,,30,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.87,berendes,2.87,,Schweine- und Bärenfett,Περἰ στέατος ύείον καἰ ἀρκείον,,184,div-413,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.87,gunther,2.87,,STEAR HUEION KAI ARNEION,,,,div-248,,,
laguna:2.76,laguna,2.76,,,στέαρ,,269,div-609,,,
"barbaro:CCLXXXVII",barbaro,"CCLXXXVII",,"Adeps suillus, & angninus",,,30,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.88,berendes,2.88,,"Ziegenhock-, Schaf- und Hirschfett",Περἰ στέατος τραγείον καἰ προβατείον καἰ ἐλαφείον,,185,div-414,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.89,gunther,2.89,,STEAR BOEION,,,,div-249,,,
"barbaro:CCLXXXVIII",barbaro,"CCLXXXVIII",,"Adeps cervinus, ovillus, hircinus",,,30,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.89,berendes,2.89,,Rinderfett,Περἰ στέατος βοείον,,185,div-415,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.91,gunther,2.91,,STEAR POS AROMATISTEON,,,,div-250,,,
"barbaro:CCLXXXIX",barbaro,"CCLXXXIX",,Adeps bubulus,,,30,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.90,berendes,2.90,,"Stier-, Panther- und Löwenfett","Περἰ στέατος ταυρείον, παρδαλείον καἰ λεοντείον",,185,div-416,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.92,gunther,2.92,,STEAR POS SAMPSUCHITETAI,,,,div-251,,,
"barbaro:CCXC",barbaro,"CCXC",,"Adeps taurinus, pantherinus, leoninus",,,30,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.91,berendes,2.91,,Wie das Fett gewürzt wird,Πῶς τὀ στέαρ ἀρωματιστέον,,186,div-417,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.94,gunther,2.94,,STEATON DUNAMIS,,,,div-252,,,
"barbaro:CCXCI",barbaro,"CCXCI",,"Adipes odorati è vitulo, tauro, cervo: item medulla cervi",,,0,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.92,berendes,2.92,,Wie das Fett mit Majoran gewürzt wird,Πῶς σαμψυχίζεται τὀ στέαρ,,187,div-419,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.95,gunther,2.95,,MUELOI,,,,div-253,,,
"barbaro:CCXCIII",barbaro,"CCXCIII",,Adipes sampsuchini,,,0,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.93,berendes,2.93,,Gänse- und Hühnerfett,Περἰ στέατος χηνείον καἰ ὀρνιϑείον,,188,div-420,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.96,gunther,2.96,,CHOLE PASA,,,,div-254,,,
"barbaro:CCXCIIII",barbaro,"CCXCIIII",,"Adipes anserini, gallinacei, vitulini",,,0,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.76,wellmann,2.76,,στέαρ,,,,div-464,,,
berendes:2.94,berendes,2.94,,Die Kraft der Fette,Στεάτων δύναμις,,188,div-421,,,
beck:2.76,beck,2.76,,Fat,στέαρ,,,div-226,,,
gunther:2.97,gunther,2.97,,PERI HAIMATON,,,,div-255,,,
"barbaro:CCXCV",barbaro,"CCXCV",,Adipum medicinae,,,0,,,,
lusitanus:71,lusitanus,71,,De adipe,,,209,,,,
monardes:LXIX,monardes,LXIX,,De la graisse,,,247,,,,
wellmann:2.77,wellmann,2.77,,μυελῶν,,,,div-484,,,
berendes:2.95,berendes,2.95,,Mark,Περἰ Μυελῶν,,189,div-423,,,
beck:2.77,beck,2.77,,Marrow,μυελός,,,div-227,,,
gunther:2.98,gunther,2.98,,APOPATOS,,,,div-256,,,
laguna:2.77,laguna,2.77,,médula,μυελός,,270,div-615,,,
"barbaro:CCXCVI",barbaro,"CCXCVI",,Medullae animalium,,,0,,,,
lusitanus:72,lusitanus,72,,De medulla ossium animalium,,,212,,,,
monardes:LXX,monardes,LXX,,De la mouelle,,,250,,,,
wellmann:2.78,wellmann,2.78,,χολὴ,,,,div-487,,,
berendes:2.96,berendes,2.96,,Jegliche Art Galle,Περἰ χολη̃ς πάσης,,189,div-425,,,
beck:2.78,beck,2.78,,Bile,χολή,,,div-228,,,
gunther:2.96,gunther,2.96,,PERI OURON,,,,div-257,,,
laguna:2.78,laguna,2.78,,bilis de cabrabilis de gallbilis de osbilis de perdibilis de corderbilis de torbilis de cabrbilis de hienbilis de cerdobilis de leóbilis de golondrinbilis de águil,χολή,,271,div-618,,,
"barbaro:CCXCVII",barbaro,"CCXCVII",,Fel animalium,,,0,,,,
lusitanus:73,lusitanus,73,,De felle animalis,,,212,,,,
monardes:LXXI,monardes,LXXI,,Du fiel,,,250,,,,
wellmann:2.79,wellmann,2.79,,αἷμα,,,,div-492,,,
berendes:2.97,berendes,2.97,,Blut,Περἰ Αίμάτων,,191,div-427,,,
beck:2.79,beck,2.79,,Blood,αἷμα,,,div-229,,,
laguna:2.79,laguna,2.79,,"sangre de ganso, cabrito y patosangre de cabrasange de ciervosangre de liebresangre de torosangre de palomasangre de tortuga terrestresangre de yeguas preñadassangre de perdizsangre de cabrosangre de camaleónsangre de ranasangre de perrosangre de palomasangre de paloma torcazsangre de tortuga marina",αἴματα,,272,div-620,,,
"barbaro:CCXCVIII",barbaro,"CCXCVIII",,Sanguis,,,0,,,,
lusitanus:74,lusitanus,74,,De sanguine,,,213,,,,
monardes:LXXII,monardes,LXXII,,Du sang,,,251,,,,
wellmann:2.80,wellmann,2.80,,ἀπόπατος,,,,div-495,,,
berendes:2.98,berendes,2.98,,Koth,Περἰ Άποπάτον,,191,div-428,,,
beck:2.80,beck,2.80,,Dung,ἀπόπατος,,,div-230,,,
laguna:2.80,laguna,2.80,,estiércolexcremento de cabraexcremento de gallinasexcremento humanoexcremento bovinoexcremento de buitreestiércol de caballoexcremento de cocodriloexcremento de perroexcremento de ratónexcremento de asnoexcremento de cigüeñaexcremento de palomaexcremento ovinoexcremento de jabalí,ἀπόπατος βοός,,273,div-623,,,
"barbaro:CCXCIX",barbaro,"CCXCIX",,Fimum,,,31,,,,
lusitanus:75,lusitanus,75,,De stercore animalium,,,214,,,,
monardes:LXXIII,monardes,LXXIII,,De la fiante,,,252,,,,
wellmann:2.81,wellmann,2.81,,οὖρον,,,,div-502,,,
berendes:2.99,berendes,2.99,,Urin,Περἰ Οὔρων,,193,div-429,,,
beck:2.81,beck,2.81,,Urine,οὖρον,,,div-231,,,
laguna:2.81,laguna,2.81,,orina de cabraorina de hombreorina de niño impúberorina de linceorina de burroorina de jabalíorina de toro,οὖρον,,274,div-626,,,
"barbaro:CCCI",barbaro,"CCCI",,Urina,,,31,,,,
lusitanus:76,lusitanus,76,,De urina,,,215,,,,
monardes:LXXIIII,monardes,LXXIIII,,De l'urine,,,254,,,,
wellmann:2.81,wellmann,2.81,,οὖρον,,,,div-502,,,
berendes:2.100,berendes,2.100,,Lyngurion,Περἰ Λυγγουρίον,,194,div-431,,,
beck:2.81,beck,2.81,,Urine,οὖρον,,,div-231,,,
gunther:2.100,gunther,2.100,,LUNGOURION,,,,div-258,,,
"barbaro:CCCII",barbaro,"CCCII",,Lyncurium,,,31,,,,
lusitanus:76,lusitanus,76,,De urina,,,215,,,,
monardes:LXXIIII,monardes,LXXIIII,,De l'urine,,,254,,,,
wellmann:2.82,wellmann,2.82,,μέλι,,,,div-506,,,
berendes:2.101,berendes,2.101,,Honig,Περἰ Μέλιτος,,194,div-432,,,
beck:2.82,beck,2.82,,Honey,μέλι,,,div-232,,,
gunther:2.101,gunther,2.101,,MELI,,,,div-259,,,
laguna:2.82,laguna,2.82,,miel,μέλι,,275,div-629,,,
"barbaro:CCCIII",barbaro,"CCCIII",,Mel,,,31,,,,
lusitanus:77,lusitanus,77,,De melle,,,216,,,,
monardes:LXXV,monardes,LXXV,,Du miel,,,255,,,,
wellmann:2.82,wellmann,2.82,,μέλι,,,,div-506,,,
berendes:2.102,berendes,2.102,,Honig in Sardinien,Περἰ Μέλιτος ἐν Σαρδωνίᾳ,,195,div-434,,,
beck:2.82,beck,2.82,,Honey,μέλι,,,div-232,,,
gunther:2.102,gunther,2.102,,MELI SARDOON,,,,div-260,,,
"barbaro:CCCIIII",barbaro,"CCCIIII",,Mel Sardoum,,,31,,,,
lusitanus:77,lusitanus,77,,De melle,,,216,,,,
monardes:LXXV,monardes,LXXV,,Du miel,,,255,,,,
wellmann:2.82,wellmann,2.82,,μέλι,,,,div-506,,,
berendes:2.103,berendes,2.103,,Pontischer Honig,Περἰ Μέλιτος ποντικοῡ,,195,div-435,,,
beck:2.82,beck,2.82,,Honey,μέλι,,,div-232,,,
gunther:2.103,gunther,2.103,,MELI PONTIKON,,,,div-261,,,
"barbaro:CCCV",barbaro,"CCCV",,Mel Ponticum,,,31,,,,
lusitanus:77,lusitanus,77,,De melle,,,216,,,,
monardes:LXXV,monardes,LXXV,,Du miel,,,255,,,,
wellmann:2.82,wellmann,2.82,,μέλι,,,,div-506,,,
berendes:2.104,berendes,2.104,,Honig des Zuckerrohrs,Περἰ Σακχάρον μέλιτος,,196,div-438,,,
beck:2.82,beck,2.82,,Honey,μέλι,,,div-232,,,
gunther:2.104,gunther,2.104,,SAKCHARON,,,,div-262,,,
"barbaro:CCCVI",barbaro,"CCCVI",,Saccharum,,,0,,,,
lusitanus:77,lusitanus,77,,De melle,,,216,,,,
monardes:LXXV,monardes,LXXV,,Du miel,,,255,,,,
wellmann:2.83,wellmann,2.83,,κηρός,,,,div-512,,,
berendes:2.105,berendes,2.105,,Wachs,Περἰ Κηροῡ,,196,div-441,,,
beck:2.83,beck,2.83,,Wax,κηρός,,,div-233,,,
gunther:2.105,gunther,2.105,,KEROS,,,,div-263,,,
laguna:2.83,laguna,2.83,,cera,κηρός,,276,div-632,,,
"barbaro:CCCVII",barbaro,"CCCVII",,Cera,,,0,,,,
lusitanus:78,lusitanus,78,,De cera,,,217,,,,
monardes:LXXVI,monardes,LXXVI,,De la cire,,,258,,,,
wellmann:2.84,wellmann,2.84,,πρόπολις,,,,div-516,,,
berendes:2.106,berendes,2.106,,Vorwachs,Περἰ Προπόλεως,,198,div-444,,,
beck:2.84,beck,2.84,,Bee glue,πρόπολις,,,div-234,,,
gunther:2.106,gunther,2.106,,PROPOLIS,,,,div-264,,,
laguna:2.84,laguna,2.84,,propóleos,πρόπολις,,277,div-635,,,
"barbaro:CCCVIII",barbaro,"CCCVIII",,Propolis,,,0,,,,
lusitanus:79,lusitanus,79,,De propoli,,,218,,,,
monardes:LXXVII,monardes,LXXVII,,De propolis,,,258,,,,
