id,edition_id,ref,segment,term,term_greek,term_latin,page,div_id,seg_id,url,notes
gunther:1.5,gunther,1.5,,KARDAMOMON,,,,div-6,,,
laguna:1.6,laguna,1.6,,cardamomo,καρδάμωμον,,6,div-13,,,
"barbaro:V",barbaro,"V",,Cardamomum,,,0,,,,
lusitanus:5,lusitanus,5,,Arabum cardamomum,,,12,,,,
monardes:V,monardes,V,,Du cardamome,,,23,,,,
wellmann:1.7,wellmann,1.7,,νάρδος,,,,div-26,,,
berendes:1.6,berendes,1.6,,Narde,νάρδος	,,029,div-12,,,
beck:1.7,beck,1.7,,Spikenard,νάρδος,,,div-27,,,
gunther:1.6,gunther,1.6,,NARDOS,,,,div-7,,,
laguna:1.7,laguna,1.7,,nardo,νάρδος,,7,div-16,,,
"barbaro:VI",barbaro,"VI",,Nardi spica,,,0,,,,
lusitanus:6,lusitanus,6,,De spica nardi,,,15,,,,
monardes:VI,monardes,VI,,Du nard Indic,,,25,,,,
wellmann:1.8,wellmann,1.8,,Κελτικὴ νάρδος,,,,div-31,,,
berendes:1.7,berendes,1.7,,Keltische Narde,κελτικὴ νάρδος,,030,div-14,,,
beck:1.8,beck,1.8,,Celtic spikenard,κελτικὴ νάρδος,,,div-28,,,
gunther:1.7,gunther,1.7,,NARDOS KELTIKE,,,,div-8,,,
laguna:1.8,laguna,1.8,,nardo céltico,"νάρδος, κελτικὴ",,8,div-19,,,
"barbaro:VII",barbaro,"VII",,Nardum Gallicum,,,2,,,,
lusitanus:7,lusitanus,7,,"De nardo gallica (gallica nardus, celtica nardus, celticum nardum, spica romana, spica celtica, spica gallica). Secunda species (saliunca, birculus, spica communis, mascula spica, spica barbitonsorum / aspico). Tertia species (lavandula / lavende)",,,17,,,,
monardes:VII,monardes,VII,,Du nard celtic,,,27,,,,
wellmann:1.9,wellmann,1.9,,ὀρεινὴ νάρδος,,,,div-35,,,
berendes:1.8,berendes,1.8,,Bergnarde,ὀρεινὴ νάρδος,,032,div-16,,,
beck:1.9,beck,1.9,,Mountain spikenard,ὀρεινὴ νάρδος,,,div-29,,,
gunther:1.8,gunther,1.8,,NARDOS OREINE,,,,div-9,,,
