edition,edition_entry_id,barbaro_page,barbaro_book,barbaro_chapter,barbaro_term
barbaro,row200,48,CCI,0,Erinaceus marinus
barbaro,row201,48,CCII,0,Erinaceus terrestris
barbaro,row202,48,CCIII,0,Hippocampus
barbaro,row203,48,CCIIII,0,Purpurae
barbaro,row204,49,CCV,23,Buccina
barbaro,row205,49,CCVI,23,Ionia
barbaro,row206,49,CCVII,23,Mituli
barbaro,row207,49,CCVIII,23,Tellinae
barbaro,row208,50,CCIX,0,Chamae
barbaro,row209,50,CCX,0,Unguis odoratus
barbaro,row210,50,CCXI,0,Cochleae terrestres
barbaro,row211,50,CCXII,0,Cancri
barbaro,row212,50,CCXIII,0,Scorpius terrestris
barbaro,row213,50,CCXIIII,0,Scorpius marinus
barbaro,row214,50,CCXXV,0,Draco marinus
barbaro,row215,50,CCXVI,0,Scolopendra marina
barbaro,row216,50,CCXVII,0,Torpedo
barbaro,row217,50,CCXVIII,0,Vipera
barbaro,row218,51,CCXIX,24,Senecta serpentis
barbaro,row219,52,CCXX,0,Lepus marinus
barbaro,row220,52,CCXXI,0,Lepus terrestris
barbaro,row221,52,CCXXII,0,Pastinaca piscis
barbaro,row222,52,CCXXIII,0,Sepiae
barbaro,row223,52,CCXXIIII,0,Mulus piscis
barbaro,row224,52,CCXXV,0,Hippopotamus
barbaro,row225,52,CCXXVI,0,Fiber
barbaro,row226,53,CCXXVII,25,Mustella
barbaro,row227,53,CCXXVIII,25,Rana
barbaro,row228,53,CCXXIX,25,Silurus
barbaro,row229,53,CCXXX,25,Smarides
barbaro,row230,53,CCXXXI,25,Maenae
barbaro,row231,54,CCXXXII,0,Gobius
barbaro,row232,54,CCXXXIII,0,Omotarichos
barbaro,row233,54,CCXXXIIII,0,Garum
barbaro,row234,55,CCXXXV,26,Pisces saxatiles
barbaro,row235,55,CCXXXVI,26,Cimices lecti
barbaro,row236,55,CCXXXVII,26,Onos
barbaro,row237,55,CCXXXVIII,26,Blattae
barbaro,row238,55,CCXXXIX,26,Marinus pulmo
barbaro,row239,55,CCXL,26,Pulmones animalium
barbaro,row240,56,CCXLI,0,Vulpinus pulmo
barbaro,row241,56,CCXLII,0,Iecor
barbaro,row242,56,CCXLIII,0,Genitale cervi
barbaro,row243,56,CCXLIIII,0,Ungues asini
barbaro,row244,56,CCXLV,0,Lichnen equi
barbaro,row245,56,CCXLVI,0,Ungulae caprarum
barbaro,row246,56,CCXLVII,0,Iecur caprinum
barbaro,row247,56,CCXLVIII,0,Iecur hircinum
barbaro,row248,56,CCXLIX,0,Iecur apprinum
barbaro,row249,56,CCL,0,Iecur et dens canis
barbaro,row250,56,CCLI,0,Corium
barbaro,row251,56,CCLII,0,Iecur mergi
barbaro,row252,56,CCLIII,0,Gallinaceus
barbaro,row253,57,CCLIIII,27,Ovum
barbaro,row254,57,CCLV,27,Cicadae
barbaro,row255,58,CCLVI,0,Locustae
barbaro,row256,58,CCLVII,0,Ossifragus sive phinis
barbaro,row257,58,CCLVIII,0,Galerita
barbaro,row258,58,CCLIX,0,Hirundines
barbaro,row259,58,CCLX,0,Ebur
barbaro,row260,58,CCLXI,0,Talus suis
barbaro,row261,58,CCLXII,0,Cervinum cornu
barbaro,row262,59,CCLXIII,28,Erucae olerum
barbaro,row263,59,CCLXIIII,28,Cantharides
barbaro,row264,59,CCLXV,28,Buprestis et pityocampe
barbaro,row265,59,CCLXVI,28,Salamandra
barbaro,row266,59,CCLXVII,28,Araneus
barbaro,row267,60,CLXVIII,0,Lacerta
barbaro,row268,60,CCLXIX,0,Seps
barbaro,row269,61,CCLXX,29,Scinus
barbaro,row270,61,CCLXXI,29,Vermes terreni
barbaro,row271,61,CCLXXII,29,Musaraneus
barbaro,row272,61,CCLXXIII,29,Mures
barbaro,row273,61,CCLXXIIII,29,Lac
barbaro,row274,62,CCLXXV,0,Serum
barbaro,row275,62,CCLXXVI,0,Lac schiston
barbaro,row276,62,CCLXXVII,0,Lac humanum
barbaro,row277,62,CCLXXVIII,0,Caseus
barbaro,row278,62,CCLXXIX,0,Hippace
barbaro,row279,62,CCLXXX,0,Butyrum
barbaro,row280,62,CCLXXXI,0,Fuligo butyri
barbaro,row281,62,CCLXXXII,0,Lana succida
barbaro,row282,63,CCLXXXIII,30,Lana usta
barbaro,row283,63,CCLXXXIIII,30,Oesypum
barbaro,row284,63,CCLXXXV,30,Coagulum
barbaro,row285,63,CCLXXXVI,30,Adeps
barbaro,row286,63,CCLXXXVII,30,"Adeps suillus, &amp; angninus"
barbaro,row287,63,CCLXXXVIII,30,"Adeps cervinus, ovillus, hircinus"
barbaro,row288,63,CCLXXXIX,30,Adeps bubulus
barbaro,row289,63,CCXC,30,"Adeps taurinus, pantherinus, leoninus"
barbaro,row290,64,CCXCI,0,"Adipes odorati è vitulo, tauro, cervo: item medulla cervi"
barbaro,row291,64,CCXCII,0,Adipes gallinaceorum &amp; anserum
barbaro,row292,64,CCXCIII,0,Adipes sampsuchini
barbaro,row293,64,CCXCIIII,0,"Adipes anserini, gallinacei, vitulini"
barbaro,row294,64,CCXCV,0,Adipum medicinae
barbaro,row295,64,CCXCVI,0,Medullae animalium
barbaro,row296,64,CCXCVII,0,Fel animalium
barbaro,row297,64,CCXCVIII,0,Sanguis
barbaro,row298,65,CCXCIX,31,Fimum
barbaro,row299,65,CCC,31,Crocodilea
barbaro,row300,65,CCCI,31,Urina
barbaro,row301,65,CCCII,31,Lyncurium
barbaro,row302,65,CCCIII,31,Mel
barbaro,row303,65,CCCIIII,31,Mel Sardoum
barbaro,row304,65,CCCV,31,Mel Ponticum
barbaro,row305,66,CCCVI,0,Saccharum
barbaro,row306,66,CCCVII,0,Cera
barbaro,row307,66,CCCVIII,0,Propolis
barbaro,row308,66,CCCIX,0,Triticum
barbaro,row309,69,CCCX,33,Hordeum
barbaro,row310,69,CCCXI,33,Zythos et curmi
barbaro,row311,70,CCCXII,0,Zea
barbaro,row312,70,CCCXIII,0,Crimnon
barbaro,row313,70,CCCXIIII,0,Olyra
barbaro,row314,70,CCCXV,0,Athera
barbaro,row315,70,CCCXVI,0,Tragos
barbaro,row316,71,CCCXVII,34,Bromos
barbaro,row317,71,CCCXVIII,34,Oryza
barbaro,row318,71,CCCXIX,34,Alica sive Chondros
barbaro,row319,71,CCCXX,34,Milium
barbaro,row320,71,CCCXX,34,Panicum
barbaro,row321,71,CCCXXII,34,Sesamum
barbaro,row322,72,CCCXXIII,0,Lolium
barbaro,row323,72,CCCXXIIII,0,Amylum
barbaro,row324,73,CCCXXV,35,Foenum Graecum
barbaro,row325,73,CCCXXVI,35,Linum
barbaro,row326,73,CCCXXVII,35,Cicer
barbaro,row327,74,CCCXXVIII,0,Faba
barbaro,row328,74,CCCXXIX,0,Faba Aegyptia
barbaro,row329,75,CCCXXX,36,Lens
barbaro,row330,75,CCCXXXI,36,Phasiolus
barbaro,row331,75,CCCXXXII,36,Eruum
barbaro,row332,75,CCCXXXIII,36,Lupinum
barbaro,row333,75,CCCXXXIIII,36,Lupinum sylvestre
barbaro,row334,75,CCCXXXV,36,Rapum
barbaro,row335,76,CCCXXXVI,0,Rapum sylvestre
barbaro,row336,76,CCCXXXVII,0,Napum bunias
barbaro,row337,76,CCCXXXVIII,0,Raphanus
barbaro,row338,76,CCCXXXIX,0,Agrioraphanos
barbaro,row339,76,CCCXL,0,Raphanos agria
barbaro,row340,76,CCCXLI,0,Siser
barbaro,row341,76,CCCXLII,0,Lapathum
barbaro,row342,76,CCCXLIII,0,Hippolapathum
barbaro,row343,77,CCCXLIIII,37,Lapsana
barbaro,row344,77,CCCXLV,37,Bunion sive napum
barbaro,row345,77,CCCXLVI,37,Blitum
barbaro,row346,77,CCCXLVII,37,Malva
barbaro,row347,77,CCCXLVIII,37,Atraphaxis sive Atriplex
