edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row174,DMM2045,τοῦ δὲ ἤπατος τῆς αἰγὸς ἰχώρ,Juice of she-goat liver
beck,row175,DMM2046,τὸ δὲ τοῦ κάπρου ἧπαρ,Boar’s liver
beck,row176,DMM2047,κυνὸς δὲ λυσσῶντος ἧπαρ,Liver of rabid dog
beck,row177,DMM2048,κασσυμάτων παλαιὰ δέρματα,Leather of shoe soles
beck,row178,DMM2049,ἀλεκτορίδες,Hens
beck,row179,DMM2050,ᾠόν,Egg
beck,row180,DMM2051,τέττιγες,Cicadas
beck,row181,DMM2052,ἀκρίδες,Locusts
beck,row182,DMM2053,φήνη,Phene
beck,row183,DMM2054,κορυδαλλός,Lark
beck,row184,DMM2055,ἧπαρ,Liver of shearwater
beck,row185,DMM2056,χελιδὸνος νεοσσοί,Swallow’s nestlings
beck,row186,DMM2057,ἐλέφαντος ὀδούς,Elephant’s tooth
beck,row187,DMM2058,ἀστράγαλος ὑός,Hog’s hock
beck,row188,DMM2059,ἐλάφου κέρας,Hart’s horn
beck,row189,DMM2060,κάμπαι,Caterpillars
beck,row190,DMM2061,κανθαρίδες,Blister beetles
beck,row191,DMM2062,σαλαμάνδρα,Salamander
beck,row192,DMM2063,ἀράχνη τὸ ζῷον,Spider
beck,row193,DMM2064,σαύρας ἡ κεφαλὴ,Head of lizard
beck,row194,DMM2065,σήψ,Seps
beck,row195,DMM2066,σκίγκος,Skink
beck,row196,DMM2067,γῆς ἔντερα,Earthworms
beck,row197,DMM2068,μυογαλῆ,Shrewmouse
beck,row198,DMM2069,μύες,Mice
beck,row199,DMM2070,γάλα,Milk
beck,row200,DMM2071,τυρός,Cheese
beck,row201,DMM2072,βούτυρον,Butter
beck,row202,DMM2073,ἔρια οἰσυπηρά,Greasy wool
beck,row203,DMM2074,οἴσυπος,Fat from greasy wool
beck,row204,DMM2075,πιτύα,Rennet
beck,row205,DMM2076,στέαρ,Fat
beck,row206,DMM2077,μυελός,Marrow
beck,row207,DMM2078,χολή,Bile
beck,row208,DMM2079,αἷμα,Blood
beck,row209,DMM2080,ἀπόπατος,Dung
beck,row210,DMM2081,οὖρον,Urine
beck,row211,DMM2082,μέλι,Honey
beck,row212,DMM2083,κηρός,Wax
beck,row213,DMM2084,πρόπολις,Bee glue
beck,row214,DMM2085,πυροί,Wheat
beck,row215,DMM2086,κριθή,Barley
beck,row216,DMM2087,ζύθος,Beer
beck,row217,DMM2088,κοῦρμι,Courmi
beck,row218,DMM2089,ζέα,Zea
beck,row219,DMM2090,κρίμνον,Crimnon
beck,row220,DMM2091,ὄλυρα,Rice-wheat
beck,row221,DMM2092,ἀθήρα,Gruel
beck,row222,DMM2093,τράγος,Spelt
beck,row223,DMM2094,βρόμος,Oats
beck,row224,DMM2095,ὄρυζα,Rice
beck,row225,DMM2096,χόνδρος,Groats
beck,row226,DMM2097,κέγχρος,Millet
beck,row227,DMM2098,ἔλυμος,Italian millet
beck,row228,DMM2099,σήσαμον,Sesame
beck,row229,DMM2100,αἶρα,Darnel
beck,row230,DMM2101,ἄμυλον,Starch
beck,row231,DMM2102,τέλεως ἄλευρον,Meal of fenugreek
beck,row232,DMM2103,λινόσπερμον,Linseed
beck,row233,DMM2104,ἐρέβινθος ὁ ἥμερος,Cultivated chick- pea
beck,row234,DMM2105,κύαμος Ἑλληνικός,Greek bean
beck,row235,DMM2106,Αἰγύπτιος κύαμος,Egyptian bean
beck,row236,DMM2107,φακός,Lentil
beck,row237,DMM2108,ὄροβος,Bitter vetch
beck,row238,DMM2109,θέρμος,Lupine
beck,row239,DMM2110,γογγύλη,Turnip
beck,row240,DMM2111,βουνιάς,French turnip
beck,row241,DMM2112,ῥαφανίς,Radish
beck,row242,DMM2113,σίσαρον,Parsnip
beck,row243,DMM2114,λάπαθον,Monk’s rhubarb
beck,row244,DMM2115,ἱππολάπαθον,Dock sorrel
beck,row245,DMM2116,λαμψάνη,Charlock
beck,row246,DMM2117,βλίτον,Blite
beck,row247,DMM2118,μολόχη,Mallow
beck,row248,DMM2119,ἀνδράφαξυς,Orach
beck,row249,DMM2120,κράμβη ἥμερος,Cultivated cabbage
beck,row250,DMM2121,κράμβη ἀγρία,~ B. cretica. Wild cabbage
beck,row251,DMM2122,κράμβη ἡ θαλασσία,Sea cole
beck,row252,DMM2123,σεῦτλον,Beet
beck,row253,DMM2124,ἀνδράχνη,Purslane
beck,row254,DMM2125,ἀσπάραγος πετραῖος ἢ μυάκανθος,Asparagus
beck,row255,DMM2126,ἀρνόγλωσσον,Plantain
beck,row256,DMM2127,σίον,Water parsnip
beck,row257,DMM2128,σισύμβριον,Watercress
beck,row258,DMM2129,κρῆθμον,Samphire
beck,row259,DMM2130,κορωνόπους,Hartshorn
beck,row260,DMM2131,σόγχος,Sow thistle
beck,row261,DMM2132,σέρις,Chicory or Endive
beck,row262,DMM2133,χονδρίλη,Gum
beck,row263,DMM2134,κολοκύνθα,Edible bottle gourd
beck,row264,DMM2135,σίκυς ἥμερος,Cucumber
beck,row265,DMM2136,θρίδαξ ἥμερος,Cultivated lettuce
beck,row266,DMM2137,γιγγίδιον,Gingidium
beck,row267,DMM2138,σκάνδιξ,Wild chervil
beck,row268,DMM2139,καυκαλίς,Caucalis
beck,row269,DMM2140,εὔζωμον,Rocket
beck,row270,DMM2141,ὤκιμον,Basil
beck,row271,DMM2142,ὀροβάγχη,Chokefitch
beck,row272,DMM2143,τραγοπώγων,Salsify
beck,row273,DMM2144,ὄρνιθος γάλα,Starflower
beck,row274,DMM2145,ὕδνον,Truffle
beck,row275,DMM2146,σμῖλαξ κηπαία,Cowpea
beck,row276,DMM2147,Μηδική,Alfalfa
beck,row277,DMM2148,ἀφάκη,Tare
beck,row278,DMM2149,πράσον κεφαλωτόν,Leek
beck,row279,DMM2150,ἀμπελόπρασον,Wild leek
beck,row280,DMM2151,κρόμυον,Onion
beck,row281,DMM2152,σκόρδον,Garlic
beck,row282,DMM2153,σκορδόπρασον,Garlic leek
beck,row283,DMM2154,σίνηπι ἢ νᾶπι,Mustard
beck,row284,DMM2155,καρδάμον,Garden cress
beck,row285,DMM2156,θλάσπι,Shepherd’s-purse
beck,row286,DMM2157,δράβη,Arabian mustard
beck,row287,DMM2158,ἐρύσιμον,Hedge mustard
beck,row288,DMM2159,πέπερι,Pepper
beck,row289,DMM2160,ζιγγίβερι,Ginger
beck,row290,DMM2161,ὑδροπέπερι,Smartweed
beck,row291,DMM2162,πταρμική,Sneezewort
beck,row292,DMM2163,στρούθιον,Soapwort
beck,row293,DMM2164,κυκλάμινος,Cyclamen
beck,row294,DMM2165,κυκλάμινος ἑτέρα,Another cyclamen
beck,row295,DMM2166,δρακόντιον,Dragon arum
beck,row296,DMM2167,ἄρον,Cuckoopint
beck,row297,DMM2168,ἀρίσαρον,Hooded arum
beck,row298,DMM2169,ἀσφόδελος,Asphodel
beck,row299,DMM2170,βολβὸς ἐδώδιμος,Purse tassels
beck,row300,DMM2171,σκίλλα,Squill or Scilla
beck,row301,DMM2172,παγκράτιον,Sea daffodil
beck,row302,DMM2173,κάππαρις,Caper
beck,row303,DMM2174,λεπίδιον,Pepperwort
beck,row304,DMM2175,βατράχιον,sp. Ranunculus
beck,row305,DMM2176,ἀνεμώνη,Poppy anemone
beck,row306,DMM2177,ἀργεμώνη,Wind-rose
beck,row307,DMM2178,ἀναγαλλίς,Pimpernel
beck,row308,DMM2179,κισσός,Ivy
beck,row309,DMM2180,χελιδόνιον μέγα,Celandine
beck,row310,DMM2181,χελιδόνιον τὸ μικρόν,Pilewort
beck,row311,DMM2182,ὀθόννα,Othonna
beck,row312,DMM2183,μυὸς ὦτα,Madwort
beck,row313,DMM2184,ἰσάτις,Woad
