edition,edition_entry_id,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin
matthiolo,row378,XLVIII,3.48,Πάνακες ἡράκλειον,PANACES HERACLEUM
matthiolo,row379,XLIX,3.49,Πάνακες ἀσκλήπιον,PANACES ASCLEPIUM
matthiolo,row380,L,3.5,Πάνακες χειρώνιον,PANACES CHIRONIUM
matthiolo,row381,LI,3.51,Λιγυστικόν,LIGUSTICUM
matthiolo,row382,LII,3.52,Σταφυλῖνος,PASTINACA
matthiolo,row383,LIII,3.53,Σέσελι,SESELI
matthiolo,row384,LIV,3.54,Τορδύλιον,CRETICUM SESELI
matthiolo,row385,LV,3.55,Σίσων,SISON
matthiolo,row386,LVI,3.56,Ἄνισον,ANISUM
matthiolo,row387,LVII,3.57,Κάρος,CARUM
matthiolo,row388,LVIII,3.58,Ἄνηθον,ANETHUM
matthiolo,row389,LIX,3.59,Κύμινον ἥμερον,CUMINUM SATIVUM
matthiolo,row390,LX,3.6,Κύμινον ἄγριον,CUMINUM SYLVESTRE
matthiolo,row391,LXI,3.61,Ἄμμι,AMMI
matthiolo,row392,LXII,3.62,Κόριον ἤ κορίανον,CORIANDRUM
matthiolo,row393,LXIII,3.63,Ἱεράκιον,HIERACIUM
matthiolo,row394,LXIV,3.64,Σέλινον,APIUM
matthiolo,row395,LXV,3.65,Σμύρνιον,SMYRNIUM
matthiolo,row396,LXVI,3.66,Ἐλαφόβοσκον,ELAPHOBOSCUM
matthiolo,row397,LXVII,3.67,Μάραθρον,FOENICULUM
matthiolo,row398,??,,,
matthiolo,row399,LXVIII,3.68,,
matthiolo,row400,LXIX,3.69,Δαῦκος,DAUCUM
matthiolo,row401,LXX,3.7,Δελφίνιον,DELPHINIUM
matthiolo,row402,LXXI,3.71,Πυρέθρον,PYRETHRUM
matthiolo,row403,LXXII,3.72,Λιβανωτὶς,ROSMARINUM
matthiolo,row404,LXXIII,3.73,Λιβανωτὶς στεφανοματικὴ (?),ROSMARINUM CORONARIUM
matthiolo,row405,LXXIV,3.74,Σφονδύλιον,SPHONDYLIUM
matthiolo,row406,LXXV,3.75,Νάρθηξ,FERULA
matthiolo,row407,LXXVI,3.76,Πευκέδανος,PEUCEDANUM
matthiolo,row408,LXXVII,3.77,Μελάνθιον,GITH SEU MELANTIUM
matthiolo,row409,LXXVIII,3.78,Σίλφιον,LASERPITIUM
matthiolo,row410,LXXIX,3.79,Σαγάπηνον,SAGAPENUM
matthiolo,row411,LXXX,3.8,Εὐφόρβιον,EUPHORBIUM
matthiolo,row412,LXXXI,3.81,Χαλβάνη,GALBANUM
matthiolo,row413,LXXXII,3.82,Ἀμμωνιακὸν,AMMONIACUM
matthiolo,row414,LXXXIII,3.83,Σαρκοκόλλα,SARCOCOLLA
matthiolo,row415,LXXXIV,3.84,Γλαύκιον,GLAUCIUM
matthiolo,row416,LXXXV,3.85,Κόλλα_x0096_ GLUTINUM,
matthiolo,row417,LXXXVI,3.86,Ἰχθυόκολλα,PISCIUM GLUTINUM
matthiolo,row418,LXXXVII,3.87,Ἰξὸς,VISCUM
matthiolo,row419,LXXXVIII,3.88,Ἀπαρίνη,APARINE
matthiolo,row420,LXXXIX,3.89,Ἄλυσσον,ALYSSUM
matthiolo,row421,XC,3.9,Ἀσκληπιὰς,ASCLEPIAS
matthiolo,row422,XCI,3.91,Ἀτρακτυλίς,ATRACTYLIS
matthiolo,row423,XCII,3.92,Πολύκνημον,POLYCNEMUM
matthiolo,row424,XCIII,3.93,Κλινοπόδιον,CLINOPODIUM
matthiolo,row425,XCIV,3.94,Λεοντοπέταλον,LEONTOPETALUM
matthiolo,row426,XCV,3.95,Τεύκριον,TEUCRIUM
matthiolo,row427,XCVI,3.96,Χαμαίδρυς,TRISSAGO
matthiolo,row428,XCVII,3.97,Λευκὰς,LEUCAS
matthiolo,row429,XCVIII,3.98,Λυχνὶς,LYCHNIS
matthiolo,row430,XCIX,3.99,Κρίνον,LILIUM
matthiolo,row431,C,3.1,Βαλλωτὴ,BALLOTE
matthiolo,row432,CI,3.101,Μελισσόφυλλον_x0096_ APIASTRUM,
matthiolo,row433,CII,3.102,Πράσιον,MARRUBIUM
matthiolo,row434,CIII,3.103,Στάχυς,STACHYS
matthiolo,row435,CIV,3.104,Φυλλίτις,PHYLLITIS
matthiolo,row436,CV,3.105,Φαλάγγιον,PHALANGIUM
matthiolo,row437,CVI,3.106,Τρίφυλλον,TRIFOLIUM
matthiolo,row438,CVII,3.107,Πόλιον,POLIUM
matthiolo,row439,CVIII,3.108,Σκόρδιον,SCORDIUM
matthiolo,row440,CIX,3.109,Βήχιον,TUSSILAGO
matthiolo,row441,CX,3.11,Ἀρτεμισία,ARTEMISIA
matthiolo,row442,CXI,3.111,Ἀρτεμισία λεπτόφυλλος,ARTEMISIA TENUIFOLIA
matthiolo,row443,CXII,3.112,Ἀμβροσία,AMBROSIA
matthiolo,row444,CXIII,3.113,Βότρυς,BOTRYS
matthiolo,row445,CXIV,3.114,Γεράνιον,GERANIUM
matthiolo,row446,CXV,3.115,Γναφάλιον,GNAPHALIUM
matthiolo,row447,CXVI,3.116,Τύφη,TYPHA
matthiolo,row448,CXVII,3.117,Κιρκαία,CIRCAEA
matthiolo,row449,CXVIII,3.118,Οἰνάνθη,OENANTHE
matthiolo,row450,CXIX,3.119,Κόνυζα,CONYZA
matthiolo,row451,CXX,3.12,Ἡμεροκαλλὶς,HEMEROCALLIS
matthiolo,row452,CXXI,3.121,Λευκόϊον,LEUCOIUM SIVE ALBA VIOLA
matthiolo,row453,CXXII,3.122,Κραταιόγονον,CRATAEOGONUM
matthiolo,row454,CXXIII,3.123,Φύλλον,PHYLLON
matthiolo,row455,CXXIV,3.124,Ὄρχις,TESTICULUS
matthiolo,row456,CXXV,3.125,Ὄρχις ἕτερος,TESTICULUS ALTER
matthiolo,row457,CXXVI,3.126,Σατύριον,SATYRIUM
matthiolo,row458,CXXVII,3.127,Σατύριον ἐρυθρόνιον,SATYRIUM ERYTHRONIUM
matthiolo,row459,CXXVIII,3.128,Ὅρμινον,HORMINUM
matthiolo,row460,CXXIX,3.129,Ἡδύσαρον,HEDYSARUM
matthiolo,row461,CXXX,3.13,Ὄνοσμα,ONOSMA
matthiolo,row462,CXXXI,3.131,Νυμφαία,NYMPHAEA
matthiolo,row463,CXXXII,3.132,Νυμφαία ἑτέρα,NYMPHAEA ALTERA
matthiolo,row464,CXXXIII,3.133,Ἀνδρόσακες,ANDROSACES
matthiolo,row465,CXXXIV,3.134,Ἄσπληνον,ASPLENUM
matthiolo,row466,CXXXV,3.135,Ἡμιωνῖτις,HEMIONITIS
matthiolo,row467,CXXXVI,3.136,Ἀνθυλλίς,ANTHYLLIS
matthiolo,row468,CXXXVII,3.137,Ἄνθεμις,ANTHEMIS
matthiolo,row469,CXXXVIII,3.138,Παρθένιον,PARTHENIUM
matthiolo,row470,CXXXIX,3.139,Βούφθαλμον,BUPHTHALMUM
matthiolo,row471,CXL,3.14,Γλυκυσίδη,PAEONIA
matthiolo,row472,CXLI,3.141,Λιθόσπερμον,LITHOSPERMUM
matthiolo,row473,CXLII,3.142,Φάλαρις,PHALARIS
matthiolo,row474,CXLIII,3.143,Ἐρυθρόδανον,RUBIA
matthiolo,row475,CXLIV,3.144,Λογχῖτις,LONCHITIS
matthiolo,row476,CXLV,3.145,Λογχῖτις ἑτέρα,LONCHITIS ALTERA
matthiolo,row477,CXLVI,3.146,Ἀλθαία,ALTHAEA
matthiolo,row478,CXLVII,3.147,Ἀλκέα,ALCEA
matthiolo,row479,CXLVIII,3.148,Κάνναβις,CANNABIS
matthiolo,row480,CXLIX,3.149,Ἀνάγυρις,ANAGYRIS
matthiolo,row481,CL,3.15,Κηπαία,CEPAEA
matthiolo,row482,CLI,3.151,Ἄλισμα,ALISMA
matthiolo,row483,CLII,3.152,Ὀνοβρυχίς,ONOBRYCHIS
matthiolo,row484,CLIII,3.153,Ὑπερικόν,HYPERICUM
matthiolo,row485,CLIV,3.154,Ἄσκυρον,ASCYRUM
matthiolo,row486,CLV,3.155,Ἀνδρόσαιμον,ANDROSAEMON
matthiolo,row487,CLVI,3.156,Κόρις,CORIS
matthiolo,row488,CLVII,3.157,Χαμαιπίτυς,AIUGA
matthiolo,row489,I,4.1,Κέστρον,BETONICA
matthiolo,row490,II,4.2,Βρετ<τ>ανική,BRITANICA
matthiolo,row491,III,4.3,Λυσιμάχιον,LYSIMACHIA
matthiolo,row492,IV,4.4,Πολύγονον,SANGUINARIA
matthiolo,row493,V,4.5,Πολυγονάτον,POLYGONATUM
matthiolo,row494,VI,4.6,Κληματίς,CLEMATIS
matthiolo,row495,VII,4.7,Κληματίς ἑτέρα,CLEMATIS ALTERA
matthiolo,row496,VIII,4.8,Πολεμώνιον,POLEMONIA
matthiolo,row497,IX,4.9,Σύμφυτον,SYMPHYTUM
matthiolo,row498,X,4.1,Ὁλόστιον,HOLOSTIUM
matthiolo,row499,XI,4.11,Στοιβή,STOEBE
matthiolo,row500,XII,4.12,Κλύμενον,CLYMENUM
matthiolo,row501,XIII,4.13,Περικλύμενον,PERICLYMENUM
matthiolo,row502,XIV,4.14,Τρίβολος,TRIBULUS
matthiolo,row503,XV,4.15,Σαρξίφραγον,SAXIFRAGA
matthiolo,row504,XVI,4.16,Λειμώνιον,LIMONIUM
matthiolo,row505,XVII,4.17,Λαγώπους,LAGOPUS
matthiolo,row506,XVIII,4.18,Μήδιον,MEDIUM
matthiolo,row507,XIX,4.19,Ἐπιμήδιον,EPIMEDIUM
matthiolo,row508,XX,4.2,Ξιφίον,GLADIOLUS
matthiolo,row509,XXI,4.21,Σπαργάνιον,SPARGANIUM
matthiolo,row510,XXII,4.22,Ξυρίς,XYRIS
matthiolo,row511,XXIII,4.23,Ἄγχουσα,ANCHUSA
matthiolo,row512,XXIV,4.24,Λύκοψις,LYCOPSIS
matthiolo,row513,XXV,4.25,Ἔχιον,ECHIUM
matthiolo,row514,XXVI,4.26,Ὠκιμοειδές,OCIMASTRUM
matthiolo,row515,XXVII,4.27,Ἔρινος,ERINUS
matthiolo,row516,XXVIII,4.28,Ἄγρωστις  _x0096_ GRAMEN,
matthiolo,row517,XXIX,4.29,Σιδηρῖτις,SIDERITIS
matthiolo,row518,XXX,4.3,Σιδηρῖτις ἑτέρα,SIDERITIS ALTERA
matthiolo,row519,XXXI,4.31,Σιδηρῖτις τρίτη,SIDERITIS TERTIA
matthiolo,row520,XXXII,4.32,Ἀχίλλειος,ACHILLEA
matthiolo,row521,XXXIII,4.33,Βάτος,RUBUS
matthiolo,row522,XXXIV,4.34,Βάτος ἰδαία,RUBUS IDAEUS
matthiolo,row523,XXXV,4.35,Ἡλξίνη,HELXINE
matthiolo,row524,XXXVI,4.36,Ἐλατίνη,ELATINE
matthiolo,row525,XXXVII,4.37,Εὐπατόριον,EUPATORIUM
matthiolo,row526,XXXVIII,4.38,Πεντάφυλλον,QUINQUEFOLIUM
matthiolo,row527,XXXIX,4.39,Φοίνιξ,PHOENIX
matthiolo,row528,XL,4.4,Ἰδαία ῥίζα,IDAEA RADIX
matthiolo,row529,??,,,
matthiolo,row530,XLI,4.41,,
matthiolo,row531,XLII,4.42,Ἵππουρις,EQUISETUM
matthiolo,row532,XLIII,4.43,Κόκκος βαφική,COCCUM INFECTORIUM
matthiolo,row533,XLIV,4.44,Τράγιον,TRAGIUM
matthiolo,row534,XLV,4.45,Τράγιον ἕτερον,TRAGIUM ALTERUM
matthiolo,row535,XLVI,4.46,Τράγος,TRAGUM
matthiolo,row536,XLVII,4.47,Σχοῖνος,IUNCUS
matthiolo,row537,XLVIII,4.48,Λειχήν,LICHEN
matthiolo,row538,XLIX,4.49,Παρωνυχία,PARONYCHIA
matthiolo,row539,L,4.5,Χρυσοκόμη,CHRYSOCOME
matthiolo,row540,LI,4.51,Χρυσόγονον,CHRYSOGONUM
matthiolo,row541,LII,4.52,Ἑλίχρυσον,HELICHRYSUM
matthiolo,row542,LIII,4.53,Χρυσάνθεμον,CHRYSANTHEMUM
matthiolo,row543,LIV,4.54,Ἀγήρατον,AGERATUM
matthiolo,row544,LV,4.55,Περιστερεών,VERBENACA
matthiolo,row545,LVI,4.56,Ἱερά βοτάνη,SACRA HERBA
matthiolo,row546,LVII,4.57,Ἀστράγαλος,ASTRAGALUS
matthiolo,row547,LVIII,4.58,Ὑάκινθος,HYACINTHUS
matthiolo,row548,LIX,4.59,Μήκων ῤοιάς,PAPAVER ERRATICUM
matthiolo,row549,LX,4.6,Μήκων ἥμερος,PAPAVER SATIVUM
matthiolo,row550,LXI,4.61,Μήκων κερατῖτις,PAPAVER CORNICULATUM
matthiolo,row551,LXII,4.62,Μήκων ἀφρώδης,PAPAVER SPUMEUM
matthiolo,row552,LXIII,4.63,Ὑπήκοον,HYPECOUM
matthiolo,row553,LXIV,4.64,Ὑοσκύαμος,HYOSCYAMUS SIVE APOLLINARIS
matthiolo,row554,LXV,4.65,Ψύλλιον,PSYLLIUM
matthiolo,row555,LXVI,4.66,Στρύχνος κηπαῖος,SOLANUM HORTENSE
matthiolo,row556,LXVII,4.67,Στρύχνος ἁλικάκαβος,SOLANUM HALICACABUM
matthiolo,row557,LXVIII,4.68,Στρύχνος ὑπνωτικός,SOLANUM SOMNIFERUM
matthiolo,row558,LXIX,4.69,Στρύχνος μανικός,SOLANUM FURIOSUM
matthiolo,row559,LXX,4.7,Δορύκνιον,DORYCNIUM
matthiolo,row560,LXXI,4.71,Μανδραγόρας,MANDRAGORAS
matthiolo,row561,LXXII,4.72,Ἀκόνιτον,ACONITUM
matthiolo,row562,LXXIII,4.73,Ἀκόνιτον ἕτερον,ACONITUM ALTERUM
matthiolo,row563,LXXIV,4.74,Κώνειον,CICUTA
matthiolo,row564,LXXV,4.75,Σμίλαξ,TAXUS
matthiolo,row565,LXXVI,4.76,Ἀπόκυνον,APOCYNUM
matthiolo,row566,LXXVII,4.77,Νήριον ἤ Ῥοδόδενδρον,NERIUM SEU RHODODENDRUM
matthiolo,row567,LXXVIII,4.78,Μυκήτες,FUNGI
matthiolo,row568,LXXIX,4.79,Κολχικόν,COLCHICUM
matthiolo,row569,LXXX,4.8,Ἐφήμερον,EPHEMERUM
matthiolo,row570,LXXXI,4.81,Ἑλξίνη,HELXINE
matthiolo,row571,LXXXII,4.82,Ἀλσίνη,ALSINE
matthiolo,row572,LXXXIII,4.83,Φακός ὁ ἐπὶ τῶν τελμάτων,LENS PALUSTRIS
matthiolo,row573,LXXXIV,4.84,Ἀείζωον μέγα,SEDUM MAIUS
matthiolo,row574,LXXXV,4.85,Ἀείζωον μικρόν,SEDUM MINUS
matthiolo,row575,LXXXVI,4.86,Ἀείζωον εἶδος τρίτον,SEDI GENUS TERTIUM
matthiolo,row576,LXXXVII,4.87,Κοτυληδών,UMBILICUS VENERIS
matthiolo,row577,LXXXVIII,4.88,Κοτυληδών ἕτερα,UMBILICUS VENERIS ALTER
matthiolo,row578,LXXXIX,4.89,Ἀκαλύφη,URTICA
matthiolo,row579,XC,4.9,Γαλίοψις,GALIOPSIS
matthiolo,row580,XCI,4.91,Γάλιον,GALION
matthiolo,row581,XCII,4.92,Ἠριγέρων,SENECIO
matthiolo,row582,XCIII,4.93,Θάλικτρον,THALICTRUM
matthiolo,row583,XCIV,4.94,Βρύον θαλάσσιον,MUSCUS MARINUS
matthiolo,row584,XCV,4.95,Φῦκος θαλάσσιον,FUCUS MARINUS
matthiolo,row585,XCVI,4.96,Ποταμογείτων,POTAMOGETON
matthiolo,row586,XCVII,4.97,Στρατιώτης,STRATIOTES
matthiolo,row587,XCVIII,4.98,Στρατιότης χιλιόφυλλος,STRATIOTES MILLEFOLIUM
matthiolo,row588,XCIX,4.99,Φλόμος,VERBASCUM
matthiolo,row589,C,4.1,Αἰθιοπίς,AETHIOPIS
matthiolo,row590,CI,4.101,Ἄρκτιον,ARCTION
matthiolo,row591,CII,4.102,Ἄρκειον,PERSONATA
matthiolo,row592,CIII,4.103,Πετασίτης,PETASITES
matthiolo,row593,CIV,4.104,Ἐπιπακτίς,EPIPACTIS
matthiolo,row594,CV,4.105,Καπνός,FUMARIA
matthiolo,row595,CVI,4.106,Λοτός ἥμερος,LOTUS URBANA
matthiolo,row596,CVII,4.107,Λοτός ἄγριος,LOTUS SYLVESTRIS
matthiolo,row597,CVIII,4.108,Κύτισος,CYTISUS
matthiolo,row598,CIX,4.109,Λωτός αἰγύπτιος,LOTUS AEGYPTIA
matthiolo,row599,CX,4.11,Μυριόφυλλον,MILLEFOLIUM
matthiolo,row600,CXI,4.111,Μύῤῥις,MYRRHIS
matthiolo,row601,CXII,4.112,Μύαγρος,MYAGRUM
matthiolo,row602,CXIII,4.113,Ὀνάγρα,ONAGRA
matthiolo,row603,CXIV,4.114,Κίρσιον,CIRSIUM
matthiolo,row604,CXV,4.115,Ἀστήρ ἀττικός,ASTER ATTICUS
matthiolo,row605,CXVI,4.116,Ἰσόπυρον_x0096_ ISOPYRUM,
matthiolo,row606,CXVII,4.117,Ἴον πορφυροῦν,VIOLA PURPUREA
matthiolo,row607,CXVIII,4.118,Κακαλία,CACALIA
matthiolo,row608,CXIX,4.119,Βούνιον,BUNIUM
matthiolo,row609,CXX,4.12,Πσευδοβούνιον,PSEUDOBUNIUM
matthiolo,row610,CXXI,4.121,Χαμαίκισσος,CHAMAECISSUS
matthiolo,row611,CXXII,4.122,Χαμαιλεύκη,CHAMAELEUCE
matthiolo,row612,CXXIII,4.123,Βούγλωσσον,BUGLOSSUM LINGUA BUBULA
matthiolo,row613,CXXIV,4.124,Κυνόγλωσσον,CYNOGLOSSUM
matthiolo,row614,CXXV,4.125,Φύτευμα,PHYTEUMA
matthiolo,row615,CXXVI,4.126,Λεοντοπόδιον,LEONTOPODIUM
matthiolo,row616,CXXVII,4.127,Ἱππόγλωσσον,HIPPOGLOSSUM
matthiolo,row617,CXXVIII,4.128,Ἀντίῤῥινον,ANTIRRHINUM
matthiolo,row618,CXXIX,4.129,Κατανάγκη,CATANANCE
matthiolo,row619,CXXX,4.13,Τριπόλιον,TRIPOLION
matthiolo,row620,CXXXI,4.131,Ἀδίαντον,ADIANTUM
matthiolo,row621,CXXXII,4.132,Τριχομανές,TRICHOMANES
matthiolo,row622,CXXXIII,4.133,Ξάνθιον,XANTHIUM SIVE LAPPA
matthiolo,row623,CXXXIV,4.134,Αἰγίλωψ,AEGILOPS SIVE FESTUCA
matthiolo,row624,CXXXV,4.135,Βρῶμος,BROMUS
matthiolo,row625,CXXXVI,4.136,Γλαύξ,GLAUX
matthiolo,row626,CXXXVII,4.137,Πολύγαλον,POLYGALA
matthiolo,row627,CXXXVIII,4.138,Ὄσυρις,OSYRIS
matthiolo,row628,CXXXIX,4.139,Σμίλαξ τραχεῖα,SMILAX ASPERA
matthiolo,row629,CXL,4.14,Σμίλαξ λεῖα,SMILAX LAEVIS
matthiolo,row630,CXLI,4.141,Μυρσίνη ἀγρία,RUSCUS
matthiolo,row631,CXLII,4.142,Δάφνη ἀλέξανδρεια,LAURUS ALEXANDRINA
matthiolo,row632,CXLIII,4.143,Δαφνοειδές,DAPHNOIDES
matthiolo,row633,CXLIV,4.144,Χαμαιδάφνη,CHAMAEDAPHNE
matthiolo,row634,CXLV,4.145,Ἐλλέβορος λευκός,VERATRUM ALBUM
matthiolo,row635,CXLVI,4.146,Ἐλλέβορος μέλας,VERATRUM NIGRUM
matthiolo,row636,CXLVII,4.147,Σησαμοιδές μέγα,SESAMOIDES MAGNUM
matthiolo,row637,CXLVIII,4.148,Σησαμοιδές μικρόν,SESAMOIDES PARVUM
matthiolo,row638,CXLIX,4.149,Σίκυς ἄγριος,CUCUMER SYLVESTRIS
matthiolo,row639,CL,4.15,Σταφίς ἀγρία,STAPHIS AGRIA
matthiolo,row640,CLI,4.151,Θαψία,THAPSIA
matthiolo,row641,CLII,4.152,Σπαρτίον,SPARTIUM
matthiolo,row642,CLIII,4.153,Σίλυβον,SILYBUM
matthiolo,row643,CLIV,4.154,Βάλανος μυρεψική,GLANS UNGUENTARIA
matthiolo,row644,CLV,4.155,Νάρκισσος,NARCISSUS
matthiolo,row645,CLVI,4.156,Ἱπποφαίς,HIPPOPHAES
matthiolo,row646,CLVII,4.157,Ἱππόφαιστον,HIPPOPHAESTUM
matthiolo,row647,CLVIII,4.158,Κίκι ἣ κρότων,RICINUS
matthiolo,row648,CLIX,4.159,Τιθυμάλοι,TITHYMALI
matthiolo,row649,CLX,4.16,Πιτύουσα,PITYUSA
matthiolo,row650,CLXI,4.161,Λαθυρίς,LATHYRIS
matthiolo,row651,CLXII,4.162,Πέπλος,PEPLUS
matthiolo,row652,CLXIII,4.163,Πεπλίς,PEPLIS
matthiolo,row653,CLXIV,4.164,Χαμαισύκη,CHAMAESYCE
matthiolo,row654,CLXV,4.165,Σκαμμωνία,SCAMMONIA
matthiolo,row655,CLXVI,4.166,Χαμελαία,CHAMELAEA
matthiolo,row656,CLXVII,4.167,Θυμελαία,THYMELAEA
matthiolo,row657,CLXVIII,4.168,Ακτή,SAMBUCUS
matthiolo,row658,CLXIX,4.169,Πυκνόκομον,PYCNOCOMUM
matthiolo,row659,CLXX,4.17,Ἄπιος,APIOS
matthiolo,row660,CLXXI,4.171,Κολοκυνθίς,COLOCYNTHIS
matthiolo,row661,CLXXII,4.172,Ἐπίθυμον,EPITHYMUM
matthiolo,row662,CLXXIII,4.173,Ἀλύπον,ALYPUM
matthiolo,row663,CLXXIV,4.174,Ἔμπετρον,EMPETRUM
matthiolo,row664,CLXXV,4.175,Ἄμπελος ἀγρία,VITIS SYLVESTRIS
matthiolo,row665,CLXXVI,4.176,Ἄμπελος λευκή,VITIS ALBA
matthiolo,row666,CLXXVII,4.177,Ἄμπελος μέλαινα,VITIS NIGRA
matthiolo,row667,CLXXVIII,4.178,Πτέρις,FILIX MAS
matthiolo,row668,CLXXIX,4.179,Θελυπτερίς,FILIX FOEMINA
matthiolo,row669,CLXXX,4.18,Πολυπόδιον,FILICULA
matthiolo,row670,CLXXXI,4.181,Δρυοπτερίς,DRYOPTERIS
matthiolo,row671,CLXXXII,4.182,Κνίκος,CNICUS
matthiolo,row672,CLXXXIII,4.183,Λινόζωστις,MERCURIALIS
matthiolo,row673,CLXXXIV,4.184,Κυνοκράμβη,CYNOCRAMBE
matthiolo,row674,CLXXXV,4.185,Ἡλιοτρόπιον μέγα,HELIOTROPIUM MAIUS
matthiolo,row675,CLXXXVI,4.186,Ἡλιοτρόπιον μικρόν,HELIOTROPIUM MINUS
matthiolo,row676,CLXXXVII,4.187,Σκορπιοειδές,SCORPIOIDES
matthiolo,row677,I,5.1,Ἄμπελος οἰνοφόρος,VITIS VINIFERA
matthiolo,row678,II,5.2,Ἄμπελος ἀγρία,LABRUSCA
matthiolo,row679,III,5.3,Σταφυλή,UVA
matthiolo,row680,IV,5.4,Σταφίς,UVA PASSA
matthiolo,row681,V,5.5,Οἰνάνθη,OENANTHE
matthiolo,row682,VI,5.6,Ὀμφάκιον,OMPHACIUM
matthiolo,row683,VII,5.7,Οἴνου φύσις,VINI NATURA
matthiolo,row684,VIII,5.8,Οἶνος ὀμφακίτης,VINUM OMPHACITES
matthiolo,row685,IX,5.9,Δευτερία,LORA
matthiolo,row686,X,5.1,Οἶνος ἐκ τῆς ἀγρίας σταφυλῆς,VINUM E LABRUSCA
matthiolo,row687,XI,5.11,Οἶνος μελιτίτης,VINUM MELITITES
matthiolo,row688,XII,5.12,Οἰνόμελι,MULSUM
matthiolo,row689,XIII,5.13,Μελίκρατον,AQUA MULSA
matthiolo,row690,XIV,5.14,Ὕδωρ,AQUA
matthiolo,row691,XV,5.15,Ὕδωρ θαλάττιον,AQUA MARINA
matthiolo,row692,XVI,5.16,Θαλασσόμελι_x0096_ THALASSOMELI,
matthiolo,row693,XVII,5.17,Ὄξος,ACETUM
matthiolo,row694,XVIII,5.18,Ὀξύμελι,ACETUM MULSUM
matthiolo,row695,XIX,5.19,Ὀξάλμη,ACIDA MURIA
matthiolo,row696,XX,5.2,Θυμοξάλμη,THYMOXALME
matthiolo,row697,XXI,5.21,Σκιλλητικόν ὄξος,SCILLINUM ACETUM
matthiolo,row698,XXII,5.22,Σκιλλητικός οἶνος,SCILLINUM VINUM
matthiolo,row699,XXIII,5.23,Οἴνοι θαλάσσιοι,VINA MARINA
matthiolo,row700,XXIV,5.24,Κυδωνίτης οἶνος,VINUM CYDONITES
matthiolo,row701,XXV,5.25,Ὑδρόμηλον,HYDROMELUM
matthiolo,row702,XXVI,5.26,Ὀμφακομέλι,OMPHACOMELI
matthiolo,row703,XXVII,5.27,Ἀπίτης οἶνος,VINUM EX PYRIS
matthiolo,row704,XXVIII,5.28,Οἰνάνθινος οἶνος,VINUM OENANTHIUM
matthiolo,row705,XXIX,5.29,Ῥοίτης οἶνος,VINUM EX PUNICIS
matthiolo,row706,XXX,5.3,Ῥοδίτης οἶνος,ROSACEUM VINUM
matthiolo,row707,XXXI,5.31,Μυρτίτης οἶνος,MYRTITES VINUM
matthiolo,row708,XXXII,5.32,Μυρσινίτης οἶνος,MYRSINITES VINUM
matthiolo,row709,XXXIII,5.33,Σχίνινος καὶ τερεμίνθινος οἶνος,LENTISCINUM ET TEREBINTHINUM VINUM
matthiolo,row710,XXXIV,5.34,Φοινικίτης οἶνος,PALMEUM VINUM
matthiolo,row711,XXXV,5.35,Κατορχίτης οἶνος,VINUM EX CARICIS FACTUM
matthiolo,row712,XXXVI,5.36,Ῥητινίτης οἶνος,RESINATUM VINUM
matthiolo,row713,XXXVII,5.37,Στροβιλίτης οἶνος,VINUM STROBILITES
matthiolo,row714,XXXVIII,5.38,Κέδρινος καὶ ἐκ τίνων δένδρων καὶ καρπῶν οἶνος CEDRINUM ET EX ALIQUOT ARBORIBUS AC FRUCTIBUS VINUM,
matthiolo,row715,XXXIX,5.39,Πισσίτης οἶνος,PICATUM VINUM
matthiolo,row716,XL,5.4,Ἀψινθίτης οἶνος,VINUM ABSINTHITES
matthiolo,row717,XLI,5.41,Ὑσσοπίτης οἶνος,VINUM HYSSOPITES
matthiolo,row718,XLII,5.42,Οἶνοι ἐκ τῶν ποικίλων φυτῶν,VINA EX DIVERSIS PLANTIS FACTA
matthiolo,row719,XLIII,5.43,Ἀρωματίτης οἶνος,VINUM AROMATITES
matthiolo,row720,XLIV,5.44,Οἶνοι ἐκ τῶν ποικίλων ἀρωμάτων,VINA EX DIVERSIS ODORAMENTIS
matthiolo,row721,XLV,5.45,Οἶνοι ἐκ τῶν ποικίλων ποῶν,VINA EX DIVERSIS HERBIS FACTA
matthiolo,row722,XLVI,5.46,Καδμεία,CADMIA
matthiolo,row723,XLVII,5.47,Χαλκός κεκαυμένος,AES USTUM
matthiolo,row724,XLVIII,5.48,Χαλκοῦ ἄνθος,FLOS AERIS
matthiolo,row725,XLIX,5.49,Λεπίς χαλκοῦ,SQUAMA AERIS
matthiolo,row726,L,5.5,Λεπίς στομώματος,SQUAMA STOMOMATIS
matthiolo,row727,LI,5.51,Ἰόν ξυστόν,AERUGO RASILIS
matthiolo,row728,LII,5.52,Ἰός σκώληξ,AERUGO SCOLECIA
matthiolo,row729,LIII,5.53,Ἰός σιδήρου,RUBIGO FERRI
matthiolo,row730,LIV,5.54,Σκωρία σιδήρου,STERCUS FERRI
matthiolo,row731,LV,5.55,Μόλιβδος πεπλυμένος,PLUMBUM ELOTUM
matthiolo,row732,LVI,5.56,Μόλιβδος κεκαυμένος,PLUMBUM USTUM
matthiolo,row733,LVII,5.57,Σκωρία μολίβδου,RECREMENTUM PLUMBI
matthiolo,row734,LVIII,5.58,Μολιβδοειδής,MOLYBDOIDES SIVE LAPIS PLUMBARIUS
matthiolo,row735,LIX,5.59,Στίμμι_x0096_ STIBIUM,
