edition,edition_entry_id,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin
matthiolo,row33,XXXIII,1.33,Κίκινον ἔλαιον,CICINUM OLEUM
matthiolo,row34,XXXIV,1.34,Ἀμυγδάλινον ἔλαιον,AMYGDALINUM OLEUM
matthiolo,row35,XXXV,1.35,Βαλάνινον ἔλαιον,BALANINUM OLEUM
matthiolo,row36,XXXVI,1.36,Ὑοσκυάμινον ἔλαιον,HYOSCYAMINUM OLEUM
matthiolo,row37,XXXVII,1.37,Μυρσίνινον ἔλαιον,MYRTEUM OLEUM
matthiolo,row38,XXXVIII,1.38,Δάφνινον ἔλαιον,LAURINUM OLEUM
matthiolo,row39,XXXIX,1.39,Σχίνινον ἔλαιον,LENTISCINUM OLEUM
matthiolo,row40,XL,1.4,Μαστίχινον ἔλαιον,MASTICHINUM OLEUM
matthiolo,row41,XLI,1.41,Μύρων σύνθεσις,UNGUENTORUM COMPOSITIO
matthiolo,row42,XLII,1.42,Ῥόδινον,ROSACEUM
matthiolo,row43,XLIII,1.43,Ἐλάτινον,ELATINUM
matthiolo,row44,XLIV,1.44,Μήλινον,MELINUM
matthiolo,row45,XLV,1.45,Ὠινάνθινον,OENANTHINUM
matthiolo,row46,XLVI,1.46,Τήλινον,TELINUM
matthiolo,row47,XLVII,1.47,Σαμψύχινον,SAMPSUCHINUM
matthiolo,row48,XLVIII,1.48,Ὠκίμινον,OCIMINUM
matthiolo,row49,XLIX,1.49,Ἀβροτόνινον,ABROTONINUM
matthiolo,row50,L,1.5,Ἀνέθινον,ANETHINUM
matthiolo,row51,LI,1.51,Σούσινον,SUSINUM
matthiolo,row52,LII,1.52,Ναρκίσσινον,NARCISSINUM
matthiolo,row53,LIII,1.53,Κρόκινον,CROCINUM
matthiolo,row54,LIV,1.54,Κύπρινον,CYPRINUM
matthiolo,row55,LV,1.55,Ἴρινον,IRINUM
matthiolo,row56,LVI,1.56,Γλεύκινον,GLEUCINUM
matthiolo,row57,LVII,1.57,Ἀμαράκινον,AMARACINUM
matthiolo,row58,LVIII,1.58,Μεγαλεῖον,MEGALINUM
matthiolo,row59,LIX,1.59,Ἡδύχρουν,HEDYCROUM
matthiolo,row60,LX,1.6,Μετώπιον,METOPIUM
matthiolo,row61,LXI,1.61,Μενδήσιον,MENDESIUM
matthiolo,row62,LXII,1.62,Στακτὴ,STACTE
matthiolo,row63,LXIII,1.63,Κινναμώμινον,CINNAMOMINUM
matthiolo,row64,LXIV,1.64,Νάρδινον,NARDINUM
matthiolo,row65,LXV,1.65,Μαλαβάθρινον,MALABATHRINUM
matthiolo,row66,LXVI,1.66,Ἰάσμινον,IASMINUM
matthiolo,row67,LXVII,1.67,Σμύρνα,MYRRHA
matthiolo,row68,LXVIII,1.68,Στύραξ,STYRAX
matthiolo,row69,LXIX,1.69,Βδέλλιον,BDELLIUM
matthiolo,row70,LXX,1.7,Λίβανος,THUS
matthiolo,row71,LXXI,1.71,Φλοιὸς λιβάνου,CORTEX THURIS
matthiolo,row72,LXXII,1.72,Μάννα λιβάνου,MANNA THURIS
matthiolo,row73,LXXIII,1.73,Αἰθάλη λιβανωτοῦ,FULIGO THURIS
matthiolo,row74,LXXIV,1.74,Πεύκη καὶ Πίτυς,PICEA ET PINUS
matthiolo,row75,LXXV,1.75,Σχῖνος,LENTISCUS
matthiolo,row76,LXXVI,1.76,Τέρμινθος,TEREBINTHUS
matthiolo,row77,LXXVII,1.77,Ῥητίναι ἄλλαι,RESINAE ALIAE
matthiolo,row78,LXXVIII,1.78,Πίσσα ὑγρά,PIX LIQUIDA
matthiolo,row79,LXXIX,1.79,Πισσέλαιον,PICINUM OLEUM
matthiolo,row80,LXXX,1.8,Λιγνύς τῆς ὑγρᾶς πίσσης,FULIGO LIQUIDAE PICIS
matthiolo,row81,LXXXI,1.81,Πίσσα ξηρά,PIX ARIDA
matthiolo,row82,LXXXII,1.82,Ζώπισσα,ZOPISSA
matthiolo,row83,LXXXIII,1.83,Ἄσφαλτος,BITUMEN
matthiolo,row84,LXXXIV,1.84,Πισσάσφαλτος,PISSASPHALTUM
matthiolo,row85,LXXXV,1.85,Νάφθα,NAPHTHA
matthiolo,row86,LXXXVI,1.86,Κυπάρισσος,CUPRESSUS
matthiolo,row87,LXXXVII,1.87,Ἀρκευθίς,IUNIPERUS
matthiolo,row88,LXXXVIII,1.88,Βράθυ{ς},SABINA
matthiolo,row89,LXXXIX,1.89,Κέδρος,CEDRUS
matthiolo,row90,XC,1.9,Δάφνη,LAURUS
matthiolo,row91,XCI,1.91,Πλάτανος,PLATANUS
matthiolo,row92,XCII,1.92,Μελία,FRAXINUS
matthiolo,row93,XCIII,1.93,Λεύκη καὶ Αἴγειρος,POPULUS ALBA ET NIGRA
matthiolo,row94,XCIV,1.94,Μάκερ,MACER
matthiolo,row95,XCV,1.95,Πτελέα,ULMUS
matthiolo,row96,XCVI,1.96,Σαπρότης ξύλων,LIGNORUM MARCOR
matthiolo,row97,XCVII,1.97,Κάλαμος,HARUNDO
matthiolo,row98,XCVIII,1.98,Πάπυρος,PAPYRUS
matthiolo,row99,XCIX,1.99,Μυρίκη,MYRICA
matthiolo,row100,C,1.1,Ἐρείκη,ERICA
matthiolo,row101,CI,1.101,Ἀκακαλίς,ACACALIS
matthiolo,row102,CII,1.102,Ῥάμνος,RHAMNUS
matthiolo,row103,CIII,1.103,Ἅλιμος,HALIMUS
matthiolo,row104,CIV,1.104,Παλίουρος,PALIURUS
matthiolo,row105,CV,1.105,Ὀξυάκανθα,ACUTA SPINA
matthiolo,row106,CVI,1.106,Κυνόσβατος,RUBUS CANIS
matthiolo,row107,CVII,1.107,Κύπρος,LIGUSTRUM
matthiolo,row108,CVIII,1.108,Φιλλυρέα,PHILLYREA
