edition,edition_entry_id,desmoulins_page,desmoulins_chapter,desmoulins_term
desmoulins,row180,221,Chap. XXXII,Du bouillon des poissons.
desmoulins,row181,221,Chap. XXXIII,Des punaises.
desmoulins,row182,221,Chap. XXXIIII,Des cloportes.
desmoulins,row183,222,Chap. XXXV,Des blattes.
desmoulins,row184,222,Chap. XXXVI,Du poulmon de mer.
desmoulins,row185,222,Chap. XXXVII,Des poulmons.
desmoulins,row186,223,Chap. XXXVIII,Des foyes.
desmoulins,row187,224,Chap. XXXIX,Du nerf ou verge de cerf.
desmoulins,row188,224,Chap. XL,Des ongles d'ane et de chevre.
desmoulins,row189,224,Chap. XLI,Des suros des chevaus.
desmoulins,row190,224,Chap. XLII,Du cuir de vieus souliers.
desmoulins,row191,225,Chap. XLIII,Des poules et des coqs.
desmoulins,row192,225,Chap. XLIIII,De l'oeuf.
desmoulins,row193,227,Chap. XLV,Des cigales.
desmoulins,row194,227,Chap. XLVI,Des sauterelles.
desmoulins,row195,228,Chap. XLVII,De l'oiseau nomme ossifragus.
desmoulins,row196,228,Chap. XLVIII,Du cochevis.
desmoulins,row197,229,Chap. XLIX,De l'arondelle.
desmoulins,row198,229,Chap. L,De l'ivoire.
desmoulins,row199,231,Chap. LI,Du talon de pourceau.
desmoulins,row200,231,Chap. LII,De la corne du cerf.
desmoulins,row201,233,Chap. LIII,Des chenilles.
desmoulins,row202,234,Chap. LIIII,Des cantharides.
desmoulins,row203,234,Chap. LV,"Des buprestes, et chenilles des pins."
desmoulins,row204,235,Chap. LVI,De la salamandre.
desmoulins,row205,236,Chap. LVII,De l'araigne.
desmoulins,row206,237,Chap. LVIII,De la lesarde.
desmoulins,row207,237,Chap. LIX,De la seps.
desmoulins,row208,238,Chap. LX,Du stinc.
desmoulins,row209,240,Chap. LXI,Des vers de terre.
desmoulins,row210,240,Chap. LXII,Du musaraigne.
desmoulins,row211,241,Chap. LXIII,Des souris.
desmoulins,row212,243,Chap. LXIIII,Du laict.
desmoulins,row213,243,Chap. LXV,Du formage.
desmoulins,row214,243,Chap. LXVI,Du beurre et de la suie d'icelui.
desmoulins,row215,246,Chap. LXVII,"De la laine, et graisse de laine surge."
