edition_id,citation_ref,manifest_url,canvas_id,canvas_label,canvas_index,target_url,status,notes
barbaro,c132|p14r|i27,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0027.jpg,provisional,
barbaro,c133|p14v|i28,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0028.jpg,provisional,
barbaro,c134|p14v|i28,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0028.jpg,provisional,
barbaro,c135|p14v|i28,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0028.jpg,provisional,
barbaro,c136|p14v|i28,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0028.jpg,provisional,
barbaro,c137|p14v|i28,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0028.jpg,provisional,
barbaro,c138|p14v|i28,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0028.jpg,provisional,
barbaro,c139|p13r|i29,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0029.jpg,provisional,
barbaro,c13|p2v|i6,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0006.jpg,provisional,
barbaro,c140|p13r|i29,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0029.jpg,provisional,
barbaro,c141|p13r|i29,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0029.jpg,provisional,
barbaro,c142|p13v|i30,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0030.jpg,provisional,
barbaro,c143|p13v|i30,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0030.jpg,provisional,
barbaro,c144|p13v|i30,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0030.jpg,provisional,
barbaro,c145|p13v|i30,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0030.jpg,provisional,
barbaro,c146|p13v|i30,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0030.jpg,provisional,
barbaro,c147|p14r|i31,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0031.jpg,provisional,
barbaro,c148|p14r|i31,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0031.jpg,provisional,
barbaro,c149|p14v|i32-r150,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0032.jpg,provisional,
barbaro,c149|p14v|i32-r151,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0032.jpg,provisional,
barbaro,c14|p3r|i7,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0007.jpg,provisional,
barbaro,c150|p14v|i32,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0032.jpg,provisional,
barbaro,c151|p14v|i32,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0032.jpg,provisional,
barbaro,c152|p14v|i32,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0032.jpg,provisional,
barbaro,c153|p15r|i33,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0033.jpg,provisional,
